carat,cut,color,clarity,depth,table,x,y,z,price
0.93,Fair,E,SI1,64.2,59.4,6.15,6.07,3.94,between 2401.0 and 5324.25
1.23,Premium,H,VS2,61.9,57.4,6.88,6.82,4.29,greater than 5324.25
0.97,Very Good,F,VS1,62.5,56.2,6.32,6.29,3.99,between 2401.0 and 5324.25
0.41,Ideal,D,SI1,61.3,56.9,4.85,4.81,2.99,between 950.0 and 2401.0
1.39,Ideal,I,SI1,62.3,56.1,6.94,6.92,4.26,greater than 5324.25
0.68,Premium,G,VVS2,60.6,58.6,5.59,5.54,3.41,between 950.0 and 2401.0
0.89,Very Good,H,VS2,63.2,59.1,6.05,6.02,3.83,between 2401.0 and 5324.25
1.07,Good,F,SI1,61.4,57.3,6.51,6.48,4.04,between 2401.0 and 5324.25
0.56,Ideal,E,SI2,61.9,55.6,5.24,5.22,3.21,between 950.0 and 2401.0
0.94,Fair,G,SI1,64.9,57.2,6.23,6.17,3.97,between 2401.0 and 5324.25
1.49,Premium,J,VS1,62.1,58.4,7.21,7.17,4.49,greater than 5324.25
0.62,Ideal,F,VS2,61.6,56.4,5.46,5.44,3.34,between 950.0 and 2401.0
0.85,Very Good,D,SI1,62.8,58.8,5.95,5.93,3.65,between 2401.0 and 5324.25
1.27,Ideal,H,SI1,62.4,55.5,6.81,6.79,4.24,greater than 5324.25
0.39,Ideal,I,VVS1,61.2,55.2,4.69,4.66,2.89,between 950.0 and 2401.0
0.98,Premium,F,SI2,60.3,59.7,6.39,6.36,3.99,between 2401.0 and 5324.25
0.59,Good,G,VS2,59.5,61.2,5.33,5.31,3.26,between 950.0 and 2401.0
1.13,Ideal,D,VS1,61.8,57.1,6.64,6.62,4.12,between 2401.0 and 5324.25
0.75,Very Good,E,SI1,63.1,57.8,5.78,5.75,3.59,between 2401.0 and 5324.25
0.48,Ideal,F,VS1,62.2,56.3,5.08,5.05,3.13,between 950.0 and 2401.0
1.44,Premium,H,SI1,61.5,58.2,7.04,7.01,4.36,greater than 5324.25
0.82,Fair,D,SI2,65.1,58.5,5.92,5.89,3.64,between 2401.0 and 5324.25
0.69,Ideal,G,VVS2,61.1,56.7,5.55,5.53,3.38,between 950.0 and 2401.0
1.01,Good,F,SI1,61.2,57.5,6.44,6.42,3.99,between 2401.0 and 5324.25
0.44,Very Good,G,VS1,60.4,59.4,4.94,4.92,2.99,between 950.0 and 2401.0
0.96,Premium,E,SI1,62.9,56.9,6.29,6.26,3.98,between 2401.0 and 5324.25
1.35,Ideal,I,VS2,62.6,57.4,6.92,6.89,4.28,greater than 5324.25
0.51,Ideal,F,SI2,61.5,55.8,5.15,5.12,3.17,between 950.0 and 2401.0
0.87,Good,H,VS1,63.4,59.2,6.01,5.99,3.79,between 2401.0 and 5324.25
0.64,Premium,G,SI1,60.8,58.1,5.49,5.47,3.36,between 950.0 and 2401.0
1.19,Very Good,D,SI1,62.2,57.9,6.69,6.66,4.16,between 2401.0 and 5324.25
0.46,Ideal,E,VS2,61.8,56.1,5.01,4.99,3.1,between 950.0 and 2401.0
0.99,Fair,F,SI1,64.5,57.6,6.35,6.31,3.99,between 2401.0 and 5324.25
1.08,Ideal,H,SI1,61.9,57.2,6.57,6.54,4.06,between 2401.0 and 5324.25
0.73,Good,G,VS2,59.8,61.4,5.68,5.66,3.48,between 950.0 and 2401.0
0.91,Premium,F,SI2,60.2,59.5,6.19,6.16,3.92,between 2401.0 and 5324.25
1.25,Ideal,I,VS1,62.4,58.1,6.79,6.76,4.22,greater than 5324.25
0.58,Very Good,D,SI1,61.7,56.5,5.29,5.26,3.25,between 950.0 and 2401.0
0.85,Good,H,SI1,63.2,57.9,5.97,5.94,3.79,between 2401.0 and 5324.25
1.04,Premium,G,VVS2,61.3,58.8,6.45,6.43,4.01,between 2401.0 and 5324.25
0.49,Ideal,F,VS1,62.1,56.2,5.09,5.06,3.12,between 950.0 and 2401.0
0.97,Very Good,E,SI1,62.7,57.1,6.28,6.25,3.96,between 2401.0 and 5324.25
1.16,Ideal,H,SI1,61.6,57.4,6.63,6.6,4.14,between 2401.0 and 5324.25
0.79,Fair,G,SI2,64.3,58.3,5.85,5.82,3.62,between 2401.0 and 5324.25
0.63,Good,D,VS1,60.5,59.7,5.46,5.43,3.33,between 950.0 and 2401.0
1.12,Premium,F,SI1,61.4,58.5,6.59,6.56,4.09,between 2401.0 and 5324.25
0.54,Ideal,E,VS2,61.9,56.4,5.22,5.19,3.2,between 950.0 and 2401.0
0.92,Very Good,H,VS2,63.1,58.9,6.12,6.09,3.89,between 2401.0 and 5324.25
1.03,Ideal,I,SI1,62.2,57.6,6.45,6.43,4.01,between 2401.0 and 5324.25
0.59,Good,G,VS1,59.9,61.1,5.35,5.32,3.27,between 950.0 and 2401.0
0.88,Premium,F,SI2,60.1,59.3,6.08,6.05,3.85,between 2401.0 and 5324.25
1.15,Very Good,D,SI1,62.1,57.5,6.61,6.58,4.12,between 2401.0 and 5324.25
0.47,Ideal,F,VS1,62.0,56.1,5.04,5.01,3.11,between 950.0 and 2401.0
0.95,Fair,E,SI1,64.7,57.5,6.29,6.25,3.98,between 2401.0 and 5324.25
1.09,Ideal,H,SI1,61.7,57.2,6.55,6.52,4.07,between 2401.0 and 5324.25
0.76,Good,H,SI1,63.4,58.2,5.79,5.76,3.59,between 2401.0 and 5324.25
0.61,Premium,G,VVS2,60.4,58.7,5.43,5.41,3.34,between 950.0 and 2401.0
1.02,Very Good,F,SI1,62.3,57.9,6.43,6.4,4.0,between 2401.0 and 5324.25
0.53,Ideal,E,SI2,61.8,56.3,5.19,5.16,3.18,between 950.0 and 2401.0
0.9,Good,D,VS1,63.2,59.1,6.04,6.01,3.79,between 2401.0 and 5324.25
1.07,Premium,F,SI1,61.1,58.4,6.53,6.5,4.06,between 2401.0 and 5324.25
0.5,Ideal,F,VS1,62.2,56.3,5.13,5.1,3.15,between 950.0 and 2401.0
0.99,Very Good,H,SI1,62.8,57.7,6.34,6.31,3.99,between 2401.0 and 5324.25
1.14,Ideal,I,VS2,61.9,57.3,6.59,6.56,4.11,between 2401.0 and 5324.25
0.79,Fair,G,SI1,64.9,58.2,5.89,5.86,3.65,between 2401.0 and 5324.25
0.67,Good,D,VS1,60.3,59.6,5.54,5.51,3.39,between 950.0 and 2401.0
1.06,Premium,F,SI2,60.9,59.2,6.49,6.46,4.04,between 2401.0 and 5324.25
0.57,Ideal,E,VS2,61.9,56.4,5.27,5.24,3.23,between 950.0 and 2401.0
0.93,Very Good,H,VS1,63.3,58.8,6.15,6.12,3.93,between 2401.0 and 5324.25
1.05,Ideal,I,SI1,61.6,57.1,6.48,6.45,4.04,between 2401.0 and 5324.25
0.65,Good,G,VS2,59.7,61.3,5.48,5.45,3.35,between 950.0 and 2401.0
0.91,Premium,F,SI1,60.7,59.4,6.14,6.11,3.89,between 2401.0 and 5324.25
1.1,Very Good,D,SI1,62.0,57.4,6.54,6.51,4.09,between 2401.0 and 5324.25
0.52,Ideal,F,VS1,62.1,56.2,5.17,5.14,3.16,between 950.0 and 2401.0
0.98,Fair,E,SI1,64.5,57.3,6.32,6.29,3.98,between 2401.0 and 5324.25
1.04,Ideal,H,SI1,61.4,57.0,6.44,6.41,4.02,between 2401.0 and 5324.25
0.81,Good,H,SI1,63.5,58.5,5.94,5.91,3.72,between 2401.0 and 5324.25
0.72,Premium,G,VVS2,60.1,59.0,5.65,5.62,3.46,between 950.0 and 2401.0
0.33,Very Good,E,SI2,61.4,59.0,4.39,4.41,2.73,less than 950.0
1.67,Ideal,E,SI2,62.5,57.0,7.51,7.47,4.64,greater than 5324.25
0.97,Ideal,E,SI2,60.9,57.0,6.43,6.41,4.04,between 2401.0 and 5324.25
0.29,Ideal,H,VS1,62.3,56.0,4.22,4.25,2.61,less than 950.0
