carat,cut,color,clarity,depth,table,x,y,z,price
0.91,Ideal,E,SI1,61.1,57.0,6.29,6.25,3.83,between 2401.0 and 5324.25
0.53,Premium,G,VS1,61.9,56.0,5.23,5.27,3.24,between 950.0 and 2401.0
1.18,Very Good,J,SI2,62.9,59.0,6.61,6.57,4.14,greater than 5324.25
0.75,Ideal,F,VS1,60.8,55.0,5.74,5.78,3.59,between 2401.0 and 5324.25
0.49,Good,D,SI1,63.4,60.0,5.01,5.05,3.08,between 950.0 and 2401.0
0.96,Premium,E,VS2,62.5,58.0,6.26,6.22,3.91,between 2401.0 and 5324.25
1.42,Very Good,H,SI1,61.7,56.0,7.13,7.09,4.45,greater than 5324.25
0.68,Ideal,G,VVS2,60.5,57.0,5.51,5.55,3.42,between 950.0 and 2401.0
0.81,Very Good,F,SI2,61.4,59.0,5.95,5.99,3.71,between 2401.0 and 5324.25
0.44,Premium,D,VS1,62.1,54.0,4.86,4.89,3.01,between 950.0 and 2401.0
1.09,Ideal,I,SI1,62.3,57.0,6.52,6.48,4.07,between 2401.0 and 5324.25
0.63,Good,G,VS1,60.2,58.0,5.37,5.41,3.29,between 950.0 and 2401.0
0.97,Very Good,J,VS2,63.2,55.0,6.29,6.25,3.95,between 2401.0 and 5324.25
0.85,Premium,E,SI1,61.9,60.0,5.99,6.03,3.79,between 2401.0 and 5324.25
0.41,Ideal,F,VS1,61.6,56.0,4.74,4.77,2.99,between 950.0 and 2401.0
0.59,Very Good,D,SI2,60.9,59.0,5.24,5.28,3.24,between 950.0 and 2401.0
1.25,Ideal,H,SI1,62.8,56.0,6.96,6.92,4.27,greater than 5324.25
0.69,Premium,G,VVS2,61.2,57.0,5.56,5.6,3.44,between 950.0 and 2401.0
0.82,Good,F,VS1,60.6,55.0,5.85,5.89,3.65,between 2401.0 and 5324.25
0.54,Very Good,E,VS1,60.4,58.0,5.14,5.18,3.19,between 950.0 and 2401.0
1.04,Ideal,I,SI2,62.2,57.0,6.43,6.39,4.04,between 2401.0 and 5324.25
0.76,Premium,G,VS2,61.5,60.0,5.73,5.77,3.57,between 950.0 and 2401.0
0.47,Good,D,SI1,59.9,63.0,4.96,5.0,3.02,less than 950.0
0.99,Very Good,J,SI1,62.6,56.0,6.32,6.28,3.98,between 2401.0 and 5324.25
0.61,Ideal,G,VS1,61.1,54.0,5.31,5.35,3.26,between 950.0 and 2401.0
1.16,Very Good,H,SI2,63.1,58.0,6.64,6.6,4.16,greater than 5324.25
0.88,Premium,E,VS1,61.8,60.0,6.06,6.02,3.81,between 2401.0 and 5324.25
0.51,Good,F,SI1,60.3,59.0,5.05,5.09,3.12,between 950.0 and 2401.0
0.93,Ideal,F,SI1,62.4,56.0,6.17,6.13,3.89,between 2401.0 and 5324.25
