carat,cut,color,clarity,depth,table,x,y,z,price
0.39,Premium,E,SI2,61.4,57.0,4.69,4.73,2.91,less than 950.0
0.97,Good,J,VS1,63.5,58.0,6.32,6.29,3.99,between 2401.0 and 5324.25
0.71,Ideal,F,SI1,62.2,55.0,5.73,5.76,3.55,between 2401.0 and 5324.25
0.43,Ideal,G,SI1,61.9,56.0,4.83,4.85,2.98,less than 950.0
1.21,Premium,H,SI1,62.5,60.0,6.73,6.69,4.18,between 2401.0 and 5324.25
0.94,Very Good,I,VS2,62.9,59.0,6.18,6.14,3.93,between 2401.0 and 5324.25
0.29,Very Good,D,SI1,60.8,56.0,4.33,4.36,2.68,less than 950.0
1.04,Good,E,SI2,63.1,57.0,6.49,6.45,4.03,between 2401.0 and 5324.25
0.75,Ideal,I,VS1,62.6,58.0,5.86,5.88,3.63,between 950.0 and 2401.0
0.33,Premium,F,VS2,61.5,54.0,4.45,4.48,2.73,less than 950.0
0.76,Very Good,H,SI1,62.3,60.0,5.8,5.76,3.59,between 950.0 and 2401.0
1.03,Ideal,J,SI2,61.1,57.0,6.43,6.39,3.98,between 2401.0 and 5324.25
0.4,Good,G,VVS1,59.3,61.0,4.88,4.9,2.89,between 950.0 and 2401.0
0.37,Ideal,E,VS1,60.6,57.0,4.58,4.61,2.81,less than 950.0
1.55,Good,H,SI2,63.7,60.0,7.39,7.36,4.65,greater than 5324.25
0.77,Premium,I,SI1,61.8,59.0,5.89,5.92,3.73,between 950.0 and 2401.0
0.55,Ideal,D,SI2,62.1,55.0,5.26,5.29,3.27,between 950.0 and 2401.0
1.14,Very Good,G,SI1,62.8,58.0,6.59,6.55,4.09,between 2401.0 and 5324.25
0.34,Good,F,VS2,61.2,56.0,4.46,4.49,2.75,less than 950.0
0.96,Ideal,I,VS2,61.6,57.0,6.28,6.24,3.97,between 2401.0 and 5324.25
0.67,Premium,J,SI2,62.5,60.0,5.53,5.49,3.44,between 950.0 and 2401.0
1.47,Good,J,VS1,64.1,60.0,7.14,7.11,4.53,greater than 5324.25
0.38,Ideal,E,SI1,60.7,56.0,4.64,4.67,2.87,less than 950.0
0.52,Ideal,G,VVS2,61.9,54.5,5.14,5.17,3.17,between 950.0 and 2401.0
0.98,Very Good,H,SI1,62.9,59.0,6.34,6.3,4.0,between 2401.0 and 5324.25
0.41,Premium,D,VS1,61.3,57.0,4.75,4.78,2.94,less than 950.0
0.63,Good,I,VS1,62.4,58.0,5.44,5.46,3.37,between 950.0 and 2401.0
1.25,Ideal,F,SI2,61.3,57.0,6.81,6.78,4.24,between 2401.0 and 5324.25
0.59,Ideal,E,VS2,61.7,56.0,5.33,5.36,3.31,between 950.0 and 2401.0
0.48,Very Good,G,SI1,61.8,56.0,4.98,5.0,3.05,between 950.0 and 2401.0
1.09,Premium,J,SI2,62.2,60.0,6.56,6.52,4.06,between 2401.0 and 5324.25
0.69,Good,H,SI1,63.1,60.0,5.61,5.58,3.48,between 950.0 and 2401.0
0.44,Ideal,D,VS1,60.5,57.0,4.85,4.88,2.96,less than 950.0
0.54,Ideal,I,VVS2,61.4,54.0,5.22,5.25,3.21,between 950.0 and 2401.0
0.7,Very Good,F,SI1,62.1,58.0,5.65,5.68,3.49,between 950.0 and 2401.0
1.01,Good,E,SI1,62.7,58.0,6.43,6.39,4.01,between 2401.0 and 5324.25
0.3,Premium,F,VS1,60.3,57.0,4.38,4.41,2.69,less than 950.0
1.49,Ideal,H,SI2,62.6,60.0,7.25,7.22,4.59,greater than 5324.25
0.89,Ideal,G,VS2,62.3,59.0,6.07,6.04,3.83,between 2401.0 and 5324.25
0.43,Very Good,E,SI1,61.2,56.0,4.79,4.82,2.95,less than 950.0
1.46,Good,J,VS1,63.8,60.0,7.13,7.1,4.54,greater than 5324.25
0.35,Ideal,D,SI2,60.8,56.0,4.53,4.56,2.79,less than 950.0
0.51,Ideal,G,VVS1,61.5,54.0,5.11,5.14,3.14,between 950.0 and 2401.0
0.94,Premium,H,SI1,62.7,58.0,6.24,6.2,3.96,between 2401.0 and 5324.25
0.82,Very Good,F,VS1,62.4,60.0,5.97,5.94,3.75,between 950.0 and 2401.0
1.01,Ideal,I,SI2,61.0,57.0,6.54,6.51,3.99,between 2401.0 and 5324.25
0.55,Good,G,SI1,62.5,57.0,5.26,5.29,3.29,between 950.0 and 2401.0
0.39,Premium,E,VS2,61.1,57.0,4.69,4.72,2.9,less than 950.0
1.14,Very Good,H,SI1,62.6,60.0,6.6,6.57,4.08,between 2401.0 and 5324.25
0.46,Ideal,F,VS1,60.9,56.0,4.93,4.96,3.01,less than 950.0
1.39,Good,J,SI2,63.3,60.0,6.97,6.94,4.43,greater than 5324.25
0.57,Ideal,D,SI1,61.5,57.0,5.29,5.32,3.28,between 950.0 and 2401.0
0.92,Ideal,G,VS2,62.2,59.0,6.14,6.11,3.89,between 2401.0 and 5324.25
0.32,Very Good,F,VS1,60.6,56.0,4.42,4.45,2.71,less than 950.0
0.5,Premium,E,SI2,61.2,55.0,5.05,5.08,3.09,between 950.0 and 2401.0
1.17,Ideal,H,SI1,62.1,58.0,6.67,6.64,4.12,between 2401.0 and 5324.25
0.73,Good,I,VS1,62.5,58.0,5.73,5.76,3.53,between 950.0 and 2401.0
0.4,Very Good,G,SI1,61.3,56.0,4.75,4.78,2.93,less than 950.0
1.29,Premium,J,SI2,62.5,60.0,6.85,6.82,4.28,between 2401.0 and 5324.25
0.59,Ideal,F,VS2,61.5,57.0,5.32,5.35,3.3,between 950.0 and 2401.0
0.75,Good,H,SI1,62.7,59.0,5.77,5.74,3.56,between 950.0 and 2401.0
0.36,Ideal,E,SI1,60.4,56.0,4.57,4.6,2.83,less than 950.0
1.51,Very Good,J,VS1,63.9,60.0,7.24,7.21,4.58,greater than 5324.25
0.62,Premium,G,SI1,61.9,58.0,5.41,5.44,3.35,between 950.0 and 2401.0
