longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,population,households,medianIncome,medianHouseValue
-117.11,32.79,16,1791.0,518.0,1006.0,491.0,3.5179,between 119600.0 and 179700.0
-117.83,34.14,26,8254.0,1153.0,3460.0,1131.0,6.5253,greater than 264725.0
-121.08,38.67,10,2499.0,331.0,1040.0,333.0,6.844,between 179700.0 and 264725.0
-122.29,37.81,26,768.0,152.0,392.0,127.0,1.7719,less than 119600.0
-117.61,33.45,6,950.0,184.0,426.0,186.0,4.7237,between 179700.0 and 264725.0
-117.19,34.06,21,6107.0,1559.0,2805.0,1444.0,2.5643,less than 119600.0
-117.65,33.49,16,2223.0,454.0,628.0,382.0,4.3603,between 179700.0 and 264725.0
-118.26,33.96,39,1255.0,323.0,902.0,327.0,1.5812,less than 119600.0
-122.22,37.78,44,2968.0,710.0,2269.0,610.0,2.3906,less than 119600.0
-122.18,37.75,45,990.0,261.0,901.0,260.0,2.1731,less than 119600.0
-117.27,34.45,8,6463.0,1095.0,3213.0,1031.0,3.2215,less than 119600.0
-122.65,38.23,52,1923.0,393.0,910.0,345.0,3.45,between 179700.0 and 264725.0
-122.08,37.61,26,2261.0,443.0,1039.0,395.0,3.7931,between 179700.0 and 264725.0
-122.18,37.78,50,1642.0,322.0,713.0,284.0,3.2984,between 119600.0 and 179700.0
-115.56,32.79,20,2372.0,835.0,2283.0,767.0,1.1707,less than 119600.0
-118.21,34.64,16,2573.0,427.0,1273.0,426.0,5.9508,between 179700.0 and 264725.0
-118.1,34.17,46,1774.0,315.0,753.0,330.0,4.7241,greater than 264725.0
-117.24,34.15,26,2041.0,293.0,936.0,375.0,6.0,between 119600.0 and 179700.0
-118.46,34.06,46,1302.0,215.0,482.0,226.0,7.0674,greater than 264725.0
-117.91,33.82,29,1444.0,326.0,1038.0,271.0,2.3843,between 179700.0 and 264725.0
-118.45,34.28,36,2602.0,638.0,2780.0,620.0,2.7155,between 119600.0 and 179700.0
-119.04,36.07,17,2623.0,659.0,1912.0,618.0,1.5893,less than 119600.0
-121.42,38.5,24,7740.0,1539.0,4333.0,1397.0,3.025,less than 119600.0
-117.11,32.7,34,2028.0,522.0,1797.0,464.0,1.7402,less than 119600.0
-117.71,34.12,20,11250.0,1893.0,4952.0,1859.0,5.6785,between 179700.0 and 264725.0
-118.44,34.0,44,1462.0,338.0,821.0,341.0,2.599,greater than 264725.0
-118.57,34.21,23,4891.0,793.0,2447.0,765.0,5.8798,greater than 264725.0
-121.85,37.66,14,4236.0,701.0,1833.0,663.0,5.6399,greater than 264725.0
-120.46,34.64,11,562.0,164.0,504.0,147.0,2.0161,less than 119600.0
-117.08,33.12,37,1060.0,268.0,823.0,229.0,1.8363,between 119600.0 and 179700.0
-117.11,33.23,13,5819.0,919.0,2228.0,866.0,4.9335,greater than 264725.0
-117.5,33.92,31,2529.0,513.0,1504.0,426.0,2.9821,less than 119600.0
-121.32,37.97,46,2270.0,427.0,1097.0,453.0,3.3235,less than 119600.0
-117.95,33.87,35,1854.0,383.0,1115.0,381.0,4.4784,between 179700.0 and 264725.0
-122.1,37.4,23,1755.0,508.0,1374.0,506.0,4.3077,greater than 264725.0
-121.03,37.69,5,4034.0,771.0,1967.0,742.0,3.8065,between 119600.0 and 179700.0
-123.22,40.16,27,1848.0,449.0,396.0,150.0,2.8472,less than 119600.0
-118.08,34.1,32,2830.0,645.0,1500.0,527.0,3.0819,between 179700.0 and 264725.0
-121.97,37.97,27,1691.0,289.0,807.0,296.0,6.1168,between 179700.0 and 264725.0
-122.7,38.66,43,1384.0,284.0,582.0,224.0,3.9063,between 179700.0 and 264725.0
-118.35,34.07,45,7803.0,2154.0,3359.0,2041.0,3.3594,greater than 264725.0
-121.45,38.57,52,3994.0,635.0,1295.0,625.0,5.1169,between 179700.0 and 264725.0
-119.72,34.43,46,1332.0,329.0,746.0,310.0,3.6719,greater than 264725.0
-119.84,36.8,19,3244.0,776.0,1463.0,710.0,2.0469,less than 119600.0
-118.09,34.08,34,1513.0,384.0,986.0,336.0,2.6901,between 179700.0 and 264725.0
-119.69,36.79,5,2613.0,476.0,1490.0,481.0,4.0993,less than 119600.0
-118.08,33.76,26,1967.0,577.0,692.0,538.0,1.6111,less than 119600.0
-122.12,37.89,30,3227.0,733.0,1260.0,684.0,4.125,between 179700.0 and 264725.0
-121.84,37.27,16,2429.0,387.0,1293.0,363.0,5.5,between 179700.0 and 264725.0
-121.48,38.59,52,1186.0,341.0,1038.0,320.0,1.6116,less than 119600.0
-119.69,36.8,31,2576.0,458.0,1306.0,418.0,3.2813,less than 119600.0
-118.44,34.29,30,1632.0,401.0,1357.0,401.0,3.1588,between 119600.0 and 179700.0
-119.88,36.85,8,2580.0,372.0,1111.0,393.0,7.5,between 179700.0 and 264725.0
-122.77,38.33,32,2054.0,324.0,843.0,306.0,4.5875,greater than 264725.0
-122.08,37.94,44,2185.0,357.0,943.0,366.0,4.725,between 179700.0 and 264725.0
-119.18,36.4,39,1730.0,310.0,899.0,309.0,2.6648,between 119600.0 and 179700.0
-122.48,37.78,50,2159.0,437.0,1111.0,417.0,3.5588,greater than 264725.0
-119.71,36.83,15,2727.0,500.0,1228.0,436.0,3.5078,less than 119600.0
-123.02,38.46,52,2154.0,499.0,524.0,259.0,2.0556,between 119600.0 and 179700.0
-118.04,34.05,32,1252.0,273.0,1337.0,263.0,2.6579,between 119600.0 and 179700.0
-122.23,37.81,52,1433.0,229.0,612.0,213.0,4.7708,greater than 264725.0
-118.58,34.17,29,3393.0,574.0,1471.0,587.0,6.2064,greater than 264725.0
-118.33,34.1,30,5293.0,2446.0,4123.0,2127.0,1.51,between 179700.0 and 264725.0
-117.15,32.9,12,1681.0,381.0,1050.0,362.0,4.2008,between 119600.0 and 179700.0
-117.8,34.1,13,2996.0,495.0,1187.0,464.0,6.2456,between 119600.0 and 179700.0
-118.43,34.3,28,271.0,61.0,246.0,62.0,1.7062,between 119600.0 and 179700.0
-119.26,35.87,24,1590.0,390.0,1686.0,372.0,1.6469,less than 119600.0
-117.06,32.76,38,1549.0,288.0,636.0,278.0,3.2188,between 119600.0 and 179700.0
-117.95,34.03,33,1782.0,394.0,1517.0,376.0,3.3389,between 119600.0 and 179700.0
-119.02,35.41,21,2534.0,554.0,1297.0,517.0,2.0575,less than 119600.0
-118.33,34.02,45,1667.0,399.0,928.0,375.0,1.8783,less than 119600.0
-118.65,34.2,23,7480.0,1084.0,3037.0,1058.0,6.9223,greater than 264725.0
-116.26,33.07,17,934.0,284.0,452.0,184.0,1.9875,less than 119600.0
-122.3,37.88,45,453.0,146.0,749.0,137.0,1.475,between 179700.0 and 264725.0
-117.94,33.84,25,4016.0,831.0,2166.0,774.0,3.1884,between 119600.0 and 179700.0
-121.93,37.71,26,4822.0,845.0,2288.0,805.0,4.2281,between 179700.0 and 264725.0
-114.65,33.6,28,1678.0,322.0,666.0,256.0,2.9653,less than 119600.0
-117.92,33.75,19,1920.0,471.0,1413.0,432.0,4.0313,between 119600.0 and 179700.0
-117.05,32.67,16,2168.0,343.0,1589.0,338.0,5.4863,between 119600.0 and 179700.0
-120.02,39.24,32,1347.0,444.0,825.0,303.0,1.8269,between 179700.0 and 264725.0
-118.18,34.09,44,1688.0,426.0,1605.0,384.0,3.3785,between 179700.0 and 264725.0
-121.35,38.68,20,7085.0,1222.0,3455.0,1229.0,4.3118,between 119600.0 and 179700.0
-117.97,34.17,35,5005.0,848.0,2112.0,813.0,4.9968,greater than 264725.0
-117.29,34.09,24,1451.0,387.0,1178.0,330.0,1.1806,less than 119600.0
-123.34,39.39,18,2821.0,628.0,1636.0,615.0,2.3333,less than 119600.0
-122.0,37.54,26,1910.0,371.0,852.0,357.0,5.8325,greater than 264725.0
-122.28,37.91,38,2501.0,348.0,805.0,329.0,6.5576,greater than 264725.0
-117.77,34.1,50,2388.0,494.0,1241.0,459.0,2.8818,between 119600.0 and 179700.0
-118.43,34.04,42,2725.0,569.0,1115.0,516.0,4.5833,greater than 264725.0
-121.46,38.61,43,1111.0,269.0,613.0,290.0,1.2917,less than 119600.0
-118.36,33.92,46,1231.0,231.0,793.0,256.0,4.1023,between 179700.0 and 264725.0
-118.25,34.25,34,3150.0,518.0,1392.0,480.0,4.9355,greater than 264725.0
-117.3,34.1,49,60.0,11.0,76.0,13.0,2.5625,less than 119600.0
-118.43,34.22,36,1372.0,295.0,774.0,306.0,3.6618,between 179700.0 and 264725.0
-122.37,37.59,39,4645.0,1196.0,2156.0,1113.0,3.4412,greater than 264725.0
-119.85,36.76,10,2067.0,450.0,845.0,354.0,1.8214,less than 119600.0
-118.39,34.08,52,3759.0,464.0,1407.0,422.0,15.0001,greater than 264725.0
-120.96,37.48,32,1256.0,212.0,682.0,236.0,2.9844,between 119600.0 and 179700.0
-118.37,33.87,18,2516.0,485.0,1128.0,433.0,5.0114,greater than 264725.0
-117.24,32.85,18,3117.0,475.0,904.0,368.0,6.7587,greater than 264725.0
-121.01,37.68,33,3230.0,587.0,1579.0,560.0,3.5775,less than 119600.0
-122.27,37.77,52,1710.0,481.0,849.0,457.0,2.7115,between 179700.0 and 264725.0
-117.98,33.91,16,10621.0,1782.0,3836.0,1480.0,5.0923,between 179700.0 and 264725.0
-122.25,37.8,43,2364.0,792.0,1359.0,722.0,2.1429,between 179700.0 and 264725.0
-117.91,33.78,33,2729.0,549.0,2223.0,535.0,4.0362,between 119600.0 and 179700.0
-118.27,33.98,44,1722.0,457.0,2177.0,401.0,2.125,less than 119600.0
-117.99,33.78,19,7399.0,1698.0,3554.0,1593.0,3.1049,between 119600.0 and 179700.0
-118.05,34.12,20,5218.0,959.0,2302.0,850.0,3.55,greater than 264725.0
-118.36,33.98,40,1113.0,234.0,584.0,231.0,3.0927,greater than 264725.0
-117.64,33.87,2,17470.0,2727.0,5964.0,1985.0,6.2308,between 179700.0 and 264725.0
-122.4,37.73,45,3490.0,712.0,2337.0,781.0,3.4472,between 179700.0 and 264725.0
-117.05,33.13,17,2385.0,372.0,1118.0,369.0,4.2813,between 119600.0 and 179700.0
-118.2,33.91,43,1381.0,278.0,1494.0,298.0,3.5878,less than 119600.0
-121.99,37.27,27,2937.0,497.0,1454.0,511.0,5.4051,greater than 264725.0
-118.2,33.8,52,1786.0,445.0,1090.0,430.0,2.8988,between 179700.0 and 264725.0
-117.05,32.69,14,1689.0,555.0,1319.0,527.0,3.16,between 119600.0 and 179700.0
-117.76,33.7,12,4025.0,574.0,2042.0,588.0,7.9125,greater than 264725.0
-118.32,34.16,49,1074.0,170.0,403.0,208.0,6.2547,greater than 264725.0
-121.21,37.81,8,1883.0,298.0,999.0,301.0,5.193,between 119600.0 and 179700.0
-119.45,36.59,28,1274.0,215.0,572.0,202.0,3.825,less than 119600.0
-117.72,34.06,32,2209.0,654.0,1718.0,569.0,1.9643,less than 119600.0
-118.27,33.95,39,1529.0,358.0,1154.0,357.0,1.2091,less than 119600.0
-117.12,32.69,37,1082.0,294.0,1146.0,265.0,2.0673,less than 119600.0
-119.09,35.43,28,254.0,35.0,118.0,37.0,4.8571,between 179700.0 and 264725.0
-118.41,34.24,38,490.0,101.0,402.0,100.0,3.125,between 119600.0 and 179700.0
-121.91,37.68,20,1804.0,254.0,831.0,260.0,6.177,between 179700.0 and 264725.0
-117.71,33.51,11,2198.0,252.0,883.0,281.0,13.1477,greater than 264725.0
-121.36,38.63,30,2619.0,370.0,940.0,359.0,4.7283,between 119600.0 and 179700.0
