frequency,angle_of_attack,chord_length,free_stream_velocity,displacement_thickness,sound_pressure
2500.0,8.4,0.0508,55.5,0.00544854,greater than 129.9955
4000.0,0.0,0.0508,31.7,0.000812164,greater than 129.9955
8000.0,7.2,0.1524,71.3,0.00752039,less than 120.191
3150.0,0.0,0.2286,39.6,0.00253511,between 120.191 and 125.721
2500.0,8.9,0.1016,39.6,0.0124596,less than 120.191
630.0,11.2,0.0508,39.6,0.0150478,greater than 129.9955
1600.0,0.0,0.3048,39.6,0.00310138,between 120.191 and 125.721
8000.0,0.0,0.0508,39.6,0.000791822,between 125.721 and 129.9955
1250.0,6.7,0.1016,71.3,0.00478288,greater than 129.9955
315.0,0.0,0.2286,31.7,0.0027238,between 120.191 and 125.721
1000.0,7.3,0.2286,55.5,0.0111706,between 120.191 and 125.721
5000.0,3.0,0.3048,39.6,0.00495741,less than 120.191
2000.0,12.7,0.0254,39.6,0.0130253,between 125.721 and 129.9955
250.0,12.3,0.1016,39.6,0.0408268,between 125.721 and 129.9955
1600.0,2.7,0.1524,71.3,0.00243851,greater than 129.9955
2500.0,5.4,0.1524,71.3,0.00401199,between 125.721 and 129.9955
630.0,2.0,0.2286,55.5,0.00313525,between 125.721 and 129.9955
1600.0,15.4,0.0508,55.5,0.0271925,between 125.721 and 129.9955
1600.0,0.0,0.0508,71.3,0.000740478,between 125.721 and 129.9955
400.0,2.0,0.2286,39.6,0.00346574,between 120.191 and 125.721
1250.0,15.4,0.0508,55.5,0.0271925,greater than 129.9955
5000.0,0.0,0.0508,71.3,0.000740478,greater than 129.9955
2500.0,0.0,0.0254,39.6,0.000428464,greater than 129.9955
2000.0,7.3,0.2286,71.3,0.0104404,between 120.191 and 125.721
6300.0,3.3,0.1016,71.3,0.00202822,between 120.191 and 125.721
250.0,9.5,0.0254,31.7,0.00461377,less than 120.191
2000.0,4.0,0.3048,71.3,0.00497773,between 120.191 and 125.721
1000.0,0.0,0.3048,31.7,0.00331266,between 125.721 and 129.9955
3150.0,9.5,0.0254,39.6,0.00449821,between 125.721 and 129.9955
1000.0,12.3,0.1016,55.5,0.0368233,between 120.191 and 125.721
800.0,0.0,0.1016,31.7,0.00150092,between 125.721 and 129.9955
1000.0,0.0,0.2286,31.7,0.0027238,greater than 129.9955
630.0,15.6,0.1016,71.3,0.0437259,between 120.191 and 125.721
1250.0,12.3,0.1016,39.6,0.0408268,between 120.191 and 125.721
2500.0,0.0,0.1524,39.6,0.00193287,between 125.721 and 129.9955
2500.0,4.8,0.0254,55.5,0.000873218,between 125.721 and 129.9955
800.0,3.3,0.1016,31.7,0.00251435,greater than 129.9955
6300.0,3.3,0.1016,31.7,0.00251435,between 120.191 and 125.721
3150.0,7.3,0.2286,71.3,0.0104404,between 120.191 and 125.721
2000.0,2.0,0.2286,39.6,0.00346574,between 120.191 and 125.721
800.0,17.4,0.0254,71.3,0.016104,between 120.191 and 125.721
1250.0,0.0,0.3048,71.3,0.00266337,between 125.721 and 129.9955
400.0,12.6,0.1524,71.3,0.0483159,between 125.721 and 129.9955
800.0,5.4,0.1524,39.6,0.00485029,greater than 129.9955
1250.0,9.9,0.1524,71.3,0.0193001,between 120.191 and 125.721
315.0,3.0,0.3048,39.6,0.00495741,between 120.191 and 125.721
1600.0,0.0,0.2286,39.6,0.00253511,between 125.721 and 129.9955
250.0,17.4,0.0254,31.7,0.0176631,less than 120.191
8000.0,12.7,0.0254,71.3,0.0121808,between 120.191 and 125.721
800.0,15.6,0.1016,71.3,0.0437259,between 120.191 and 125.721
10000.0,0.0,0.3048,55.5,0.00283081,less than 120.191
630.0,0.0,0.3048,39.6,0.00310138,between 125.721 and 129.9955
200.0,7.3,0.2286,55.5,0.0111706,greater than 129.9955
630.0,8.4,0.0508,31.7,0.00580776,between 125.721 and 129.9955
200.0,8.9,0.1016,39.6,0.0124596,greater than 129.9955
1000.0,17.4,0.0254,31.7,0.0176631,greater than 129.9955
6300.0,0.0,0.1016,55.5,0.00131983,between 125.721 and 129.9955
6300.0,0.0,0.2286,71.3,0.00214345,between 120.191 and 125.721
3150.0,9.9,0.1524,39.6,0.0233328,less than 120.191
3150.0,15.4,0.0508,39.6,0.0282593,between 120.191 and 125.721
500.0,12.3,0.1016,55.5,0.0368233,greater than 129.9955
800.0,3.3,0.1016,55.5,0.002211,between 125.721 and 129.9955
3150.0,5.4,0.1524,55.5,0.00433288,between 120.191 and 125.721
1000.0,0.0,0.0508,39.6,0.000791822,between 125.721 and 129.9955
