frequency,angle_of_attack,chord_length,free_stream_velocity,displacement_thickness,sound_pressure
1250.0,4.0,0.3048,39.6,0.00579636,between 125.721 and 129.9955
800.0,0.0,0.3048,71.3,0.00266337,between 125.721 and 129.9955
500.0,5.4,0.1524,39.6,0.00485029,between 125.721 and 129.9955
5000.0,0.0,0.0508,71.3,0.000740478,greater than 129.9955
2000.0,3.0,0.3048,55.5,0.00452492,between 120.191 and 125.721
1600.0,8.4,0.0508,71.3,0.00529514,greater than 129.9955
1250.0,11.2,0.0508,71.3,0.014072,greater than 129.9955
10000.0,3.3,0.1016,39.6,0.00245138,less than 120.191
1600.0,7.3,0.2286,31.7,0.0132672,less than 120.191
630.0,12.7,0.0254,39.6,0.0130253,between 125.721 and 129.9955
250.0,9.9,0.1524,71.3,0.0193001,greater than 129.9955
4000.0,5.4,0.1524,71.3,0.00401199,between 120.191 and 125.721
315.0,8.9,0.1016,39.6,0.0124596,greater than 129.9955
1000.0,3.3,0.1016,71.3,0.00202822,greater than 129.9955
800.0,15.6,0.1016,71.3,0.0437259,between 120.191 and 125.721
800.0,0.0,0.1016,71.3,0.00121072,between 125.721 and 129.9955
800.0,4.0,0.2286,55.5,0.0042862,greater than 129.9955
2000.0,0.0,0.1524,55.5,0.00172668,between 125.721 and 129.9955
10000.0,1.5,0.3048,71.3,0.00336729,less than 120.191
10000.0,0.0,0.1016,55.5,0.00131983,between 120.191 and 125.721
1000.0,0.0,0.3048,71.3,0.00266337,between 120.191 and 125.721
500.0,9.9,0.1524,39.6,0.0233328,between 125.721 and 129.9955
250.0,7.3,0.2286,71.3,0.0104404,greater than 129.9955
2000.0,0.0,0.0508,71.3,0.000740478,greater than 129.9955
10000.0,1.5,0.3048,39.6,0.00392107,less than 120.191
315.0,4.0,0.3048,71.3,0.00497773,between 125.721 and 129.9955
10000.0,2.0,0.2286,71.3,0.00293031,less than 120.191
4000.0,0.0,0.0254,55.5,0.00041229,greater than 129.9955
3150.0,8.4,0.0508,39.6,0.00566229,between 120.191 and 125.721
8000.0,4.0,0.3048,71.3,0.00497773,less than 120.191
1000.0,17.4,0.0254,71.3,0.016104,between 125.721 and 129.9955
250.0,7.3,0.2286,55.5,0.0111706,greater than 129.9955
