F1,F2,F3,F4,F5,F6,F7,F8,F9,RMSD
6931.52,1682.5,0.24273,82.5445,974354.4448,108.406,3835.47,35.0,36.1431,less than 2.305
14357.3,5540.86,0.38592,82.4885,1945701.1106,227.265,5168.01,131.0,28.9533,greater than 13.379
12116.8,6178.71,0.50992,123.323,1677561.9121,237.527,5049.83,131.0,28.7626,greater than 13.379
6175.5,2849.54,0.46142,47.5366,833551.5218,97.6827,2706.22,33.0,39.3895,between 5.03 and 13.379
8424.47,2684.55,0.31866,64.1943,1157045.237,109.551,3400.54,73.0,37.6884,greater than 13.379
6572.82,1595.3,0.24271,68.4371,923095.3058,74.1376,3473.56,19.0,34.1118,less than 2.305
9625.85,3281.74,0.34092,99.0344,1345885.8233,141.334,3635.94,14.0,34.0822,between 2.305 and 5.03
8800.05,2670.51,0.30346,95.2931,1220912.9863,130.949,3830.51,18.0,33.7304,between 2.305 and 5.03
17666.4,4934.8,0.27933,215.795,2456166.8928,280.773,5704.39,200.0,22.1017,less than 2.305
6975.55,2563.78,0.36753,73.7825,970455.2966,110.567,2954.88,100.0,37.6503,greater than 13.379
4833.66,1997.71,0.41329,42.9099,637793.6443,86.3526,2778.77,34.0,43.1422,between 5.03 and 13.379
7825.65,2998.42,0.38315,58.8481,1053441.4372,121.221,3746.67,54.0,40.8672,greater than 13.379
9595.3,2123.54,0.22131,106.532,1321285.6881,131.942,4269.71,58.0,34.1608,less than 2.305
15332.2,3083.04,0.20108,182.783,2156279.0198,228.858,4940.37,73.0,27.253,between 2.305 and 5.03
15166.7,3420.44,0.22552,184.539,2108545.4757,237.032,4709.08,38.0,24.2401,less than 2.305
13209.2,3498.44,0.26484,143.971,1861608.8918,159.534,4733.66,112.0,27.9591,greater than 13.379
