duration,codec,width,height,bitrate,framerate,i,p,b,frames,i_size,p_size,size,o_codec,o_bitrate,o_framerate,o_width,o_height,utime
249.85,h264,480,360,434586,29.0,99,5719,0,5838,825154,4110667,4934821,mpeg4,820000,15.0,480,360,between 2.096 and 4.408
111.12,flv,320,240,263133,15.0,28,1103,0,1131,247481,823981,1071462,h264,5000000,29.97,1920,1080,less than 2.096
68.54,mpeg4,176,144,52085,12.0,17,915,0,932,59676,455814,515490,flv,539000,25.0,320,240,between 2.096 and 4.408
476.46,vp8,1280,720,1429626,29.95,86,12023,0,12159,3132392,56776063,59908455,vp8,3000000,24.0,1280,720,between 4.408 and 10.433
68.97,h264,640,480,914141,13.0,36,987,0,1023,197981,7145629,7342610,mpeg4,820000,15.0,640,480,between 4.408 and 10.433
294.88,vp8,320,240,160057,25.07,101,7751,0,7852,1203548,3652315,4855863,h264,242000,25.0,1920,1080,between 2.096 and 4.408
100.41,mpeg4,176,144,57296,12.0,26,1667,0,1694,78715,1085904,1165619,mpeg4,5000000,12.0,320,240,less than 2.096
368.22,vp8,640,480,317161,25.01,70,8852,0,9022,656184,3139468,3796652,flv,3000000,29.97,480,360,between 2.096 and 4.408
247.49,flv,480,360,262598,15.0,41,960,0,1001,295819,1743486,2040305,vp8,109000,25.0,320,240,between 4.408 and 10.433
76.67,h264,320,240,246734,29.0,91,5976,0,6067,695158,3231774,3926932,mpeg4,242000,24.0,640,480,greater than 10.433
420.85,vp8,1280,720,760121,29.99,104,10235,0,10339,2950792,43069622,46040414,mpeg4,5000000,15.0,1920,1080,between 4.408 and 10.433
131.67,mpeg4,176,144,52315,12.0,30,1533,0,1566,50982,654132,704114,h264,539000,29.97,1280,720,between 2.096 and 4.408
294.51,h264,480,360,440129,25.03,117,6789,0,6906,1932407,10585021,12517428,flv,820000,12.0,320,240,between 2.096 and 4.408
123.25,flv,320,240,250059,15.0,38,983,0,1021,335940,1831776,2168716,vp8,109000,25.0,480,360,between 2.096 and 4.408
382.64,vp8,640,480,291105,25.0,81,7999,0,8078,697942,2837672,3537614,mpeg4,242000,24.0,640,480,between 2.096 and 4.408
65.92,mpeg4,176,144,53421,12.0,19,857,0,876,46312,390184,436496,flv,3000000,15.0,320,240,between 4.408 and 10.433
248.49,h264,480,360,406976,29.0,92,5594,0,5686,682151,3021854,3705005,h264,820000,25.0,1280,720,between 4.408 and 10.433
107.26,vp8,480,360,320199,30.01,29,2976,0,3005,588824,3255566,3842390,vp8,539000,29.97,1920,1080,between 2.096 and 4.408
255.67,flv,320,240,265106,25.05,110,6049,0,6158,905421,4408779,5312100,mpeg4,5000000,12.0,480,360,less than 2.096
149.66,mpeg4,176,144,56841,12.0,23,1432,0,1455,66345,821449,887794,h264,242000,25.0,640,480,between 2.096 and 4.408
413.31,vp8,1280,720,1523053,29.98,114,13421,0,13535,3491801,61282123,64753924,flv,3000000,24.0,1280,720,between 4.408 and 10.433
288.76,h264,640,480,974659,13.0,39,1046,0,1085,232419,7378145,7612550,vp8,109000,25.0,1920,1080,between 2.096 and 4.408
74.88,flv,320,240,272065,15.0,34,938,0,972,314291,1575317,1888608,mpeg4,5000000,29.97,1280,720,between 2.096 and 4.408
123.4,mpeg4,176,144,54943,12.0,25,1584,0,1609,72938,863199,936237,flv,539000,15.0,320,240,between 4.408 and 10.433
296.29,vp8,320,240,144165,25.04,88,7371,0,7469,1003620,3403351,4406971,h264,242000,25.0,1920,1080,between 2.096 and 4.408
65.7,h264,480,360,426179,29.0,94,5649,0,5743,684331,2993413,3677444,mpeg4,820000,12.0,640,480,between 4.408 and 10.433
129.75,mpeg4,176,144,51397,12.0,28,1517,0,1544,68025,807291,875316,flv,5000000,25.0,480,360,between 2.096 and 4.408
421.88,vp8,1280,720,1487764,29.92,103,11258,0,11361,3259552,63156439,66446091,vp8,109000,24.0,1280,720,between 4.408 and 10.433
395.18,h264,640,480,225506,25.01,78,9223,0,9306,734342,3548821,4284163,mpeg4,242000,25.0,640,480,between 2.096 and 4.408
297.75,flv,320,240,253915,15.0,37,950,0,987,337654,1802551,2141505,h264,539000,29.97,1920,1080,less than 2.096
111.47,mpeg4,176,144,55553,12.0,20,827,0,849,50143,398131,448274,flv,5000000,15.0,1280,720,between 2.096 and 4.408
248.37,h264,480,360,444661,29.0,99,5923,0,6012,711819,3245962,3958781,vp8,820000,12.0,640,480,between 4.408 and 10.433
294.62,vp8,320,240,163423,25.03,82,7638,0,7719,1153960,3787554,4941514,mpeg4,242000,25.0,320,240,between 2.096 and 4.408
64.87,mpeg4,176,144,52023,12.0,16,788,0,804,47445,366255,413700,h264,3000000,25.0,480,360,between 2.096 and 4.408
383.64,vp8,1280,720,1452519,29.91,108,12542,0,12649,3341243,60542130,63893373,flv,539000,24.0,1280,720,between 4.408 and 10.433
145.47,h264,320,240,250542,25.06,110,6172,0,6282,906195,4014984,4921179,mpeg4,5000000,12.0,320,240,less than 2.096
68.48,flv,480,360,272217,15.0,36,942,0,978,313409,1641062,1952471,vp8,820000,25.0,640,480,between 2.096 and 4.408
