duration,codec,width,height,bitrate,framerate,i,p,b,frames,i_size,p_size,size,o_codec,o_bitrate,o_framerate,o_width,o_height,utime
139.23,flv,320.0,240.0,472813.0,23.0,73.0,4111.0,0.0,4184.0,1152312.0,6443556.0,7595868.0,h264,242000.0,25.0,320.0,240.0,between 2.096 and 4.408
220.11,vp8,480.0,360.0,1203840.0,25.0,129.0,7484.0,0.0,7618.0,2513280.0,15711549.0,18244829.0,vp8,539000.0,24.0,1920.0,1080.0,greater than 10.433
291.55,mpeg4,176.0,144.0,292107.0,15.0,51.0,2869.0,0.0,2920.0,487616.0,2189461.0,2679077.0,mpeg4,109000.0,25.0,480.0,360.0,between 4.408 and 10.433
179.75,h264,320.0,240.0,274586.0,29.0,96.0,5498.0,0.0,5597.0,1270940.0,7063569.0,8334510.0,h264,5000000.0,25.0,320.0,240.0,between 2.096 and 4.408
228.49,flv,640.0,480.0,1339380.0,30.0,141.0,8220.0,0.0,8359.0,3041920.0,20661520.0,23693440.0,flv,242000.0,29.97,1920.0,1080.0,between 4.408 and 10.433
157.36,vp8,480.0,360.0,1154173.0,25.0,93.0,5491.0,0.0,5591.0,2009072.0,10548179.0,12567251.0,vp8,539000.0,21.75,480.0,360.0,less than 2.096
246.75,h264,1920.0,1080.0,859469.0,25.0,125.0,7539.0,0.0,7663.0,1861551.0,12167550.0,14029099.0,h264,820000.0,25.0,320.0,240.0,greater than 10.433
391.85,mpeg4,320.0,240.0,417926.0,23.0,78.0,4258.0,0.0,4336.0,959231.0,6492199.0,7452430.0,mpeg4,109000.0,24.0,176.0,144.0,between 2.096 and 4.408
200.15,vp8,640.0,480.0,531423.0,29.0,108.0,6338.0,0.0,6445.0,1523951.0,10482140.0,12026091.0,flv,5000000.0,29.97,1920.0,1080.0,greater than 10.433
490.96,flv,176.0,144.0,391053.0,25.0,69.0,3964.0,0.0,4033.0,714479.0,5542388.0,6255867.0,vp8,242000.0,25.0,1920.0,1080.0,between 2.096 and 4.408
281.45,h264,480.0,360.0,471429.0,15.0,58.0,3063.0,0.0,3136.0,501395.0,4833575.0,5332970.0,h264,539000.0,21.75,320.0,240.0,between 4.408 and 10.433
142.83,mpeg4,320.0,240.0,244154.0,23.0,44.0,2404.0,0.0,2448.0,394335.0,2493413.0,2886748.0,mpeg4,820000.0,25.0,480.0,360.0,less than 2.096
270.9,vp8,1920.0,1080.0,1543467.0,29.0,118.0,6833.0,0.0,6948.0,3175329.0,19852149.0,23057500.0,flv,5000000.0,25.0,320.0,240.0,between 2.096 and 4.408
182.48,h264,640.0,480.0,626061.0,25.0,92.0,5270.0,0.0,5359.0,1241540.0,7956411.0,9197951.0,vp8,539000.0,29.97,1920.0,1080.0,between 4.408 and 10.433
353.14,flv,480.0,360.0,382270.0,23.0,53.0,2822.0,0.0,2889.0,454819.0,4411228.0,4865047.0,h264,242000.0,25.0,176.0,144.0,between 2.096 and 4.408
235.53,mpeg4,320.0,240.0,292993.0,29.0,74.0,4107.0,0.0,4187.0,827291.0,5521294.0,6347585.0,mpeg4,109000.0,24.0,320.0,240.0,between 4.408 and 10.433
