fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Professional-Salaried,Craftsman-Construction,intact,white,13.1,greater than 14.6
Craftsman-Manufacturing,Laborer-Manufacturing,intact,white,72.8,greater than 14.6
Operative-Manufacturing,Laborer-Nonmanufacturing,nonintact,white,22.3,between 3.3 and 14.6
Professional_Self-Employed,Manager,intact,black,0.5,less than 0.6
Laborer-Nonmanufacturing,Service_Worker,nonintact,black,7.0,between 3.3 and 14.6
Proprietor,Laborer-Manufacturing,intact,white,19.1,between 3.3 and 14.6
Clerk,Operative-Manufacturing,nonintact,white,23.8,greater than 14.6
Farm_Laborer,Operative-Nonmanufacturing,nonintact,white,5.1,between 3.3 and 14.6
Professional-Salaried,Craftsmen-Other,nonintact,white,4.3,between 3.3 and 14.6
Professional-Salaried,Professional-Salaried,intact,black,8.6,between 3.3 and 14.6
Craftsmen-Other,Salesman-Nonretail,nonintact,black,0.7,between 0.6 and 3.3
Salesman-Retail,Laborer-Manufacturing,intact,black,0.0,less than 0.6
Salesman-Retail,Operative-Manufacturing,intact,white,35.5,greater than 14.6
Operative-Manufacturing,Manager,nonintact,white,8.0,greater than 14.6
Salesman-Nonretail,Clerk,intact,black,0.5,less than 0.6
Laborer-Nonmanufacturing,Laborer-Manufacturing,nonintact,black,1.9,less than 0.6
Farm_Laborer,Laborer-Manufacturing,nonintact,white,8.1,between 3.3 and 14.6
Clerk,Professional_Self-Employed,intact,white,1.9,between 3.3 and 14.6
Laborer-Manufacturing,Salesman-Retail,intact,white,9.5,between 3.3 and 14.6
Professional_Self-Employed,Professional-Salaried,intact,black,0.9,less than 0.6
Professional_Self-Employed,Manager,nonintact,black,0.0,less than 0.6
Craftsmen-Other,Manager,intact,black,2.2,between 0.6 and 3.3
Manager,Laborer-Nonmanufacturing,nonintact,white,5.7,between 0.6 and 3.3
Clerk,Professional-Salaried,intact,black,3.6,between 3.3 and 14.6
Laborer-Manufacturing,Operative-Nonmanufacturing,nonintact,black,1.8,between 0.6 and 3.3
Professional-Salaried,Craftsmen-Other,intact,white,54.7,greater than 14.6
Farmer/Farm_Manager,Craftsman-Construction,nonintact,white,14.7,greater than 14.6
Craftsman-Construction,Craftsmen-Other,nonintact,black,0.3,between 0.6 and 3.3
Professional_Self-Employed,Salesman-Retail,nonintact,white,1.5,between 0.6 and 3.3
Service_Worker,Craftsman-Manufacturing,intact,white,33.7,greater than 14.6
Laborer-Manufacturing,Manager,nonintact,white,0.8,between 3.3 and 14.6
Farm_Laborer,Operative-Manufacturing,intact,black,14.2,greater than 14.6
Operative-Manufacturing,Clerk,intact,black,9.6,between 3.3 and 14.6
Salesman-Retail,Operative-Manufacturing,nonintact,white,8.4,between 3.3 and 14.6
Professional-Salaried,Farm_Laborer,intact,black,0.7,less than 0.6
Craftsman-Construction,Craftsman-Construction,nonintact,black,0.5,less than 0.6
Manager,Operative-Nonmanufacturing,intact,white,72.9,greater than 14.6
Operative-Nonmanufacturing,Farmer/Farm_Manager,intact,white,8.7,between 3.3 and 14.6
Salesman-Nonretail,Salesman-Retail,intact,white,26.3,greater than 14.6
Craftsmen-Other,Laborer-Nonmanufacturing,nonintact,black,0.4,between 0.6 and 3.3
Manager,Salesman-Retail,nonintact,black,0.0,less than 0.6
Laborer-Nonmanufacturing,Manager,nonintact,black,0.0,less than 0.6
Laborer-Manufacturing,Farmer/Farm_Manager,nonintact,white,0.0,less than 0.6
Craftsmen-Other,Salesman-Retail,nonintact,black,0.0,between 0.6 and 3.3
Professional_Self-Employed,Operative-Nonmanufacturing,intact,white,9.6,between 3.3 and 14.6
Clerk,Farmer/Farm_Manager,nonintact,white,0.8,between 0.6 and 3.3
Craftsman-Construction,Farm_Laborer,nonintact,white,4.4,less than 0.6
Salesman-Nonretail,Service_Worker,intact,white,9.5,greater than 14.6
Craftsman-Manufacturing,Laborer-Nonmanufacturing,nonintact,black,0.6,less than 0.6
Craftsman-Construction,Laborer-Manufacturing,intact,black,4.0,between 3.3 and 14.6
Craftsman-Manufacturing,Craftsmen-Other,nonintact,white,3.4,between 3.3 and 14.6
Salesman-Retail,Proprietor,intact,black,0.0,between 0.6 and 3.3
Manager,Manager,intact,white,112.8,greater than 14.6
Operative-Manufacturing,Salesman-Nonretail,intact,white,19.9,greater than 14.6
Salesman-Nonretail,Salesman-Retail,nonintact,black,0.0,less than 0.6
Craftsman-Construction,Professional-Salaried,nonintact,white,4.6,between 3.3 and 14.6
Clerk,Laborer-Manufacturing,intact,black,1.8,between 0.6 and 3.3
Craftsman-Manufacturing,Laborer-Manufacturing,nonintact,black,0.5,less than 0.6
Craftsmen-Other,Professional_Self-Employed,nonintact,black,0.0,less than 0.6
Craftsmen-Other,Farmer/Farm_Manager,intact,white,5.9,between 3.3 and 14.6
Farmer/Farm_Manager,Laborer-Manufacturing,intact,black,31.8,greater than 14.6
Clerk,Craftsman-Construction,nonintact,white,9.2,between 3.3 and 14.6
Salesman-Retail,Craftsman-Construction,nonintact,black,0.0,less than 0.6
Clerk,Service_Worker,intact,black,4.3,between 0.6 and 3.3
Clerk,Operative-Manufacturing,intact,black,5.7,between 3.3 and 14.6
Craftsmen-Other,Farmer/Farm_Manager,intact,black,0.0,less than 0.6
Operative-Nonmanufacturing,Proprietor,nonintact,black,0.0,less than 0.6
Clerk,Clerk,intact,white,110.3,greater than 14.6
