fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Craftsman-Construction,Craftsmen-Other,nonintact,black,0.3,between 0.6 and 3.3
Craftsmen-Other,Service_Worker,intact,white,43.5,greater than 14.6
Farmer/Farm_Manager,Farmer/Farm_Manager,nonintact,white,29.0,greater than 14.6
Farm_Laborer,Professional_Self-Employed,intact,white,1.5,between 0.6 and 3.3
Craftsman-Construction,Craftsman-Construction,nonintact,white,8.1,greater than 14.6
Salesman-Retail,Farm_Laborer,nonintact,black,0.0,less than 0.6
Craftsman-Manufacturing,Manager,intact,black,0.0,between 0.6 and 3.3
Farmer/Farm_Manager,Operative-Manufacturing,nonintact,white,37.1,greater than 14.6
Manager,Professional_Self-Employed,nonintact,black,0.0,less than 0.6
Salesman-Nonretail,Farm_Laborer,intact,black,0.0,less than 0.6
Salesman-Retail,Salesman-Retail,intact,black,0.6,less than 0.6
Craftsman-Manufacturing,Proprietor,intact,black,0.0,less than 0.6
Proprietor,Operative-Manufacturing,nonintact,black,0.0,between 0.6 and 3.3
Professional_Self-Employed,Operative-Manufacturing,intact,black,0.4,between 0.6 and 3.3
Farmer/Farm_Manager,Craftsman-Construction,nonintact,white,14.7,greater than 14.6
Farmer/Farm_Manager,Laborer-Manufacturing,intact,white,89.1,greater than 14.6
Proprietor,Professional-Salaried,intact,black,1.3,between 0.6 and 3.3
Clerk,Manager,intact,white,32.7,greater than 14.6
Salesman-Retail,Craftsman-Manufacturing,nonintact,white,2.3,between 3.3 and 14.6
Clerk,Clerk,intact,black,6.3,between 3.3 and 14.6
Professional-Salaried,Manager,intact,white,54.5,greater than 14.6
Clerk,Clerk,nonintact,white,26.5,greater than 14.6
Salesman-Retail,Farm_Laborer,intact,white,3.1,less than 0.6
Professional_Self-Employed,Craftsman-Manufacturing,nonintact,white,0.0,between 0.6 and 3.3
Manager,Service_Worker,nonintact,black,0.0,between 0.6 and 3.3
Operative-Manufacturing,Salesman-Nonretail,intact,black,2.6,less than 0.6
Proprietor,Laborer-Manufacturing,nonintact,black,0.8,less than 0.6
Farmer/Farm_Manager,Craftsman-Construction,intact,black,8.8,greater than 14.6
Professional-Salaried,Craftsmen-Other,intact,white,54.7,greater than 14.6
Clerk,Salesman-Nonretail,intact,black,0.0,less than 0.6
Manager,Salesman-Retail,intact,white,59.0,greater than 14.6
Craftsman-Construction,Craftsman-Manufacturing,intact,white,45.7,greater than 14.6
Salesman-Nonretail,Clerk,nonintact,black,0.0,less than 0.6
Proprietor,Professional_Self-Employed,intact,black,0.0,less than 0.6
Farm_Laborer,Craftsman-Manufacturing,intact,white,17.4,greater than 14.6
Service_Worker,Professional_Self-Employed,intact,black,0.5,less than 0.6
Professional-Salaried,Craftsmen-Other,nonintact,white,4.3,between 3.3 and 14.6
Farm_Laborer,Craftsmen-Other,nonintact,white,8.8,between 3.3 and 14.6
Service_Worker,Laborer-Manufacturing,intact,black,3.7,between 3.3 and 14.6
