fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Craftsman-Construction,Craftsmen-Other,nonintact,black,0.3,between 0.6 and 3.3
Craftsmen-Other,Service_Worker,intact,white,43.5,greater than 14.6
Farmer/Farm_Manager,Farmer/Farm_Manager,nonintact,white,29.0,greater than 14.6
Farm_Laborer,Professional_Self-Employed,intact,white,1.5,between 0.6 and 3.3
Craftsman-Construction,Craftsman-Construction,nonintact,white,8.1,greater than 14.6
Salesman-Retail,Farm_Laborer,nonintact,black,0.0,less than 0.6
Craftsman-Manufacturing,Manager,intact,black,0.0,between 0.6 and 3.3
Farmer/Farm_Manager,Operative-Manufacturing,nonintact,white,37.1,greater than 14.6
Manager,Professional_Self-Employed,nonintact,black,0.0,less than 0.6
Salesman-Nonretail,Farm_Laborer,intact,black,0.0,less than 0.6
Salesman-Retail,Salesman-Retail,intact,black,0.6,less than 0.6
Craftsman-Manufacturing,Proprietor,intact,black,0.0,less than 0.6
Proprietor,Operative-Manufacturing,nonintact,black,0.0,between 0.6 and 3.3
Professional_Self-Employed,Operative-Manufacturing,intact,black,0.4,between 0.6 and 3.3
Farmer/Farm_Manager,Craftsman-Construction,nonintact,white,14.7,greater than 14.6
Farmer/Farm_Manager,Laborer-Manufacturing,intact,white,89.1,greater than 14.6
Proprietor,Professional-Salaried,intact,black,1.3,between 0.6 and 3.3
Clerk,Manager,intact,white,32.7,greater than 14.6
Salesman-Retail,Craftsman-Manufacturing,nonintact,white,2.3,between 3.3 and 14.6
Clerk,Clerk,intact,black,6.3,between 3.3 and 14.6
Professional-Salaried,Manager,intact,white,54.5,greater than 14.6
Clerk,Clerk,nonintact,white,26.5,greater than 14.6
Salesman-Retail,Farm_Laborer,intact,white,3.1,less than 0.6
Professional_Self-Employed,Craftsman-Manufacturing,nonintact,white,0.0,between 0.6 and 3.3
Manager,Service_Worker,nonintact,black,0.0,between 0.6 and 3.3
Operative-Manufacturing,Salesman-Nonretail,intact,black,2.6,less than 0.6
Proprietor,Laborer-Manufacturing,nonintact,black,0.8,less than 0.6
Farmer/Farm_Manager,Craftsman-Construction,intact,black,8.8,greater than 14.6
Professional-Salaried,Craftsmen-Other,intact,white,54.7,greater than 14.6
Clerk,Salesman-Nonretail,intact,black,0.0,less than 0.6
Manager,Salesman-Retail,intact,white,59.0,greater than 14.6
Craftsman-Construction,Craftsman-Manufacturing,intact,white,45.7,greater than 14.6
Salesman-Nonretail,Clerk,nonintact,black,0.0,less than 0.6
Proprietor,Professional_Self-Employed,intact,black,0.0,less than 0.6
Farm_Laborer,Craftsman-Manufacturing,intact,white,17.4,greater than 14.6
Service_Worker,Professional_Self-Employed,intact,black,0.5,less than 0.6
Professional-Salaried,Craftsmen-Other,nonintact,white,4.3,between 3.3 and 14.6
Farm_Laborer,Craftsmen-Other,nonintact,white,8.8,between 3.3 and 14.6
Service_Worker,Laborer-Manufacturing,intact,black,3.7,between 3.3 and 14.6
Professional-Salaried,Laborer-Nonmanufacturing,intact,black,0.9,between 0.6 and 3.3
Laborer-Nonmanufacturing,Laborer-Nonmanufacturing,nonintact,white,15.0,between 3.3 and 14.6
Craftsman-Construction,Farmer/Farm_Manager,nonintact,black,0.0,less than 0.6
Craftsman-Manufacturing,Craftsman-Manufacturing,intact,black,1.5,between 3.3 and 14.6
Salesman-Nonretail,Proprietor,nonintact,black,0.0,less than 0.6
Laborer-Manufacturing,Professional-Salaried,intact,black,6.3,between 3.3 and 14.6
Operative-Manufacturing,Salesman-Nonretail,nonintact,white,5.6,between 3.3 and 14.6
Salesman-Retail,Farmer/Farm_Manager,intact,white,2.9,between 0.6 and 3.3
Craftsmen-Other,Operative-Nonmanufacturing,intact,black,8.4,between 3.3 and 14.6
Professional_Self-Employed,Farmer/Farm_Manager,intact,white,1.4,between 0.6 and 3.3
Craftsmen-Other,Farm_Laborer,intact,white,26.9,between 3.3 and 14.6
Proprietor,Operative-Nonmanufacturing,nonintact,black,0.0,between 0.6 and 3.3
Proprietor,Farmer/Farm_Manager,nonintact,white,0.4,between 0.6 and 3.3
Proprietor,Service_Worker,intact,black,2.0,between 0.6 and 3.3
Craftsman-Construction,Farm_Laborer,intact,white,33.1,between 3.3 and 14.6
Manager,Craftsman-Construction,nonintact,white,1.6,between 3.3 and 14.6
Craftsman-Manufacturing,Proprietor,intact,white,2.3,greater than 14.6
Salesman-Nonretail,Craftsman-Construction,intact,white,6.1,between 3.3 and 14.6
Operative-Manufacturing,Proprietor,nonintact,black,0.0,less than 0.6
Farmer/Farm_Manager,Craftsmen-Other,nonintact,black,2.7,between 3.3 and 14.6
Laborer-Manufacturing,Salesman-Retail,intact,black,0.8,between 0.6 and 3.3
Professional_Self-Employed,Laborer-Manufacturing,intact,white,2.4,between 0.6 and 3.3
Professional_Self-Employed,Farm_Laborer,nonintact,black,0.0,less than 0.6
Service_Worker,Operative-Nonmanufacturing,intact,white,55.9,greater than 14.6
Manager,Farm_Laborer,intact,black,0.0,less than 0.6
