age,height_cm,weight_kg,nationality_name,overall,potential,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,wage_eur
24.63305,182.78792,77.17501,New Zealand,58.400875,61.35365,47.772293,60.45095,54.023357,58.48701,56.313053,59.79492,48.40374,45.03275,46.035725,64.47965,59.474422,58.13156,66.977875,47.038006,69.70048,39.941097,36.827507,12.241897,7.340563,10.474998,11.810601,8.910681,less than 1000.0
27.079466,170.72885,67.86173,Hungary,72.15899,73.111946,63.568516,52.232677,63.849995,74.303825,59.730648,64.72215,47.71903,60.103374,73.637634,71.44117,67.063065,53.967186,78.31161,65.817154,87.81803,63.983913,63.44187,5.1438727,11.678524,11.8330145,10.942134,10.870425,between 3000.0 and 8000.0
22.982635,193.32927,82.49762,Hungary,60.935806,66.772545,37.255825,46.839806,47.53246,44.97741,42.542843,54.75521,47.992588,29.438711,39.621243,47.099533,47.422985,65.151245,57.412243,51.779316,46.62628,50.768932,51.279957,5.9600015,5.8726006,14.880786,13.056394,14.456642,less than 1000.0
28.556475,188.70874,82.34333,Republic of Ireland,70.8914,74.658394,72.34482,65.88369,71.34528,67.564835,55.5849,59.48045,58.323776,63.214657,67.44373,70.32748,57.213184,43.828648,52.36572,72.09034,46.39365,60.993618,59.613564,7.7052293,16.33399,7.209086,12.098144,11.770161,between 3000.0 and 8000.0
30.4768,191.1549,78.64778,Switzerland,71.53958,73.12829,36.950516,43.117184,65.37044,68.7874,46.648666,54.64696,45.114,43.940895,63.92599,55.22291,43.67268,44.832672,57.31243,73.99104,38.11971,73.50589,73.372185,9.871301,8.815857,13.35259,7.4752955,10.204859,between 3000.0 and 8000.0
31.763014,176.84534,69.8561,Korea Republic,62.912815,62.856346,65.20531,50.058887,36.24756,62.32508,49.610638,66.22938,44.814373,44.13686,61.135864,67.221954,72.11128,81.18713,71.702965,55.92183,78.54072,49.30122,43.600323,8.1544695,6.671457,13.873043,8.01217,14.437336,less than 1000.0
31.454224,177.76541,70.26749,Spain,65.47447,65.09672,53.471447,33.593727,18.88606,62.958183,39.21983,58.69525,51.78662,51.024094,51.624245,62.258644,59.567467,64.16037,75.57857,60.439808,73.709114,60.27529,61.541252,7.0284348,16.29086,7.713315,13.286453,15.292581,between 3000.0 and 8000.0
30.918795,174.47975,66.24133,Hungary,68.42832,68.54247,62.57885,52.124844,61.227425,64.612404,49.84321,63.359604,66.18901,57.845196,60.84853,65.59398,78.08025,73.242226,84.155365,61.3267,80.21889,67.544426,63.963997,14.606408,14.146675,10.99983,13.742398,6.0703645,between 3000.0 and 8000.0
18.10684,178.3381,70.23024,Romania,52.462383,69.37359,43.04869,59.599613,58.39222,49.86442,48.468723,61.51345,46.97257,46.017925,56.430614,62.764977,62.10529,56.56112,69.8903,54.384636,71.8572,34.542152,38.885826,6.9924874,6.02762,12.270423,14.337361,10.864682,less than 1000.0
28.01431,179.28026,75.18905,Ecuador,64.70168,64.44999,19.705305,8.084339,42.267654,48.333374,7.653262,37.85436,29.954311,21.615187,43.774853,41.86384,72.45534,66.49529,57.108902,63.51635,73.95536,62.12628,62.17736,52.423553,59.59704,31.881254,15.882174,15.897601,greater than 8000.0
