sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
M,0.555,0.435,0.135,0.93,0.405,0.192,0.255,greater than 11.0
F,0.675,0.53,0.175,1.335,0.635,0.305,0.365,greater than 11.0
I,0.365,0.285,0.105,0.275,0.115,0.065,0.09,less than 8.0
M,0.57,0.445,0.145,0.915,0.41,0.202,0.235,between 9.0 and 11.0
M,0.645,0.505,0.165,1.265,0.595,0.282,0.33,between 9.0 and 11.0
F,0.59,0.46,0.155,0.935,0.445,0.227,0.255,greater than 11.0
F,0.695,0.545,0.185,1.475,0.725,0.342,0.395,between 9.0 and 11.0
M,0.525,0.415,0.13,0.805,0.365,0.173,0.21,between 9.0 and 11.0
F,0.625,0.49,0.16,1.065,0.51,0.253,0.285,greater than 11.0
I,0.435,0.345,0.115,0.355,0.155,0.085,0.11,less than 8.0
F,0.55,0.435,0.14,0.79,0.365,0.189,0.215,greater than 11.0
M,0.595,0.465,0.155,1.035,0.485,0.238,0.275,between 9.0 and 11.0
M,0.655,0.515,0.17,1.245,0.59,0.293,0.335,greater than 11.0
F,0.715,0.565,0.185,1.51,0.755,0.353,0.415,between 9.0 and 11.0
F,0.585,0.455,0.15,0.945,0.445,0.225,0.255,greater than 11.0
I,0.485,0.385,0.125,0.515,0.235,0.135,0.155,less than 8.0
M,0.575,0.455,0.145,0.965,0.455,0.223,0.255,between 9.0 and 11.0
M,0.67,0.53,0.175,1.355,0.645,0.313,0.375,greater than 11.0
F,0.635,0.5,0.165,1.235,0.59,0.283,0.33,between 9.0 and 11.0
F,0.725,0.575,0.19,1.635,0.79,0.373,0.435,greater than 11.0
I,0.395,0.305,0.105,0.305,0.135,0.075,0.095,less than 8.0
M,0.535,0.425,0.135,0.865,0.405,0.202,0.235,between 9.0 and 11.0
F,0.665,0.525,0.17,1.415,0.685,0.323,0.375,greater than 11.0
F,0.605,0.475,0.155,1.035,0.495,0.248,0.28,between 9.0 and 11.0
M,0.545,0.435,0.14,0.895,0.425,0.212,0.245,greater than 11.0
M,0.585,0.465,0.15,1.005,0.475,0.238,0.275,between 9.0 and 11.0
I,0.475,0.375,0.12,0.475,0.215,0.125,0.145,less than 8.0
F,0.65,0.51,0.165,1.29,0.61,0.294,0.34,between 9.0 and 11.0
F,0.7,0.56,0.185,1.53,0.755,0.356,0.42,greater than 11.0
F,0.59,0.465,0.155,0.985,0.465,0.233,0.265,greater than 11.0
M,0.63,0.495,0.16,1.185,0.565,0.276,0.315,between 9.0 and 11.0
M,0.67,0.53,0.175,1.335,0.645,0.313,0.375,greater than 11.0
