sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
M,0.555,0.435,0.135,0.9435,0.394,0.192,0.281,between 9.0 and 11.0
F,0.505,0.395,0.125,0.7445,0.308,0.1475,0.234,greater than 11.0
I,0.365,0.28,0.085,0.2355,0.0945,0.0435,0.077,less than 8.0
M,0.51,0.405,0.12,0.635,0.262,0.117,0.192,between 9.0 and 11.0
F,0.58,0.455,0.145,0.9565,0.3985,0.2055,0.306,greater than 11.0
I,0.475,0.37,0.11,0.4115,0.1735,0.0795,0.126,between 8.0 and 9.0
F,0.625,0.49,0.155,1.0655,0.4565,0.234,0.322,greater than 11.0
M,0.56,0.435,0.135,0.854,0.3525,0.1845,0.263,between 9.0 and 11.0
F,0.685,0.535,0.185,1.436,0.6265,0.3145,0.403,greater than 11.0
I,0.415,0.315,0.095,0.291,0.1285,0.058,0.088,less than 8.0
M,0.585,0.46,0.145,0.9915,0.4145,0.212,0.301,between 9.0 and 11.0
F,0.55,0.43,0.135,0.887,0.376,0.191,0.272,greater than 11.0
I,0.535,0.415,0.125,0.648,0.274,0.1315,0.201,between 8.0 and 9.0
M,0.63,0.49,0.155,1.0655,0.455,0.2295,0.316,greater than 11.0
F,0.615,0.485,0.15,1.033,0.4545,0.2215,0.294,between 9.0 and 11.0
I,0.49,0.38,0.115,0.4755,0.2055,0.095,0.143,between 8.0 and 9.0
M,0.575,0.445,0.14,0.8995,0.378,0.1955,0.281,between 9.0 and 11.0
F,0.66,0.52,0.165,1.144,0.5035,0.2495,0.329,greater than 11.0
I,0.56,0.435,0.135,0.731,0.3085,0.154,0.226,between 8.0 and 9.0
M,0.65,0.505,0.16,1.1415,0.503,0.2465,0.327,between 9.0 and 11.0
F,0.59,0.46,0.145,0.9635,0.4135,0.2125,0.29,greater than 11.0
I,0.465,0.355,0.11,0.3765,0.159,0.076,0.117,less than 8.0
M,0.58,0.455,0.14,0.9015,0.384,0.198,0.278,between 9.0 and 11.0
F,0.635,0.5,0.155,1.075,0.4765,0.235,0.306,greater than 11.0
I,0.52,0.405,0.125,0.588,0.249,0.125,0.193,between 8.0 and 9.0
M,0.525,0.415,0.13,0.699,0.291,0.149,0.223,between 9.0 and 11.0
F,0.69,0.545,0.17,1.2355,0.5485,0.2675,0.352,greater than 11.0
I,0.485,0.375,0.115,0.4435,0.193,0.093,0.136,less than 8.0
M,0.61,0.485,0.15,1.007,0.4425,0.2225,0.304,greater than 11.0
F,0.59,0.465,0.145,0.943,0.4055,0.207,0.283,greater than 11.0
I,0.55,0.425,0.13,0.675,0.2855,0.1415,0.216,between 8.0 and 9.0
M,0.57,0.445,0.14,0.8555,0.3655,0.1865,0.262,between 9.0 and 11.0
F,0.655,0.51,0.16,1.1435,0.5035,0.248,0.325,greater than 11.0
I,0.51,0.395,0.12,0.524,0.2265,0.1125,0.171,between 8.0 and 9.0
M,0.625,0.495,0.155,1.0755,0.459,0.233,0.314,greater than 11.0
F,0.61,0.485,0.15,1.0185,0.4465,0.223,0.294,greater than 11.0
I,0.46,0.355,0.11,0.3625,0.1555,0.0765,0.117,less than 8.0
M,0.59,0.465,0.145,0.9715,0.4155,0.2125,0.287,greater than 11.0
F,0.64,0.505,0.16,1.0865,0.4825,0.2385,0.309,greater than 11.0
I,0.53,0.415,0.13,0.6095,0.2595,0.127,0.198,between 8.0 and 9.0
M,0.53,0.41,0.125,0.664,0.2815,0.1365,0.205,between 9.0 and 11.0
F,0.665,0.525,0.165,1.1455,0.5085,0.251,0.329,greater than 11.0
I,0.495,0.38,0.115,0.4695,0.204,0.0985,0.145,less than 8.0
M,0.56,0.435,0.135,0.851,0.365,0.187,0.267,between 9.0 and 11.0
F,0.625,0.495,0.155,1.0545,0.464,0.2275,0.303,greater than 11.0
I,0.49,0.38,0.12,0.4495,0.196,0.0965,0.141,between 8.0 and 9.0
M,0.575,0.45,0.14,0.889,0.377,0.194,0.276,between 9.0 and 11.0
F,0.59,0.46,0.145,0.9455,0.4095,0.2075,0.283,greater than 11.0
I,0.515,0.395,0.125,0.5235,0.2265,0.113,0.173,between 8.0 and 9.0
M,0.615,0.485,0.15,1.025,0.455,0.2265,0.306,greater than 11.0
F,0.593,0.461,0.164,1.023,0.403,0.236,0.317,greater than 11.0
M,0.548,0.424,0.139,0.791,0.351,0.191,0.243,between 9.0 and 11.0
I,0.382,0.297,0.096,0.246,0.125,0.058,0.073,less than 8.0
F,0.628,0.494,0.171,1.194,0.485,0.255,0.348,greater than 11.0
M,0.475,0.373,0.121,0.531,0.225,0.121,0.193,between 9.0 and 11.0
F,0.556,0.433,0.145,0.876,0.361,0.202,0.286,between 9.0 and 11.0
I,0.442,0.341,0.109,0.365,0.165,0.079,0.117,less than 8.0
F,0.679,0.54,0.186,1.578,0.655,0.317,0.433,greater than 11.0
M,0.602,0.475,0.157,1.057,0.456,0.245,0.308,greater than 11.0
F,0.513,0.406,0.129,0.697,0.292,0.163,0.226,between 9.0 and 11.0
I,0.297,0.227,0.073,0.151,0.061,0.031,0.043,less than 8.0
M,0.629,0.499,0.165,1.345,0.566,0.294,0.383,between 9.0 and 11.0
F,0.494,0.388,0.125,0.575,0.243,0.134,0.199,between 8.0 and 9.0
I,0.557,0.433,0.141,0.855,0.356,0.194,0.278,greater than 11.0
