sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
M,0.59,0.46,0.145,0.955,0.392,0.235,0.281,greater than 11.0
F,0.485,0.365,0.105,0.498,0.204,0.114,0.141,between 9.0 and 11.0
I,0.68,0.53,0.165,1.252,0.564,0.282,0.365,between 9.0 and 11.0
M,0.54,0.415,0.13,0.732,0.305,0.161,0.223,greater than 11.0
F,0.565,0.435,0.125,0.777,0.316,0.174,0.235,between 9.0 and 11.0
I,0.395,0.295,0.08,0.351,0.145,0.078,0.113,less than 8.0
M,0.635,0.505,0.155,1.102,0.467,0.258,0.322,greater than 11.0
M,0.5,0.385,0.115,0.54,0.224,0.123,0.165,greater than 11.0
F,0.715,0.575,0.185,1.483,0.623,0.324,0.423,between 9.0 and 11.0
I,0.58,0.455,0.135,0.81,0.341,0.187,0.259,between 9.0 and 11.0
M,0.46,0.355,0.105,0.475,0.204,0.109,0.141,greater than 11.0
F,0.525,0.41,0.12,0.655,0.273,0.151,0.201,between 9.0 and 11.0
I,0.68,0.53,0.165,1.152,0.503,0.258,0.332,between 9.0 and 11.0
M,0.59,0.46,0.14,0.943,0.401,0.238,0.291,greater than 11.0
F,0.49,0.375,0.115,0.555,0.233,0.129,0.183,between 9.0 and 11.0
I,0.355,0.26,0.065,0.243,0.102,0.058,0.082,less than 8.0
