sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
M,0.565,0.46,0.155,1.078,0.456,0.234,0.305,greater than 11.0
F,0.59,0.465,0.17,0.899,0.373,0.221,0.271,between 9.0 and 11.0
I,0.365,0.285,0.095,0.364,0.187,0.096,0.098,between 8.0 and 9.0
M,0.63,0.48,0.16,1.122,0.459,0.246,0.271,between 9.0 and 11.0
F,0.575,0.445,0.14,0.783,0.294,0.195,0.216,greater than 11.0
I,0.39,0.305,0.095,0.287,0.152,0.072,0.094,less than 8.0
M,0.66,0.53,0.185,1.533,0.669,0.304,0.444,greater than 11.0
M,0.525,0.41,0.135,0.656,0.274,0.184,0.193,between 9.0 and 11.0
F,0.485,0.375,0.13,0.493,0.205,0.136,0.145,between 9.0 and 11.0
I,0.55,0.435,0.145,0.936,0.38,0.219,0.259,greater than 11.0
M,0.465,0.365,0.115,0.453,0.191,0.123,0.127,between 8.0 and 9.0
M,0.58,0.46,0.16,1.018,0.425,0.253,0.281,between 9.0 and 11.0
F,0.56,0.435,0.145,0.766,0.309,0.192,0.221,between 9.0 and 11.0
I,0.325,0.255,0.08,0.175,0.091,0.047,0.056,less than 8.0
M,0.645,0.52,0.18,1.511,0.65,0.317,0.399,greater than 11.0
M,0.59,0.47,0.165,1.049,0.441,0.273,0.282,greater than 11.0
F,0.625,0.49,0.16,1.085,0.461,0.231,0.313,greater than 11.0
M,0.555,0.445,0.14,0.778,0.325,0.216,0.222,between 9.0 and 11.0
I,0.475,0.38,0.12,0.537,0.247,0.128,0.145,less than 8.0
I,0.46,0.365,0.11,0.414,0.202,0.104,0.117,between 8.0 and 9.0
F,0.69,0.555,0.185,1.631,0.713,0.353,0.445,greater than 11.0
M,0.635,0.505,0.175,1.354,0.574,0.305,0.36,between 9.0 and 11.0
F,0.53,0.42,0.135,0.626,0.251,0.169,0.184,greater than 11.0
M,0.59,0.46,0.155,0.967,0.406,0.245,0.262,between 9.0 and 11.0
I,0.405,0.315,0.095,0.305,0.155,0.08,0.079,less than 8.0
F,0.63,0.495,0.165,1.146,0.49,0.257,0.319,greater than 11.0
I,0.46,0.36,0.115,0.432,0.214,0.108,0.123,between 8.0 and 9.0
M,0.675,0.545,0.185,1.625,0.699,0.335,0.435,greater than 11.0
F,0.545,0.44,0.14,0.735,0.294,0.193,0.224,greater than 11.0
I,0.485,0.39,0.125,0.583,0.287,0.143,0.144,less than 8.0
F,0.665,0.53,0.175,1.507,0.648,0.321,0.403,greater than 11.0
M,0.525,0.415,0.135,0.648,0.266,0.186,0.192,between 9.0 and 11.0
I,0.355,0.285,0.09,0.245,0.128,0.061,0.073,less than 8.0
M,0.61,0.485,0.165,1.136,0.485,0.262,0.313,greater than 11.0
F,0.615,0.485,0.16,1.098,0.472,0.253,0.304,greater than 11.0
F,0.57,0.455,0.155,0.812,0.332,0.207,0.234,between 9.0 and 11.0
