sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
M,0.585,0.46,0.16,1.085,0.506,0.235,0.289,greater than 11.0
F,0.63,0.485,0.165,1.206,0.555,0.289,0.325,between 9.0 and 11.0
I,0.41,0.305,0.105,0.356,0.169,0.078,0.117,between 8.0 and 9.0
M,0.67,0.53,0.19,1.456,0.649,0.333,0.41,greater than 11.0
F,0.55,0.435,0.145,0.83,0.373,0.199,0.238,between 9.0 and 11.0
M,0.495,0.39,0.125,0.625,0.305,0.141,0.192,between 8.0 and 9.0
I,0.525,0.415,0.135,0.755,0.333,0.176,0.223,between 8.0 and 9.0
F,0.715,0.56,0.185,1.715,0.755,0.395,0.48,greater than 11.0
M,0.59,0.465,0.16,1.065,0.483,0.258,0.305,greater than 11.0
I,0.38,0.29,0.095,0.278,0.123,0.058,0.085,less than 8.0
F,0.58,0.46,0.155,1.056,0.475,0.251,0.294,between 9.0 and 11.0
M,0.635,0.505,0.175,1.309,0.587,0.297,0.373,greater than 11.0
F,0.66,0.52,0.18,1.255,0.573,0.313,0.352,between 9.0 and 11.0
I,0.455,0.355,0.115,0.488,0.223,0.108,0.153,between 8.0 and 9.0
M,0.56,0.445,0.145,0.93,0.414,0.225,0.269,between 9.0 and 11.0
F,0.69,0.53,0.185,1.46,0.643,0.324,0.399,greater than 11.0
I,0.305,0.235,0.085,0.202,0.092,0.043,0.066,less than 8.0
M,0.52,0.42,0.135,0.79,0.353,0.185,0.236,between 8.0 and 9.0
F,0.61,0.485,0.165,1.151,0.516,0.278,0.313,between 9.0 and 11.0
M,0.655,0.52,0.18,1.375,0.625,0.316,0.384,greater than 11.0
I,0.485,0.375,0.12,0.575,0.257,0.137,0.184,between 8.0 and 9.0
F,0.65,0.505,0.17,1.24,0.559,0.294,0.341,between 9.0 and 11.0
M,0.59,0.47,0.155,1.058,0.483,0.253,0.304,greater than 11.0
I,0.41,0.315,0.105,0.362,0.168,0.079,0.119,between 8.0 and 9.0
F,0.71,0.555,0.185,1.65,0.725,0.381,0.459,greater than 11.0
M,0.535,0.43,0.14,0.845,0.377,0.202,0.258,between 8.0 and 9.0
I,0.46,0.355,0.115,0.496,0.226,0.112,0.155,between 8.0 and 9.0
F,0.625,0.495,0.165,1.195,0.536,0.288,0.329,between 9.0 and 11.0
M,0.575,0.46,0.15,0.988,0.449,0.236,0.282,between 9.0 and 11.0
I,0.365,0.285,0.095,0.295,0.136,0.065,0.094,less than 8.0
F,0.58,0.46,0.155,1.055,0.475,0.251,0.294,between 9.0 and 11.0
M,0.65,0.51,0.175,1.34,0.607,0.305,0.373,greater than 11.0
F,0.705,0.54,0.185,1.64,0.725,0.361,0.442,between 9.0 and 11.0
I,0.485,0.38,0.125,0.59,0.265,0.143,0.19,between 8.0 and 9.0
M,0.61,0.485,0.16,1.145,0.52,0.275,0.323,greater than 11.0
F,0.67,0.52,0.18,1.305,0.587,0.319,0.365,between 9.0 and 11.0
I,0.505,0.405,0.13,0.655,0.297,0.155,0.205,between 8.0 and 9.0
M,0.555,0.445,0.145,0.945,0.424,0.233,0.275,between 9.0 and 11.0
F,0.65,0.505,0.17,1.235,0.559,0.294,0.341,between 9.0 and 11.0
M,0.66,0.52,0.175,1.36,0.625,0.316,0.384,greater than 11.0
I,0.46,0.365,0.12,0.52,0.239,0.116,0.165,between 8.0 and 9.0
F,0.72,0.56,0.19,1.75,0.765,0.386,0.475,greater than 11.0
M,0.585,0.465,0.155,1.065,0.483,0.258,0.305,greater than 11.0
I,0.49,0.385,0.125,0.625,0.281,0.141,0.192,between 8.0 and 9.0
F,0.64,0.505,0.165,1.22,0.549,0.289,0.329,between 9.0 and 11.0
M,0.64,0.505,0.17,1.24,0.559,0.294,0.341,between 9.0 and 11.0
I,0.375,0.29,0.095,0.305,0.139,0.067,0.095,less than 8.0
F,0.69,0.54,0.185,1.63,0.725,0.361,0.442,between 9.0 and 11.0
M,0.625,0.5,0.165,1.26,0.563,0.297,0.346,greater than 11.0
I,0.52,0.415,0.135,0.69,0.315,0.161,0.215,between 8.0 and 9.0
F,0.66,0.515,0.175,1.26,0.563,0.297,0.346,greater than 11.0
M,0.6,0.475,0.16,1.13,0.512,0.269,0.313,between 9.0 and 11.0
I,0.43,0.335,0.11,0.435,0.201,0.096,0.144,between 8.0 and 9.0
F,0.635,0.505,0.165,1.195,0.536,0.288,0.329,between 9.0 and 11.0
M,0.655,0.52,0.18,1.375,0.625,0.316,0.384,greater than 11.0
I,0.485,0.38,0.125,0.59,0.265,0.143,0.19,between 8.0 and 9.0
F,0.71,0.555,0.185,1.65,0.725,0.381,0.459,greater than 11.0
M,0.575,0.46,0.15,0.988,0.449,0.236,0.282,between 9.0 and 11.0
I,0.46,0.365,0.12,0.52,0.239,0.116,0.165,between 8.0 and 9.0
F,0.65,0.505,0.17,1.24,0.559,0.294,0.341,between 9.0 and 11.0
M,0.61,0.485,0.16,1.145,0.52,0.275,0.323,greater than 11.0
F,0.582,0.429,0.149,0.869,0.351,0.199,0.259,greater than 11.0
M,0.629,0.492,0.168,1.251,0.593,0.278,0.322,between 9.0 and 11.0
I,0.469,0.357,0.123,0.513,0.235,0.129,0.192,between 8.0 and 9.0
