sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
M,0.485,0.39,0.12,0.5135,0.2345,0.1125,0.1915,between 9.0 and 11.0
F,0.63,0.485,0.155,1.073,0.4565,0.2515,0.3215,greater than 11.0
I,0.505,0.395,0.135,0.628,0.2895,0.1445,0.215,greater than 11.0
M,0.49,0.365,0.13,0.5515,0.246,0.1235,0.1935,between 8.0 and 9.0
F,0.655,0.49,0.17,1.2555,0.5125,0.2955,0.3655,greater than 11.0
M,0.55,0.43,0.145,0.7735,0.3295,0.1685,0.2645,between 8.0 and 9.0
F,0.59,0.43,0.135,0.8765,0.375,0.201,0.2755,greater than 11.0
I,0.475,0.375,0.115,0.5335,0.2375,0.1235,0.1695,between 8.0 and 9.0
F,0.63,0.475,0.155,1.0125,0.4415,0.2435,0.3055,between 9.0 and 11.0
M,0.53,0.425,0.135,0.6975,0.304,0.1645,0.244,greater than 11.0
M,0.495,0.385,0.125,0.567,0.263,0.129,0.1865,less than 8.0
I,0.545,0.425,0.145,0.748,0.313,0.1865,0.2425,between 8.0 and 9.0
F,0.645,0.505,0.165,1.1455,0.493,0.273,0.3555,greater than 11.0
F,0.575,0.435,0.14,0.814,0.3435,0.193,0.2635,between 9.0 and 11.0
M,0.525,0.405,0.13,0.6565,0.2945,0.149,0.2235,between 8.0 and 9.0
I,0.485,0.375,0.12,0.546,0.255,0.1245,0.1845,between 8.0 and 9.0
F,0.61,0.47,0.155,0.9425,0.4035,0.235,0.2835,greater than 11.0
M,0.635,0.485,0.175,1.0925,0.469,0.2745,0.329,greater than 11.0
M,0.485,0.37,0.115,0.503,0.2255,0.109,0.169,between 9.0 and 11.0
F,0.64,0.49,0.16,1.0555,0.4535,0.2595,0.313,greater than 11.0
F,0.615,0.475,0.165,1.046,0.4575,0.2645,0.3155,greater than 11.0
I,0.505,0.4,0.14,0.629,0.283,0.148,0.2135,between 8.0 and 9.0
M,0.59,0.455,0.145,0.845,0.3655,0.2035,0.2785,between 9.0 and 11.0
F,0.625,0.485,0.165,1.0445,0.445,0.2515,0.299,greater than 11.0
F,0.575,0.435,0.14,0.788,0.328,0.183,0.2455,between 9.0 and 11.0
M,0.525,0.41,0.13,0.6345,0.283,0.1495,0.219,between 8.0 and 9.0
I,0.51,0.395,0.135,0.6165,0.275,0.1455,0.2045,between 8.0 and 9.0
F,0.655,0.505,0.175,1.197,0.513,0.2925,0.344,greater than 11.0
M,0.56,0.435,0.145,0.777,0.327,0.175,0.2535,between 9.0 and 11.0
F,0.59,0.445,0.14,0.846,0.364,0.206,0.2695,greater than 11.0
I,0.535,0.425,0.145,0.707,0.3135,0.1655,0.2355,between 8.0 and 9.0
M,0.575,0.445,0.155,0.829,0.3595,0.201,0.2735,between 8.0 and 9.0
F,0.61,0.475,0.165,0.973,0.423,0.246,0.299,greater than 11.0
F,0.645,0.5,0.175,1.1515,0.492,0.2795,0.3345,greater than 11.0
I,0.51,0.4,0.135,0.6365,0.2855,0.1515,0.212,between 8.0 and 9.0
M,0.555,0.43,0.14,0.7555,0.3255,0.1735,0.2455,between 9.0 and 11.0
F,0.625,0.485,0.165,1.0365,0.4465,0.259,0.3135,greater than 11.0
M,0.53,0.415,0.135,0.6535,0.292,0.1555,0.224,between 8.0 and 9.0
I,0.535,0.43,0.145,0.6995,0.3045,0.1645,0.2335,between 8.0 and 9.0
F,0.66,0.5,0.18,1.201,0.5255,0.3025,0.3545,greater than 11.0
M,0.59,0.455,0.155,0.8635,0.3785,0.2125,0.2835,greater than 11.0
M,0.515,0.405,0.135,0.6195,0.2795,0.1455,0.2165,between 8.0 and 9.0
I,0.505,0.395,0.135,0.609,0.273,0.1415,0.2065,between 8.0 and 9.0
F,0.635,0.495,0.165,1.0735,0.4615,0.276,0.3165,greater than 11.0
I,0.485,0.375,0.125,0.5555,0.2545,0.126,0.1915,between 9.0 and 11.0
M,0.57,0.445,0.145,0.805,0.3445,0.1965,0.2635,between 9.0 and 11.0
F,0.595,0.46,0.155,0.9015,0.3915,0.2265,0.2825,greater than 11.0
F,0.645,0.495,0.175,1.144,0.4945,0.2875,0.335,greater than 11.0
M,0.535,0.425,0.14,0.685,0.305,0.1615,0.2335,between 8.0 and 9.0
F,0.615,0.475,0.165,0.975,0.4255,0.254,0.303,greater than 11.0
F,0.665,0.515,0.185,1.2555,0.5465,0.3235,0.3755,greater than 11.0
M,0.59,0.455,0.155,0.8685,0.3845,0.218,0.2865,greater than 11.0
I,0.515,0.405,0.14,0.6295,0.2865,0.152,0.2145,between 8.0 and 9.0
M,0.59,0.46,0.155,0.8545,0.375,0.2065,0.2765,greater than 11.0
M,0.57,0.445,0.145,0.787,0.341,0.1925,0.2585,between 9.0 and 11.0
F,0.64,0.495,0.175,1.0655,0.4565,0.274,0.3195,greater than 11.0
F,0.59,0.46,0.155,0.8665,0.3865,0.2175,0.275,greater than 11.0
I,0.525,0.415,0.145,0.6885,0.3055,0.162,0.2275,between 8.0 and 9.0
I,0.505,0.4,0.135,0.623,0.2835,0.1485,0.2125,between 8.0 and 9.0
M,0.555,0.435,0.145,0.7835,0.3165,0.169,0.2365,between 9.0 and 11.0
F,0.645,0.5,0.185,1.498,0.564,0.323,0.425,greater than 11.0
I,0.49,0.375,0.125,0.5125,0.2075,0.1155,0.172,between 9.0 and 11.0
M,0.615,0.48,0.16,1.089,0.5195,0.223,0.292,greater than 11.0
F,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,greater than 11.0
I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,less than 8.0
M,0.535,0.415,0.135,0.78,0.3165,0.169,0.2365,between 8.0 and 9.0
F,0.605,0.455,0.145,0.9775,0.468,0.1775,0.275,between 9.0 and 11.0
I,0.48,0.355,0.115,0.5785,0.25,0.106,0.184,between 8.0 and 9.0
F,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,greater than 11.0
M,0.45,0.36,0.16,0.567,0.174,0.1245,0.225,greater than 11.0
F,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,between 9.0 and 11.0
F,0.63,0.475,0.15,1.172,0.536,0.254,0.316,greater than 11.0
M,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,between 9.0 and 11.0
F,0.68,0.5,0.185,1.741,0.7665,0.3255,0.4685,greater than 11.0
I,0.4,0.3,0.115,0.318,0.1335,0.0725,0.0935,less than 8.0
F,0.65,0.515,0.215,1.498,0.564,0.323,0.425,greater than 11.0
M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,between 9.0 and 11.0
I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,less than 8.0
M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,between 8.0 and 9.0
I,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,less than 8.0
I,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,less than 8.0
M,0.535,0.415,0.135,0.78,0.3165,0.169,0.2365,between 8.0 and 9.0
