sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
M,0.515,0.41,0.145,0.776,0.35,0.196,0.232,greater than 11.0
I,0.375,0.29,0.095,0.216,0.096,0.058,0.064,less than 8.0
F,0.535,0.435,0.135,0.742,0.326,0.176,0.221,between 9.0 and 11.0
M,0.485,0.39,0.125,0.552,0.257,0.153,0.165,between 9.0 and 11.0
I,0.41,0.31,0.105,0.304,0.134,0.085,0.109,between 8.0 and 9.0
F,0.575,0.465,0.155,0.955,0.426,0.235,0.283,between 9.0 and 11.0
M,0.555,0.445,0.145,0.864,0.403,0.209,0.249,between 9.0 and 11.0
I,0.59,0.475,0.165,1.046,0.459,0.278,0.305,between 9.0 and 11.0
F,0.625,0.5,0.175,1.282,0.588,0.304,0.359,between 9.0 and 11.0
M,0.48,0.38,0.135,0.57,0.245,0.164,0.157,between 9.0 and 11.0
I,0.495,0.395,0.125,0.588,0.256,0.143,0.184,between 8.0 and 9.0
F,0.365,0.285,0.095,0.247,0.114,0.061,0.079,less than 8.0
M,0.55,0.45,0.145,0.808,0.383,0.198,0.244,between 9.0 and 11.0
I,0.43,0.355,0.105,0.421,0.191,0.116,0.126,between 8.0 and 9.0
F,0.615,0.49,0.165,1.164,0.541,0.294,0.314,between 9.0 and 11.0
M,0.575,0.475,0.155,1.012,0.475,0.259,0.289,between 9.0 and 11.0
I,0.39,0.31,0.105,0.285,0.132,0.082,0.099,between 8.0 and 9.0
F,0.56,0.45,0.14,0.845,0.397,0.211,0.258,between 9.0 and 11.0
M,0.495,0.405,0.135,0.64,0.295,0.176,0.195,between 9.0 and 11.0
I,0.445,0.355,0.115,0.46,0.206,0.124,0.143,between 8.0 and 9.0
F,0.655,0.535,0.185,1.499,0.692,0.371,0.424,greater than 11.0
M,0.505,0.415,0.125,0.598,0.282,0.155,0.182,between 9.0 and 11.0
I,0.51,0.415,0.135,0.628,0.273,0.169,0.203,between 8.0 and 9.0
F,0.58,0.47,0.15,0.965,0.456,0.252,0.294,between 9.0 and 11.0
M,0.505,0.41,0.135,0.624,0.287,0.172,0.186,between 9.0 and 11.0
I,0.415,0.33,0.105,0.341,0.157,0.093,0.112,between 8.0 and 9.0
F,0.51,0.415,0.135,0.69,0.299,0.188,0.228,between 9.0 and 11.0
M,0.59,0.485,0.155,1.012,0.468,0.253,0.287,between 9.0 and 11.0
I,0.475,0.38,0.125,0.55,0.244,0.143,0.174,between 8.0 and 9.0
F,0.55,0.445,0.14,0.812,0.384,0.206,0.245,between 9.0 and 11.0
M,0.49,0.4,0.135,0.62,0.283,0.169,0.192,between 9.0 and 11.0
I,0.485,0.395,0.125,0.575,0.262,0.157,0.189,between 8.0 and 9.0
F,0.625,0.505,0.165,1.245,0.573,0.304,0.323,between 9.0 and 11.0
M,0.55,0.455,0.145,0.854,0.416,0.226,0.266,between 9.0 and 11.0
I,0.46,0.365,0.115,0.475,0.219,0.129,0.152,between 8.0 and 9.0
F,0.59,0.485,0.155,1.044,0.499,0.273,0.309,between 9.0 and 11.0
M,0.54,0.445,0.145,0.816,0.393,0.214,0.257,between 9.0 and 11.0
I,0.555,0.455,0.145,0.819,0.395,0.223,0.258,between 9.0 and 11.0
F,0.53,0.43,0.135,0.757,0.354,0.201,0.235,between 9.0 and 11.0
M,0.575,0.475,0.155,1.036,0.485,0.264,0.298,between 9.0 and 11.0
I,0.505,0.415,0.135,0.619,0.282,0.171,0.201,between 8.0 and 9.0
F,0.575,0.465,0.15,0.943,0.443,0.245,0.283,between 9.0 and 11.0
M,0.485,0.405,0.135,0.606,0.278,0.168,0.192,between 9.0 and 11.0
I,0.535,0.435,0.135,0.74,0.343,0.193,0.228,between 9.0 and 11.0
F,0.625,0.505,0.165,1.249,0.585,0.313,0.329,between 9.0 and 11.0
M,0.51,0.425,0.135,0.646,0.305,0.176,0.198,between 9.0 and 11.0
I,0.485,0.395,0.125,0.573,0.262,0.155,0.187,between 8.0 and 9.0
F,0.515,0.425,0.135,0.716,0.33,0.194,0.226,between 9.0 and 11.0
M,0.555,0.455,0.145,0.864,0.414,0.226,0.258,between 9.0 and 11.0
I,0.505,0.41,0.125,0.604,0.277,0.165,0.192,between 8.0 and 9.0
F,0.555,0.455,0.145,0.881,0.414,0.236,0.266,between 9.0 and 11.0
M,0.565,0.465,0.155,0.95,0.451,0.253,0.283,between 9.0 and 11.0
I,0.475,0.385,0.125,0.567,0.258,0.154,0.184,between 8.0 and 9.0
F,0.59,0.485,0.155,0.984,0.464,0.258,0.297,between 9.0 and 11.0
M,0.505,0.42,0.135,0.637,0.302,0.175,0.196,between 9.0 and 11.0
I,0.495,0.4,0.125,0.594,0.275,0.161,0.187,between 8.0 and 9.0
F,0.53,0.435,0.135,0.743,0.348,0.201,0.235,between 9.0 and 11.0
M,0.545,0.445,0.145,0.814,0.394,0.216,0.253,between 9.0 and 11.0
I,0.525,0.43,0.135,0.664,0.306,0.178,0.205,between 8.0 and 9.0
F,0.585,0.475,0.155,0.971,0.461,0.258,0.293,between 9.0 and 11.0
M,0.535,0.445,0.145,0.799,0.384,0.212,0.247,between 9.0 and 11.0
I,0.515,0.425,0.135,0.645,0.299,0.175,0.203,between 8.0 and 9.0
F,0.61,0.495,0.165,1.104,0.52,0.286,0.317,between 9.0 and 11.0
M,0.555,0.455,0.145,0.854,0.414,0.226,0.266,between 9.0 and 11.0
