sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
M,0.529171,0.405171,0.149682,0.911171,0.423682,0.193682,0.281171,between 9.0 and 11.0
F,0.693059,0.548529,0.186059,1.503529,0.693059,0.323529,0.452059,greater than 11.0
I,0.317647,0.235294,0.070588,0.147059,0.058824,0.029412,0.044118,less than 8.0
M,0.588235,0.441176,0.147059,1.007353,0.441176,0.235294,0.305882,between 8.0 and 9.0
I,0.470588,0.352941,0.117647,0.431372,0.205882,0.088235,0.147059,between 8.0 and 9.0
F,0.517647,0.392157,0.141176,0.911765,0.392157,0.196078,0.333333,between 9.0 and 11.0
F,0.666667,0.523529,0.176471,1.428571,0.666667,0.294118,0.470588,greater than 11.0
F,0.454826,0.341176,0.123529,0.647059,0.264706,0.143529,0.264706,between 9.0 and 11.0
M,0.588235,0.411765,0.152941,0.964706,0.411765,0.235294,0.352941,between 8.0 and 9.0
M,0.411765,0.294118,0.088235,0.411765,0.176471,0.088235,0.176471,between 9.0 and 11.0
M,0.529412,0.392157,0.123529,0.823529,0.352941,0.176471,0.264706,between 9.0 and 11.0
I,0.411765,0.294118,0.088235,0.352941,0.147059,0.058824,0.098039,between 8.0 and 9.0
I,0.333333,0.235294,0.058824,0.176471,0.058824,0.029412,0.058824,less than 8.0
M,0.588235,0.411765,0.129412,0.901961,0.411765,0.235294,0.317647,between 9.0 and 11.0
I,0.517647,0.352941,0.135295,0.666667,0.294118,0.141176,0.235294,between 8.0 and 9.0
I,0.454826,0.352941,0.117647,0.588235,0.235294,0.117647,0.176471,between 9.0 and 11.0
M,0.705882,0.529412,0.176471,1.235294,0.588235,0.294118,0.411765,greater than 11.0
M,0.588235,0.411765,0.147059,0.941176,0.411765,0.235294,0.333333,between 8.0 and 9.0
F,0.647059,0.470588,0.161765,1.352941,0.647059,0.294118,0.441176,greater than 11.0
F,0.411765,0.294118,0.082353,0.411765,0.176471,0.088235,0.152941,between 9.0 and 11.0
M,0.588235,0.441176,0.152941,1.058824,0.441176,0.235294,0.333333,between 8.0 and 9.0
F,0.764706,0.588235,0.191765,1.729412,0.764706,0.352941,0.517647,greater than 11.0
F,0.352941,0.235294,0.058824,0.176471,0.058824,0.029412,0.058824,less than 8.0
F,0.647059,0.529412,0.176471,1.411765,0.647059,0.294118,0.470588,greater than 11.0
F,0.470588,0.352941,0.123529,0.705882,0.294118,0.152941,0.333333,between 9.0 and 11.0
I,0.588235,0.441176,0.152941,0.941176,0.441176,0.235294,0.294118,between 8.0 and 9.0
F,0.411765,0.294118,0.082353,0.411765,0.176471,0.082353,0.176471,between 9.0 and 11.0
M,0.588235,0.411765,0.129412,0.901961,0.411765,0.235294,0.317647,between 9.0 and 11.0
I,0.352941,0.235294,0.058824,0.235294,0.088235,0.029412,0.058824,less than 8.0
I,0.411765,0.235294,0.088235,0.294118,0.117647,0.058824,0.082353,between 8.0 and 9.0
I,0.411765,0.235294,0.058824,0.235294,0.088235,0.029412,0.058824,less than 8.0
F,0.588235,0.423529,0.141176,1.058824,0.423529,0.235294,0.352941,between 8.0 and 9.0
