sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
M,0.555,0.44,0.145,0.939,0.4015,0.209,0.258,greater than 11.0
I,0.59,0.475,0.16,0.9635,0.388,0.244,0.305,between 9.0 and 11.0
F,0.565,0.43,0.135,0.7835,0.3055,0.1875,0.243,greater than 11.0
M,0.575,0.46,0.155,1.026,0.4595,0.2385,0.3125,between 9.0 and 11.0
I,0.635,0.52,0.175,1.085,0.478,0.2635,0.341,between 9.0 and 11.0
F,0.415,0.32,0.105,0.437,0.1875,0.1045,0.1455,less than 8.0
M,0.49,0.39,0.125,0.6255,0.2535,0.1515,0.2025,between 9.0 and 11.0
F,0.695,0.555,0.185,1.5135,0.695,0.313,0.425,greater than 11.0
I,0.525,0.42,0.14,0.72,0.291,0.1845,0.235,between 9.0 and 11.0
M,0.485,0.38,0.12,0.5735,0.225,0.1365,0.185,greater than 11.0
F,0.755,0.6,0.195,1.874,0.9155,0.375,0.505,greater than 11.0
I,0.59,0.47,0.165,0.9915,0.4135,0.2465,0.3135,between 9.0 and 11.0
M,0.56,0.45,0.14,0.832,0.3425,0.201,0.2645,between 9.0 and 11.0
F,0.485,0.375,0.13,0.5595,0.2265,0.139,0.1785,between 8.0 and 9.0
I,0.63,0.505,0.17,1.0685,0.4535,0.2515,0.322,between 9.0 and 11.0
M,0.455,0.355,0.115,0.503,0.2085,0.1255,0.163,between 9.0 and 11.0
