F1,F2,F3,F4,F5,F6,F7,F8,F9,RMSD
13985.424,4159.717,0.2959524,184.34555,1992151.9,209.4913,4620.4155,258.19867,26.836565,between 2.305 and 5.03
10413.858,3841.6426,0.36762282,84.51225,1406387.4,165.35693,4327.384,73.09758,32.51989,between 5.03 and 13.379
7949.191,1543.7992,0.19227971,72.52834,1112014.4,106.44099,3422.7688,99.49177,36.8093,between 5.03 and 13.379
8921.848,2090.1936,0.23502348,105.69375,1252743.2,121.52651,3815.7446,100.51983,36.228775,less than 2.305
10192.131,2259.0425,0.22040637,73.95605,1457383.8,107.18015,3420.4692,130.02872,38.266422,between 2.305 and 5.03
7690.389,2582.8657,0.3368254,79.62015,1093214.6,102.89605,3658.3843,42.23121,37.902565,between 2.305 and 5.03
3170.511,1680.0757,0.4213946,38.520008,439846.4,76.36602,2188.0732,70.36782,41.7811,between 5.03 and 13.379
17688.334,5138.342,0.28958508,257.48724,2418542.8,280.74075,6443.687,214.77599,21.091642,between 2.305 and 5.03
5803.637,1443.9893,0.24911597,55.246853,813981.9,75.51013,2889.5798,35.02052,41.432625,less than 2.305
6007.359,1644.366,0.27369636,49.37699,847436.3,83.90608,2999.2805,37.09754,37.22643,greater than 13.379
15287.303,1974.6226,0.12008109,231.9643,2119601.0,223.12482,5006.732,102.93675,29.236338,between 2.305 and 5.03
6421.451,2357.7239,0.36568585,48.05735,882281.4,98.015785,2938.398,28.321125,39.927002,between 2.305 and 5.03
9632.262,3212.827,0.3337568,93.86024,1317356.8,168.32253,3945.3115,56.13845,33.436325,between 2.305 and 5.03
12483.369,3732.1492,0.30361852,83.00342,1758836.1,196.98239,4827.965,29.76144,30.627058,between 2.305 and 5.03
13517.259,4387.9966,0.32462168,161.7221,1954327.8,220.02058,5094.591,221.10199,28.536715,between 2.305 and 5.03
6735.7256,1567.0981,0.23208597,87.03713,939346.25,89.996315,2963.9944,61.22249,41.112705,between 2.305 and 5.03
8892.0625,2133.6838,0.23873034,76.178894,1223505.6,122.36555,3584.1396,49.549557,36.575333,between 5.03 and 13.379
14023.399,3346.6394,0.23860292,142.96536,1985541.9,228.00125,5248.9624,28.148184,28.004274,between 5.03 and 13.379
11309.67,3072.7412,0.2700584,123.65535,1528064.8,158.01874,3886.709,64.930504,35.559547,less than 2.305
15366.161,3185.4214,0.20770481,226.26114,2205174.0,219.02458,5500.265,151.19055,23.648556,greater than 13.379
12441.295,4404.5464,0.35060886,136.21574,1734761.4,182.36258,4675.076,34.116714,29.112576,between 5.03 and 13.379
7813.075,2365.364,0.30243915,78.61116,1127068.9,125.43828,3719.274,36.777412,37.868084,greater than 13.379
7814.131,2711.5051,0.34937084,80.92339,1073588.4,100.10864,3516.3071,47.890503,35.293716,between 5.03 and 13.379
8513.001,2351.369,0.27693233,82.29026,1232786.0,111.264496,3341.824,60.473568,36.382248,between 2.305 and 5.03
15946.817,3352.2717,0.21082759,216.09863,2307388.2,223.66142,5257.398,183.38643,26.916872,less than 2.305
12590.427,4072.912,0.32312778,101.339195,1775434.8,190.64445,4910.7866,23.716682,29.565042,between 2.305 and 5.03
7618.308,1434.4536,0.18885659,54.83134,1078138.6,86.22766,2975.0547,34.35074,38.247005,between 5.03 and 13.379
12432.936,2414.3452,0.19229329,138.21487,1693594.4,199.43893,5166.234,95.88429,28.829443,between 2.305 and 5.03
14069.632,3899.048,0.27602813,113.911415,2026589.6,225.01433,5654.193,248.56137,28.213362,greater than 13.379
13322.415,4376.404,0.32562625,159.41205,1842737.0,245.32144,5634.0874,102.72161,21.997066,between 5.03 and 13.379
7580.0107,1179.334,0.15549278,58.80323,1063429.2,81.32482,2642.5386,23.140137,42.429886,between 2.305 and 5.03
9146.727,3709.729,0.40325546,71.76534,1288276.5,140.72806,3874.9424,53.691875,32.569355,between 2.305 and 5.03
