relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_area_distribution,heating_load
0.77,697.5,281.5,192.5,5.5,4,0.3,2,between 18.95 and 31.6675
0.85,623.0,309.0,162.5,6.5,3,0.2,1,less than 12.9925
0.75,703.5,325.5,202.5,5.0,5,0.35,4,between 12.9925 and 18.95
0.83,628.5,296.5,167.5,6.0,2,0.3,3,between 18.95 and 31.6675
0.78,692.0,286.0,187.0,5.5,4,0.25,2,greater than 31.6675
0.69,748.0,332.0,212.0,5.0,5,0.4,5,between 12.9925 and 18.95
0.81,615.0,299.0,157.0,6.5,3,0.25,1,between 18.95 and 31.6675
0.76,680.5,313.5,192.5,6.0,5,0.3,4,less than 12.9925
0.84,606.5,291.5,152.5,6.0,2,0.2,5,between 18.95 and 31.6675
0.73,716.0,326.0,207.0,5.5,4,0.35,3,between 12.9925 and 18.95
0.87,592.0,282.0,142.0,6.5,3,0.2,2,greater than 31.6675
0.79,646.5,304.5,177.5,6.0,5,0.3,1,between 18.95 and 31.6675
0.72,728.0,334.0,217.0,5.5,5,0.4,5,less than 12.9925
0.88,586.0,278.0,137.0,6.5,2,0.25,4,between 18.95 and 31.6675
0.86,602.0,288.0,147.0,6.0,4,0.25,3,greater than 31.6675
0.77,694.5,280.5,187.0,5.5,3,0.3,2,between 12.9925 and 18.95
0.83,624.5,296.5,162.5,6.0,5,0.35,1,between 18.95 and 31.6675
0.85,619.0,309.0,157.0,6.5,3,0.2,5,less than 12.9925
0.76,684.0,316.0,202.5,6.0,4,0.3,4,between 12.9925 and 18.95
0.72,724.0,330.0,212.0,5.5,5,0.4,3,greater than 31.6675
0.87,600.5,285.5,147.5,6.5,2,0.25,2,between 18.95 and 31.6675
0.81,626.0,300.0,167.5,6.0,5,0.3,1,between 18.95 and 31.6675
0.84,610.5,293.5,152.5,6.0,4,0.25,5,less than 12.9925
0.73,722.0,328.0,207.0,5.5,4,0.35,4,between 12.9925 and 18.95
0.79,652.5,306.5,182.5,6.0,5,0.3,2,greater than 31.6675
0.88,586.5,280.5,137.0,6.5,3,0.2,1,between 18.95 and 31.6675
0.85,603.5,287.5,147.0,6.0,2,0.25,4,between 18.95 and 31.6675
0.76,683.5,314.5,197.5,6.0,5,0.35,5,less than 12.9925
0.83,625.0,295.0,162.5,6.0,4,0.3,3,between 18.95 and 31.6675
0.72,690.0,322.0,202.5,5.5,4,0.3,2,between 12.9925 and 18.95
0.87,604.5,286.5,152.5,6.5,3,0.25,5,greater than 31.6675
0.81,618.0,298.0,157.0,6.0,5,0.2,1,between 18.95 and 31.6675
0.86,607.5,292.5,147.0,6.0,2,0.25,3,less than 12.9925
0.74,708.0,324.0,212.0,5.5,4,0.4,4,between 12.9925 and 18.95
0.84,614.5,290.5,157.5,6.0,5,0.3,2,between 18.95 and 31.6675
0.78,681.5,311.5,187.0,6.0,4,0.35,5,greater than 31.6675
0.88,601.0,283.0,142.0,6.5,3,0.2,1,between 18.95 and 31.6675
0.87,609.5,289.5,147.0,6.0,2,0.25,4,less than 12.9925
0.83,623.0,293.0,162.5,6.0,5,0.3,1,between 18.95 and 31.6675
0.79,660.0,308.0,182.5,6.0,5,0.3,2,between 12.9925 and 18.95
0.72,696.0,320.0,202.5,5.5,4,0.4,3,greater than 31.6675
0.85,599.5,285.5,142.0,6.5,4,0.25,5,less than 12.9925
0.81,615.5,297.5,157.0,6.0,3,0.25,1,between 18.95 and 31.6675
0.86,608.5,292.5,147.5,6.0,5,0.35,2,between 18.95 and 31.6675
0.88,596.0,282.0,137.0,6.5,2,0.2,4,greater than 31.6675
0.74,706.0,322.0,207.0,5.5,4,0.4,5,between 12.9925 and 18.95
0.82,625.5,300.5,167.5,6.0,4,0.3,1,between 18.95 and 31.6675
0.83,618.5,294.5,152.5,6.0,3,0.25,3,less than 12.9925
0.78,685.5,315.5,197.5,6.0,5,0.35,5,greater than 31.6675
0.87,602.0,287.0,142.0,6.5,3,0.2,2,between 18.95 and 31.6675
0.72,720.0,330.0,212.0,5.5,4,0.4,4,between 12.9925 and 18.95
0.79,652.0,306.0,182.5,6.0,5,0.3,1,between 18.95 and 31.6675
0.84,613.0,290.0,157.0,6.0,2,0.25,5,less than 12.9925
