relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_area_distribution,heating_load
0.773,678.52,292.85,191.21,5.25,3.0,0.227,2.0,less than 12.9925
0.821,654.11,319.49,161.39,7.0,5.0,0.396,3.0,greater than 31.6675
0.704,739.42,263.81,200.95,3.5,2.0,0.148,4.0,between 12.9925 and 18.95
0.856,603.38,329.63,169.55,7.0,3.0,0.256,5.0,greater than 31.6675
0.751,689.49,278.93,210.19,3.5,4.0,0.317,1.0,less than 12.9925
0.688,754.85,305.11,185.61,5.25,2.0,0.192,3.0,less than 12.9925
0.798,649.28,342.59,155.79,7.0,4.0,0.421,2.0,greater than 31.6675
0.734,719.35,289.43,207.15,3.5,5.0,0.265,4.0,less than 12.9925
0.816,630.94,320.86,165.59,7.0,3.0,0.352,1.0,greater than 31.6675
0.692,759.19,296.73,196.39,5.25,2.0,0.179,5.0,between 12.9925 and 18.95
0.823,639.14,333.43,163.99,7.0,5.0,0.394,3.0,greater than 31.6675
0.756,682.55,277.19,213.49,3.5,4.0,0.305,2.0,less than 12.9925
0.855,607.66,326.67,170.93,7.0,3.0,0.258,5.0,greater than 31.6675
0.753,693.91,284.19,209.51,3.5,2.0,0.315,1.0,less than 12.9925
0.802,643.64,338.93,159.85,7.0,4.0,0.433,4.0,greater than 31.6675
0.698,769.21,300.39,189.25,5.25,5.0,0.208,3.0,less than 12.9925
0.825,634.81,323.81,166.49,7.0,3.0,0.36,2.0,greater than 31.6675
0.762,680.29,281.55,215.19,3.5,2.0,0.288,5.0,between 12.9925 and 18.95
0.865,600.39,330.15,172.19,7.0,5.0,0.273,1.0,greater than 31.6675
0.745,698.51,286.67,206.95,3.5,4.0,0.32,4.0,less than 12.9925
0.789,656.59,340.99,158.99,7.0,3.0,0.448,3.0,greater than 31.6675
0.713,761.81,299.29,193.29,5.25,2.0,0.203,5.0,between 12.9925 and 18.95
0.819,641.39,327.15,162.75,7.0,5.0,0.381,2.0,greater than 31.6675
0.759,681.19,280.99,216.99,3.5,4.0,0.299,1.0,less than 12.9925
0.859,604.39,329.49,171.95,7.0,3.0,0.268,5.0,greater than 31.6675
0.799,647.19,288.29,211.59,3.5,2.0,0.324,4.0,less than 12.9925
0.768,676.19,283.29,219.09,5.25,4.0,0.293,3.0,between 12.9925 and 18.95
0.832,634.19,321.99,164.49,7.0,5.0,0.369,1.0,greater than 31.6675
0.722,755.39,292.29,202.49,3.5,5.0,0.283,2.0,less than 12.9925
0.853,610.39,325.99,169.39,7.0,3.0,0.278,3.0,greater than 31.6675
0.794,650.99,285.49,208.99,3.5,4.0,0.329,5.0,less than 12.9925
0.783,660.79,287.59,212.19,5.25,2.0,0.251,4.0,between 12.9925 and 18.95
