relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_area_distribution,heating_load
0.73,693.5,303.5,192.5,3.5,4,0.2,2,between 12.9925 and 18.95
0.65,774.0,357.0,220.5,3.5,5,0.3,4,less than 12.9925
0.81,633.5,384.0,137.0,7.0,3,0.1,5,greater than 31.6675
0.95,528.0,289.0,110.25,7.0,2,0.4,3,between 18.95 and 31.6675
0.63,794.0,365.0,220.5,3.5,4,0.25,1,between 12.9925 and 18.95
0.72,703.5,274.5,220.5,3.5,3,0.4,2,less than 12.9925
0.6,816.0,381.0,220.5,3.5,5,0.25,4,less than 12.9925
0.85,595.0,311.0,147.0,7.0,2,0.1,3,between 18.95 and 31.6675
0.71,719.0,265.0,220.5,3.5,4,0.25,2,less than 12.9925
0.79,646.5,333.5,147.0,7.0,3,0.25,5,greater than 31.6675
0.92,551.0,298.0,110.25,7.0,5,0.4,2,greater than 31.6675
0.66,781.0,361.0,220.5,3.5,3,0.4,2,between 12.9925 and 18.95
0.75,671.0,407.0,122.5,7.0,4,0.25,3,greater than 31.6675
0.7,743.5,283.5,220.5,3.5,5,0.25,1,between 12.9925 and 18.95
0.61,821.5,371.5,220.5,3.5,4,0.1,2,between 12.9925 and 18.95
0.83,608.0,324.0,147.0,7.0,2,0.25,4,greater than 31.6675
0.97,521.0,288.0,110.25,7.0,4,0.4,5,between 18.95 and 31.6675
0.68,761.5,349.5,220.5,3.5,3,0.25,2,less than 12.9925
0.77,659.0,419.0,122.5,7.0,5,0.1,3,greater than 31.6675
0.93,543.5,297.0,110.25,7.0,3,0.4,2,between 18.95 and 31.6675
0.78,652.0,335.0,147.0,7.0,4,0.25,5,greater than 31.6675
0.96,524.0,287.0,110.25,7.0,5,0.25,1,greater than 31.6675
0.67,779.0,363.0,220.5,3.5,4,0.4,4,between 12.9925 and 18.95
0.84,603.0,320.0,147.0,7.0,3,0.1,5,between 18.95 and 31.6675
0.72,710.5,273.5,220.5,3.5,5,0.4,3,between 12.9925 and 18.95
0.94,538.5,293.5,110.25,7.0,2,0.25,2,greater than 31.6675
0.88,582.0,314.0,147.0,7.0,5,0.25,4,greater than 31.6675
0.76,665.5,403.5,122.5,7.0,3,0.25,2,less than 12.9925
0.91,556.0,299.0,110.25,7.0,4,0.4,5,between 18.95 and 31.6675
0.62,807.0,369.0,220.5,3.5,4,0.1,1,between 12.9925 and 18.95
0.99,508.0,284.0,110.25,7.0,3,0.4,3,greater than 31.6675
0.65,784.0,357.0,220.5,3.5,5,0.4,5,less than 12.9925
0.87,590.5,308.5,147.0,7.0,2,0.25,1,greater than 31.6675
0.81,628.0,382.0,137.0,7.0,4,0.25,5,greater than 31.6675
0.95,530.5,291.0,110.25,7.0,5,0.25,2,greater than 31.6675
0.67,774.5,355.5,220.5,3.5,3,0.4,2,less than 12.9925
0.96,519.5,285.5,110.25,7.0,4,0.4,4,between 18.95 and 31.6675
0.89,574.0,309.0,147.0,7.0,5,0.1,5,between 18.95 and 31.6675
0.8,640.0,328.0,147.0,7.0,3,0.1,5,greater than 31.6675
0.74,684.0,272.0,220.5,3.5,5,0.25,1,less than 12.9925
0.92,549.5,295.5,110.25,7.0,3,0.25,3,between 18.95 and 31.6675
0.82,614.0,323.0,147.0,7.0,2,0.25,2,greater than 31.6675
0.75,672.0,406.0,122.5,7.0,4,0.4,3,greater than 31.6675
0.98,514.0,287.0,110.25,7.0,2,0.25,5,greater than 31.6675
0.93,541.5,292.5,110.25,7.0,4,0.4,4,greater than 31.6675
0.68,762.5,350.5,220.5,3.5,5,0.1,2,less than 12.9925
0.83,605.0,319.0,147.0,7.0,2,0.1,5,between 18.95 and 31.6675
0.97,517.0,283.0,110.25,7.0,3,0.4,3,greater than 31.6675
0.78,650.5,332.5,147.0,7.0,4,0.25,5,greater than 31.6675
0.87,585.5,307.5,147.0,7.0,3,0.25,2,greater than 31.6675
0.7,745.5,282.5,220.5,3.5,5,0.4,1,between 12.9925 and 18.95
0.79,642.5,330.5,147.0,7.0,2,0.25,5,greater than 31.6675
0.72,710.0,274.0,220.5,3.5,4,0.1,2,less than 12.9925
0.86,596.0,313.0,147.0,7.0,5,0.25,4,greater than 31.6675
0.91,552.0,296.0,110.25,7.0,4,0.25,3,greater than 31.6675
0.94,537.0,291.0,110.25,7.0,3,0.4,2,greater than 31.6675
0.99,507.0,281.0,110.25,7.0,2,0.25,5,greater than 31.6675
0.88,576.5,310.5,147.0,7.0,2,0.4,1,between 18.95 and 31.6675
0.85,601.0,316.0,147.0,7.0,3,0.25,5,greater than 31.6675
0.73,682.75,301.5,200.75,5.5,3,0.15,2,between 12.9925 and 18.95
0.88,619.5,329.5,142.25,3.5,4,0.3,4,between 18.95 and 31.6675
0.78,729.5,275.5,218.5,7.0,2,0.35,3,less than 12.9925
0.69,756.5,348.0,221.75,3.5,3,0.2,2,between 12.9925 and 18.95
0.75,652.75,292.75,119.25,7.0,4,0.4,4,between 12.9925 and 18.95
0.92,574.0,314.5,123.5,7.0,4,0.35,5,greater than 31.6675
0.83,607.0,306.25,149.0,7.0,3,0.25,1,greater than 31.6675
0.79,669.0,423.25,123.0,7.0,4,0.3,2,greater than 31.6675
0.68,789.5,347.0,220.25,3.5,5,0.1,3,between 12.9925 and 18.95
0.7,750.5,321.25,220.5,3.5,3,0.1,4,less than 12.9925
0.67,765.25,319.0,220.0,3.5,3,0.0,1,less than 12.9925
0.85,591.75,297.0,147.75,7.0,4,0.1,3,between 18.95 and 31.6675
0.77,664.75,418.75,122.25,7.0,3,0.0,0,between 18.95 and 31.6675
0.76,694.75,247.25,220.75,3.5,3,0.35,4,between 12.9925 and 18.95
0.75,694.25,247.0,220.0,3.5,4,0.35,2,between 12.9925 and 18.95
0.99,515.75,296.0,110.75,7.0,4,0.3,4,between 18.95 and 31.6675
0.82,640.0,346.0,149.25,7.0,3,0.35,3,greater than 31.6675
0.78,665.25,423.5,123.25,7.0,4,0.1,4,greater than 31.6675
0.74,691.0,247.5,220.25,3.5,5,0.1,1,less than 12.9925
0.71,758.5,320.75,219.75,3.5,5,0.1,2,less than 12.9925
0.67,789.0,347.5,220.25,3.5,5,0.35,2,between 12.9925 and 18.95
0.78,664.25,423.0,122.5,7.0,4,0.1,3,greater than 31.6675
0.84,614.0,319.75,147.25,7.0,4,0.35,1,between 18.95 and 31.6675
0.68,715.0,270.0,220.0,3.5,5,0.1,3,less than 12.9925
0.73,710.25,270.5,220.25,3.5,3,0.25,4,less than 12.9925
0.81,614.5,319.0,147.0,7.0,4,0.25,2,between 18.95 and 31.6675
0.9,565.0,298.25,122.5,7.0,5,0.1,4,between 18.95 and 31.6675
0.77,663.25,423.75,123.0,7.0,3,0.35,1,greater than 31.6675
0.63,807.5,368.0,220.25,3.5,5,0.35,4,between 12.9925 and 18.95
0.67,784.75,344.25,220.25,3.5,2,0.0,0,less than 12.9925
0.68,784.25,344.0,220.5,3.5,5,0.35,4,between 12.9925 and 18.95
0.99,514.0,295.75,110.0,7.0,2,0.35,2,greater than 31.6675
0.64,808.0,367.0,220.0,3.5,4,0.35,2,between 12.9925 and 18.95
0.75,687.25,245.25,220.25,3.5,5,0.35,3,between 12.9925 and 18.95
0.75,687.0,245.25,220.25,3.5,3,0.0,1,less than 12.9925
0.75,686.75,245.25,220.5,3.5,5,0.35,4,between 12.9925 and 18.95
0.82,613.0,319.25,147.0,7.0,2,0.35,2,between 18.95 and 31.6675
0.98,514.25,294.5,110.25,7.0,5,0.25,4,between 18.95 and 31.6675
0.76,661.75,416.75,122.5,7.0,2,0.1,1,greater than 31.6675
0.67,760.25,319.0,220.0,3.5,2,0.1,2,less than 12.9925
0.66,808.75,368.25,220.75,3.5,4,0.4,1,between 12.9925 and 18.95
0.7,737.75,296.75,220.0,3.5,4,0.1,4,less than 12.9925
0.72,734.0,293.25,220.25,3.5,3,0.1,3,less than 12.9925
0.72,734.0,293.0,220.25,3.5,4,0.35,2,between 12.9925 and 18.95
0.64,808.25,368.0,220.5,3.5,5,0.4,5,between 12.9925 and 18.95
0.85,593.5,301.0,147.5,7.0,4,0.1,5,between 18.95 and 31.6675
0.98,515.25,295.25,111.0,7.0,5,0.35,2,greater than 31.6675
0.83,593.25,297.0,147.25,7.0,2,0.4,3,between 12.9925 and 18.95
0.64,808.0,367.25,220.25,3.5,4,0.4,3,between 12.9925 and 18.95
0.98,514.75,294.75,110.0,7.0,3,0.4,2,greater than 31.6675
0.69,757.75,321.25,220.25,3.5,5,0.4,4,between 12.9925 and 18.95
0.7,694.5,292.75,220.75,3.5,4,0.1,3,less than 12.9925
0.83,616.25,301.75,147.5,7.0,4,0.1,4,between 18.95 and 31.6675
0.99,514.0,295.25,110.75,7.0,5,0.35,1,greater than 31.6675
0.78,660.0,423.25,123.25,7.0,4,0.35,3,greater than 31.6675
0.73,685.5,293.5,220.5,3.5,2,0.0,0,less than 12.9925
0.69,750.0,297.5,220.5,3.5,4,0.0,0,between 12.9925 and 18.95
0.81,612.75,318.5,147.0,7.0,3,0.35,2,between 18.95 and 31.6675
0.7,694.0,292.5,220.75,3.5,3,0.1,1,between 12.9925 and 18.95
0.75,688.75,293.0,220.0,3.5,3,0.35,4,between 12.9925 and 18.95
0.67,808.25,368.0,220.75,3.5,4,0.35,3,between 12.9925 and 18.95
0.76,661.25,422.75,122.75,7.0,3,0.1,5,greater than 31.6675
0.85,591.5,298.25,148.25,7.0,5,0.4,3,greater than 31.6675
0.72,688.0,292.0,220.25,3.5,4,0.4,3,between 12.9925 and 18.95
0.98,515.25,294.75,111.25,7.0,3,0.4,1,greater than 31.6675
0.63,807.5,368.25,220.25,3.5,5,0.4,4,between 12.9925 and 18.95
0.73,689.25,298.25,147.25,7.0,2,0.1,3,between 18.95 and 31.6675
0.83,591.0,298.25,148.25,7.0,4,0.4,5,between 12.9925 and 18.95
