relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_area_distribution,heating_load
0.77,693.5,269.5,220.5,3.5,2,0.1,5,between 12.9925 and 18.95
0.93,518.5,318.5,110.25,7.0,3,0.25,1,greater than 31.6675
0.68,748.0,245.0,220.5,3.5,4,0.4,3,less than 12.9925
0.72,677.0,294.0,147.0,7.0,5,0.25,2,between 12.9925 and 18.95
0.81,630.5,343.0,220.5,3.5,4,0.4,1,between 12.9925 and 18.95
0.91,555.0,294.0,220.5,3.5,2,0.1,4,between 18.95 and 31.6675
0.85,602.0,318.5,147.0,7.0,3,0.25,5,greater than 31.6675
0.75,704.5,269.5,220.5,3.5,2,0.4,2,between 12.9925 and 18.95
0.98,514.5,294.0,110.25,7.0,4,0.25,3,between 18.95 and 31.6675
0.88,623.0,343.0,147.0,7.0,3,0.1,1,greater than 31.6675
0.76,692.0,318.5,220.5,3.5,4,0.25,5,between 12.9925 and 18.95
0.92,529.5,269.5,110.25,7.0,3,0.25,4,between 18.95 and 31.6675
0.69,743.5,245.0,220.5,3.5,2,0.4,3,less than 12.9925
0.65,776.0,294.0,220.5,3.5,4,0.4,2,between 12.9925 and 18.95
0.83,633.5,343.0,220.5,3.5,5,0.4,1,between 12.9925 and 18.95
0.78,686.0,269.5,220.5,3.5,2,0.1,5,between 12.9925 and 18.95
