relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_area_distribution,heating_load
0.77,672.5,306.0,191.25,5.0,3,0.3,2,between 18.95 and 31.6675
0.85,636.0,320.5,162.0,7.0,4,0.2,4,greater than 31.6675
0.93,571.5,300.0,130.5,7.0,5,0.15,5,between 18.95 and 31.6675
0.88,601.0,280.0,156.0,3.5,5,0.35,3,greater than 31.6675
0.78,680.5,340.0,198.0,7.0,4,0.25,5,greater than 31.6675
0.81,648.5,312.0,169.5,7.0,3,0.3,1,between 18.95 and 31.6675
0.95,541.0,304.5,120.0,7.0,2,0.2,4,greater than 31.6675
0.83,623.0,328.0,182.25,3.5,4,0.25,2,between 12.9925 and 18.95
0.91,559.5,319.5,137.25,7.0,2,0.1,5,between 18.95 and 31.6675
0.76,694.5,347.0,206.25,7.0,5,0.4,1,greater than 31.6675
0.87,607.0,293.5,154.0,3.5,4,0.35,2,between 12.9925 and 18.95
0.94,526.5,301.5,113.75,7.0,5,0.15,3,greater than 31.6675
0.84,634.0,283.0,166.5,5.0,3,0.2,5,between 18.95 and 31.6675
0.89,579.5,310.0,148.5,7.0,3,0.3,1,greater than 31.6675
0.96,513.0,300.0,108.0,7.0,4,0.1,2,between 18.95 and 31.6675
0.79,663.0,329.0,195.0,5.0,4,0.25,4,greater than 31.6675
