relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_area_distribution,heating_load
0.77,645.5,283.0,211.25,7.0,3,0.25,5,greater than 31.6675
0.81,697.5,349.0,181.75,3.5,2,0.4,4,between 18.95 and 31.6675
0.75,729.0,263.5,233.5,7.0,4,0.1,3,less than 12.9925
0.94,552.5,309.0,126.5,3.5,5,0.1,2,greater than 31.6675
0.73,676.5,250.0,196.25,7.0,3,0.25,1,less than 12.9925
0.88,633.5,332.0,172.25,7.0,2,0.1,5,between 12.9925 and 18.95
0.82,616.0,292.5,183.75,3.5,3,0.25,4,greater than 31.6675
0.69,747.0,355.5,236.25,3.5,4,0.4,2,between 12.9925 and 18.95
0.92,568.0,302.0,108.0,7.0,4,0.25,3,greater than 31.6675
0.78,659.5,270.0,216.0,7.0,3,0.4,5,greater than 31.6675
0.85,606.0,312.5,150.5,7.0,5,0.1,1,greater than 31.6675
0.76,718.0,246.0,242.25,3.5,3,0.25,4,less than 12.9925
0.89,592.5,335.0,164.25,7.0,2,0.1,3,between 18.95 and 31.6675
0.83,631.0,325.0,175.0,3.5,3,0.4,5,greater than 31.6675
0.95,535.0,283.0,117.0,7.0,4,0.1,2,greater than 31.6675
0.72,690.5,265.5,231.25,7.0,3,0.1,1,less than 12.9925
