relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_area_distribution,heating_load
0.75,693.51,299.23,215.19,3.5,4,0.23,3,less than 12.9925
0.69,752.18,313.92,209.29,7.0,2,0.31,1,between 12.9925 and 18.95
0.83,629.47,292.15,140.93,7.0,5,0.41,4,greater than 31.6675
0.67,775.82,324.19,219.81,3.5,3,0.17,2,less than 12.9925
0.71,719.39,305.56,211.94,3.5,4,0.29,5,between 12.9925 and 18.95
0.79,650.28,289.47,146.59,7.0,2,0.35,3,between 18.95 and 31.6675
0.76,682.51,296.19,213.41,3.5,5,0.22,1,less than 12.9925
0.81,637.95,285.11,144.17,7.0,4,0.38,2,greater than 31.6675
0.73,748.22,314.15,208.55,3.5,3,0.26,4,between 12.9925 and 18.95
0.65,786.35,327.49,221.19,3.5,2,0.19,5,less than 12.9925
0.77,665.19,293.55,141.93,7.0,5,0.32,1,between 18.95 and 31.6675
0.85,613.49,279.51,138.39,7.0,4,0.4,3,greater than 31.6675
0.72,734.85,309.23,212.49,3.5,4,0.25,2,less than 12.9925
0.78,656.29,291.19,143.85,7.0,2,0.36,5,between 18.95 and 31.6675
0.68,762.95,320.19,220.29,3.5,5,0.16,1,less than 12.9925
0.82,636.59,286.11,145.57,7.0,3,0.39,4,greater than 31.6675
0.75,697.39,300.92,214.85,3.5,4,0.24,3,between 12.9925 and 18.95
0.81,644.27,287.95,142.43,7.0,5,0.33,2,between 18.95 and 31.6675
0.66,779.51,324.92,221.51,3.5,3,0.14,5,less than 12.9925
0.8,647.95,289.23,139.59,7.0,4,0.37,1,greater than 31.6675
0.74,716.51,306.19,211.19,3.5,4,0.27,4,between 12.9925 and 18.95
0.83,626.67,281.49,137.19,7.0,2,0.42,3,between 18.95 and 31.6675
0.69,755.19,317.11,209.91,3.5,5,0.18,2,less than 12.9925
0.87,605.49,275.95,135.29,7.0,5,0.41,1,greater than 31.6675
0.76,673.27,294.81,141.93,7.0,4,0.28,5,between 12.9925 and 18.95
0.73,742.95,312.35,208.27,3.5,3,0.2,4,less than 12.9925
0.84,619.95,280.15,136.43,7.0,3,0.38,2,between 18.95 and 31.6675
0.7,768.19,321.67,220.99,3.5,2,0.15,5,less than 12.9925
0.79,653.51,290.43,140.81,7.0,4,0.35,3,greater than 31.6675
0.77,669.19,293.99,143.11,7.0,5,0.29,1,between 18.95 and 31.6675
0.85,615.39,279.23,138.81,7.0,2,0.4,4,greater than 31.6675
0.72,736.95,309.59,212.67,3.5,4,0.24,2,less than 12.9925
0.82,638.27,287.27,140.51,7.0,5,0.33,5,between 18.95 and 31.6675
0.67,780.19,324.51,221.27,3.5,3,0.13,1,less than 12.9925
0.8,648.95,290.19,139.75,7.0,4,0.37,3,greater than 31.6675
0.75,700.95,302.27,215.39,3.5,4,0.25,4,between 12.9925 and 18.95
0.83,629.19,291.95,140.99,7.0,2,0.42,2,between 18.95 and 31.6675
0.69,757.51,317.39,210.19,3.5,5,0.18,5,less than 12.9925
0.87,607.19,276.23,135.39,7.0,5,0.4,1,greater than 31.6675
0.76,676.19,295.23,142.11,7.0,4,0.29,5,between 12.9925 and 18.95
0.73,745.39,312.79,208.41,3.5,3,0.21,4,less than 12.9925
0.84,621.95,280.51,136.51,7.0,3,0.38,2,between 18.95 and 31.6675
0.7,770.19,322.19,221.01,3.5,2,0.15,5,less than 12.9925
0.79,655.19,290.85,140.83,7.0,4,0.35,3,greater than 31.6675
0.78,670.19,294.23,143.23,7.0,5,0.3,1,between 18.95 and 31.6675
0.85,616.39,279.45,138.85,7.0,2,0.4,4,greater than 31.6675
0.72,738.19,309.87,212.69,3.5,4,0.24,2,less than 12.9925
0.82,639.95,287.51,140.55,7.0,5,0.33,5,between 18.95 and 31.6675
0.67,781.19,324.67,221.29,3.5,3,0.13,1,less than 12.9925
0.8,649.95,290.27,139.79,7.0,4,0.37,3,greater than 31.6675
0.75,701.95,302.39,215.39,3.5,4,0.25,4,between 12.9925 and 18.95
0.83,630.19,292.11,141.01,7.0,2,0.42,2,between 18.95 and 31.6675
0.69,758.19,317.51,210.19,3.5,5,0.18,5,less than 12.9925
0.87,607.39,276.29,135.39,7.0,5,0.4,1,greater than 31.6675
0.77,676.95,295.41,142.15,7.0,4,0.29,5,between 12.9925 and 18.95
0.73,746.19,313.01,208.45,3.5,3,0.21,4,less than 12.9925
0.84,622.95,280.59,136.57,7.0,3,0.38,2,between 18.95 and 31.6675
0.7,771.19,322.29,221.03,3.5,2,0.15,5,less than 12.9925
0.79,656.19,291.05,140.89,7.0,4,0.35,3,greater than 31.6675
0.78,671.19,294.39,143.27,7.0,5,0.3,1,between 18.95 and 31.6675
0.85,617.39,279.55,138.89,7.0,2,0.4,4,greater than 31.6675
0.72,739.19,310.01,212.73,3.5,4,0.24,2,less than 12.9925
0.82,640.95,287.59,140.59,7.0,5,0.33,5,between 18.95 and 31.6675
0.67,782.19,324.75,221.31,3.5,3,0.13,1,less than 12.9925
