education,experience,ethnicity,smsa,region,parttime,wage
12,10.0,cauc,no,south,no,less than 308.64
16,28.0,cauc,yes,northeast,no,greater than 783.48
14,4.0,cauc,yes,west,no,between 308.64 and 522.32
18,17.0,cauc,yes,midwest,no,greater than 783.48
8,34.0,cauc,yes,south,no,less than 308.64
16,6.0,cauc,yes,west,no,between 522.32 and 783.48
12,18.0,cauc,yes,south,no,greater than 783.48
13,1.0,afam,no,northeast,no,between 308.64 and 522.32
11,36.0,cauc,yes,south,no,between 522.32 and 783.48
17,11.0,cauc,yes,west,no,greater than 783.48
15,45.0,cauc,no,midwest,no,between 522.32 and 783.48
12,2.0,cauc,yes,south,no,less than 308.64
12,4.0,cauc,yes,northeast,no,between 308.64 and 522.32
16,33.0,cauc,yes,west,no,greater than 783.48
16,20.0,cauc,yes,south,no,greater than 783.48
14,8.0,cauc,yes,west,no,between 522.32 and 783.48
18,1.0,cauc,yes,south,no,between 522.32 and 783.48
12,19.0,cauc,yes,northeast,no,between 308.64 and 522.32
11,28.0,cauc,yes,midwest,no,between 522.32 and 783.48
16,6.0,cauc,yes,northeast,no,greater than 783.48
17,13.0,cauc,yes,west,no,between 308.64 and 522.32
8,32.0,cauc,yes,midwest,no,between 522.32 and 783.48
12,10.0,cauc,yes,south,no,less than 308.64
12,50.0,cauc,yes,south,yes,less than 308.64
16,15.0,cauc,yes,west,no,between 522.32 and 783.48
14,7.0,cauc,yes,midwest,no,between 308.64 and 522.32
12,34.0,cauc,yes,south,no,between 308.64 and 522.32
16,22.0,cauc,yes,south,no,greater than 783.48
12,14.0,cauc,yes,northeast,no,between 522.32 and 783.48
15,20.0,cauc,yes,west,no,greater than 783.48
18,4.0,cauc,yes,south,no,between 522.32 and 783.48
11,17.0,cauc,yes,midwest,no,between 308.64 and 522.32
