education,experience,ethnicity,smsa,region,parttime,wage
12,17.0,cauc,yes,south,no,greater than 783.48
14,10.0,cauc,yes,west,no,between 308.64 and 522.32
18,15.0,cauc,no,midwest,no,between 522.32 and 783.48
12,19.0,cauc,yes,northeast,no,between 308.64 and 522.32
16,11.0,cauc,yes,south,no,greater than 783.48
10,17.0,cauc,yes,west,no,between 308.64 and 522.32
14,6.0,cauc,no,south,no,between 522.32 and 783.48
18,8.0,cauc,no,west,no,between 308.64 and 522.32
12,14.0,cauc,yes,south,yes,between 308.64 and 522.32
17,17.0,cauc,no,west,no,greater than 783.48
12,16.0,cauc,yes,midwest,no,between 522.32 and 783.48
15,10.0,cauc,yes,west,no,between 308.64 and 522.32
18,10.0,cauc,no,south,no,between 522.32 and 783.48
12,27.0,cauc,yes,south,no,greater than 783.48
14,11.0,cauc,yes,west,no,between 308.64 and 522.32
10,1.0,cauc,yes,northeast,no,between 308.64 and 522.32
