education,experience,ethnicity,smsa,region,parttime,wage
12,11.0,cauc,yes,south,no,less than 308.64
12,16.0,cauc,yes,northeast,no,between 308.64 and 522.32
18,25.0,cauc,yes,west,no,greater than 783.48
16,10.0,cauc,yes,south,no,between 522.32 and 783.48
12,30.0,cauc,no,northeast,no,less than 308.64
12,35.0,cauc,yes,midwest,no,between 308.64 and 522.32
12,20.0,cauc,yes,south,yes,less than 308.64
11,15.0,cauc,yes,west,no,between 308.64 and 522.32
14,40.0,cauc,yes,northeast,no,greater than 783.48
12,5.0,cauc,no,south,no,between 308.64 and 522.32
16,22.0,cauc,yes,northeast,no,between 522.32 and 783.48
12,45.0,cauc,yes,west,no,greater than 783.48
11,32.0,cauc,yes,south,no,between 308.64 and 522.32
12,11.0,cauc,yes,midwest,no,less than 308.64
13,28.0,cauc,yes,south,no,between 522.32 and 783.48
16,18.0,cauc,yes,west,no,greater than 783.48
14,12.0,cauc,yes,northeast,no,between 308.64 and 522.32
12,38.0,cauc,no,south,no,less than 308.64
12,24.0,cauc,yes,west,no,between 308.64 and 522.32
18,30.0,cauc,yes,midwest,no,greater than 783.48
12,42.0,cauc,yes,south,no,between 522.32 and 783.48
16,14.0,cauc,yes,northeast,no,between 308.64 and 522.32
12,19.0,cauc,yes,west,no,less than 308.64
12,34.0,cauc,yes,south,no,between 308.64 and 522.32
11,21.0,cauc,yes,northeast,no,between 308.64 and 522.32
14,26.0,cauc,yes,west,no,greater than 783.48
18,16.0,cauc,yes,midwest,no,between 522.32 and 783.48
12,9.0,cauc,yes,south,no,less than 308.64
16,31.0,cauc,yes,northeast,no,between 522.32 and 783.48
14,17.0,cauc,yes,south,no,between 308.64 and 522.32
12,39.0,cauc,yes,west,no,greater than 783.48
12,23.0,cauc,yes,south,no,between 308.64 and 522.32
13,29.0,cauc,yes,northeast,no,between 522.32 and 783.48
12,7.0,cauc,yes,west,no,less than 308.64
16,33.0,cauc,yes,midwest,no,greater than 783.48
12,41.0,cauc,yes,south,no,between 308.64 and 522.32
18,27.0,cauc,yes,west,no,greater than 783.48
12,15.0,cauc,yes,northeast,no,between 308.64 and 522.32
14,36.0,cauc,yes,south,no,between 522.32 and 783.48
12,25.0,cauc,yes,west,no,less than 308.64
11,20.0,cauc,yes,south,no,between 308.64 and 522.32
16,13.0,cauc,yes,northeast,no,between 308.64 and 522.32
12,37.0,cauc,yes,south,no,greater than 783.48
18,24.0,cauc,yes,midwest,no,greater than 783.48
12,10.0,cauc,yes,west,no,between 308.64 and 522.32
14,19.0,cauc,yes,northeast,no,between 308.64 and 522.32
12,28.0,cauc,yes,south,no,between 522.32 and 783.48
16,35.0,cauc,yes,west,no,greater than 783.48
12,22.0,cauc,yes,midwest,no,less than 308.64
12,40.0,cauc,yes,south,no,between 522.32 and 783.48
13,12.0,cauc,yes,northeast,no,between 308.64 and 522.32
12,26.0,cauc,yes,west,no,greater than 783.48
16,32.0,cauc,yes,south,no,between 308.64 and 522.32
14,11.0,cauc,yes,south,no,less than 308.64
18,21.0,cauc,yes,midwest,no,between 522.32 and 783.48
12,38.0,cauc,yes,west,no,greater than 783.48
12,17.0,cauc,yes,northeast,no,between 308.64 and 522.32
12,44.0,cauc,yes,south,no,between 308.64 and 522.32
16,29.0,cauc,yes,west,no,between 522.32 and 783.48
14,18.0,cauc,yes,south,no,between 308.64 and 522.32
12,36.0,cauc,yes,midwest,no,greater than 783.48
18,23.0,cauc,yes,northeast,no,greater than 783.48
12,14.0,cauc,yes,west,no,less than 308.64
12,43.0,cauc,yes,south,no,between 308.64 and 522.32
12,18.0,cauc,yes,south,no,between 308.64 and 522.32
14,22.0,cauc,yes,northeast,no,greater than 783.48
11,15.0,cauc,no,south,no,between 308.64 and 522.32
16,20.0,afam,yes,west,no,between 522.32 and 783.48
10,12.0,cauc,yes,midwest,no,less than 308.64
12,25.0,cauc,yes,south,no,between 522.32 and 783.48
13,18.0,cauc,yes,west,no,greater than 783.48
15,28.0,cauc,no,northeast,no,between 308.64 and 522.32
12,8.0,cauc,yes,midwest,no,less than 308.64
9,11.0,cauc,yes,northeast,no,between 308.64 and 522.32
12,14.0,cauc,yes,south,no,greater than 783.48
17,29.0,afam,yes,south,no,between 522.32 and 783.48
14,23.0,cauc,yes,west,no,between 308.64 and 522.32
16,16.0,cauc,yes,south,no,greater than 783.48
10,26.0,cauc,yes,northeast,no,between 308.64 and 522.32
12,19.0,cauc,yes,midwest,no,between 522.32 and 783.48
18,27.0,cauc,yes,west,no,greater than 783.48
13,24.0,cauc,yes,south,no,between 308.64 and 522.32
15,21.0,afam,yes,northeast,no,between 522.32 and 783.48
12,7.0,cauc,yes,west,no,less than 308.64
12,30.0,cauc,yes,south,no,between 522.32 and 783.48
8,38.0,cauc,yes,midwest,no,greater than 783.48
14,17.0,cauc,yes,northeast,no,between 308.64 and 522.32
11,10.0,cauc,yes,south,no,between 308.64 and 522.32
16,24.0,cauc,yes,west,no,greater than 783.48
18,25.0,afam,yes,south,no,between 522.32 and 783.48
9,13.0,cauc,yes,northeast,no,less than 308.64
10,20.0,cauc,yes,midwest,no,between 308.64 and 522.32
17,31.0,cauc,yes,west,no,greater than 783.48
15,22.0,cauc,yes,south,no,between 522.32 and 783.48
14,18.0,cauc,yes,northeast,no,between 308.64 and 522.32
12,9.0,cauc,yes,west,no,less than 308.64
11,16.0,cauc,yes,south,no,between 308.64 and 522.32
16,26.0,cauc,yes,midwest,no,greater than 783.48
