education,experience,ethnicity,smsa,region,parttime,wage
13,11.0,cauc,yes,west,no,between 308.64 and 522.32
16,25.0,cauc,yes,midwest,no,greater than 783.48
12,7.0,cauc,no,south,no,less than 308.64
14,18.0,cauc,yes,northeast,no,between 522.32 and 783.48
18,13.0,cauc,yes,south,no,greater than 783.48
15,22.0,cauc,yes,west,no,greater than 783.48
16,10.0,cauc,yes,midwest,no,between 522.32 and 783.48
12,8.0,cauc,yes,west,yes,less than 308.64
17,16.0,cauc,yes,south,no,between 522.32 and 783.48
14,5.0,cauc,yes,midwest,no,between 308.64 and 522.32
12,20.0,cauc,no,west,no,between 308.64 and 522.32
16,6.0,cauc,yes,south,no,between 522.32 and 783.48
13,9.0,cauc,yes,midwest,no,between 308.64 and 522.32
18,17.0,cauc,yes,midwest,no,greater than 783.48
16,30.0,cauc,yes,west,no,greater than 783.48
12,3.0,afam,yes,south,no,less than 308.64
15,14.0,cauc,yes,west,no,between 522.32 and 783.48
12,12.0,cauc,yes,midwest,no,between 308.64 and 522.32
17,24.0,cauc,yes,midwest,no,greater than 783.48
16,7.0,cauc,yes,west,no,between 522.32 and 783.48
14,11.0,cauc,yes,south,no,between 308.64 and 522.32
13,1.0,cauc,yes,south,no,less than 308.64
14,8.0,cauc,no,west,no,between 308.64 and 522.32
16,4.0,cauc,yes,midwest,no,between 522.32 and 783.48
18,23.0,cauc,yes,south,no,greater than 783.48
12,15.0,cauc,yes,northeast,no,between 308.64 and 522.32
16,21.0,cauc,yes,south,no,greater than 783.48
12,25.0,cauc,no,midwest,no,less than 308.64
7,41.0,cauc,no,south,no,greater than 783.48
16,18.0,cauc,yes,west,no,greater than 783.48
18,12.0,cauc,yes,midwest,no,greater than 783.48
13,13.0,cauc,yes,midwest,no,less than 308.64
12,10.0,cauc,yes,northeast,no,between 308.64 and 522.32
8,53.0,cauc,no,midwest,no,greater than 783.48
12,27.0,cauc,yes,south,no,less than 308.64
17,17.0,cauc,no,northeast,no,between 522.32 and 783.48
7,28.0,cauc,yes,south,no,between 308.64 and 522.32
3,30.0,cauc,yes,west,no,between 308.64 and 522.32
12,4.0,cauc,no,midwest,no,less than 308.64
12,32.0,cauc,yes,midwest,no,between 522.32 and 783.48
12,9.0,cauc,yes,west,no,greater than 783.48
16,5.0,cauc,yes,south,no,between 522.32 and 783.48
16,20.0,cauc,no,west,no,greater than 783.48
12,33.0,cauc,yes,midwest,no,greater than 783.48
16,14.0,cauc,yes,northeast,no,between 522.32 and 783.48
13,19.0,cauc,no,midwest,yes,less than 308.64
14,1.0,cauc,yes,northeast,no,less than 308.64
11,24.0,cauc,no,south,no,greater than 783.48
17,29.0,cauc,yes,south,no,greater than 783.48
12,2.0,cauc,yes,south,no,less than 308.64
12,39.0,afam,yes,south,no,between 522.32 and 783.48
12,11.0,cauc,no,south,no,between 308.64 and 522.32
14,10.0,cauc,yes,west,no,between 308.64 and 522.32
12,16.0,afam,yes,south,no,between 308.64 and 522.32
18,10.0,cauc,no,northeast,no,between 308.64 and 522.32
12,27.0,cauc,yes,south,no,greater than 783.48
11,23.0,cauc,yes,south,no,less than 308.64
12,7.0,cauc,yes,west,no,greater than 783.48
13,5.0,cauc,yes,south,no,between 308.64 and 522.32
12,12.0,cauc,no,midwest,no,between 308.64 and 522.32
14,18.0,cauc,yes,south,no,between 308.64 and 522.32
12,10.0,cauc,yes,northeast,no,greater than 783.48
9,17.0,cauc,no,south,no,between 308.64 and 522.32
18,9.0,cauc,yes,south,no,between 308.64 and 522.32
