number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp
3.0,92.5315,56.3513,69.1241,33.8193,1.201,1.0113,181.42,27.31,60.219,51.1915,751.21,965.33,715.49,906.11,1.3516,0.8324,753.1,615.11,255.51,249.49,165.3,128.2,150.35,120.85,1.449,1.3842,195.4,41.35,61.24,60.55,6211,4448,1510.0,1114.0,1.212,1.011,10644.0,2408.0,3818.0,3682.0,73.35,96.41,53.75,91.29,1.395,1.065,128.3,75.45,52.22,53.14,8.18,6.32,4.29,2.19,1.191,0.911,12.1,3.42,4.17,4.31,85.19,82.41,14.51,10.49,0.911,0.812,399.97,64.29,143.41,155.91,2.5,2.45,2.37,2.31,1.53,1.24,3.0,1.24,0.64,0.48,between 5.365 and 20.0
5.0,110.42,66.31,85.63,42.19,1.421,1.201,200.19,22.15,73.49,65.29,796.49,1019.3,743.19,965.49,1.611,0.936,819.8,691.19,324.19,354.21,170.8,111.4,156.41,90.19,1.54,1.431,205.0,33.19,70.31,74.39,4274,3171,852.91,69.49,1.245,0.911,9200.0,2100.0,3239.0,3713.0,67.31,110.5,35.49,92.19,1.219,0.821,140.0,77.19,55.49,46.29,7.34,4.84,4.24,1.31,1.42,1.04,12.5,2.95,4.25,5.36,126.35,96.21,14.09,1.11,0.859,0.271,399.97,93.15,155.19,165.49,2.3,2.29,2.23,2.15,1.63,1.32,2.0,1.29,0.53,0.31,between 20.0 and 63.0
2.0,83.43,49.23,61.29,29.85,0.982,0.654,134.19,16.49,58.35,49.19,684.49,812.89,640.49,757.49,1.201,0.595,451.9,380.3,219.1,200.4,149.1,134.9,133.3,122.3,1.191,0.971,191.9,25.49,49.49,45.39,5539,4489,1425.0,1042.0,1.081,0.744,9450.0,1713.0,2925.0,2811.0,60.39,71.49,43.35,50.39,1.051,0.602,103.9,49.99,48.29,46.69,6.25,5.42,3.85,1.42,1.23,0.981,12.1,2.15,3.94,4.22,111.19,108.21,12.35,0.921,0.531,399.97,46.59,129.29,148.49,2.6,2.44,2.41,2.36,1.44,1.28,2.0,0.94,0.38,0.29,less than 5.365,
7.0,95.66,77.49,70.49,61.39,1.291,1.201,188.49,29.49,64.99,56.29,765.4,950.8,727.4,902.9,1.431,0.911,782.9,659.1,267.8,253.3,160.3,152.9,145.1,138.3,1.449,1.361,195.1,30.49,63.3,59.9,5289,5049,1249.0,1005.0,1.201,0.964,10800.0,2533.0,3729.0,3593.0,72.19,88.49,49.89,86.29,1.201,0.831,135.9,73.19,52.19,49.49,7.49,5.39,4.49,1.89,1.23,1.04,12.5,3.24,4.19,4.49,80.19,78.41,15.91,0.98,0.79,0.281,399.97,69.19,144.49,160.69,2.4,2.35,2.33,2.27,1.53,1.34,1.0,1.14,0.47,0.37,between 20.0 and 63.0
4.0,88.33,54.81,66.29,34.95,1.081,1.011,185.19,14.95,59.19,50.69,744.9,988.5,699.5,922.9,1.281,0.751,794.5,645.9,304.5,322.9,168.9,112.4,149.1,90.19,1.449,1.384,204.9,32.69,66.49,68.99,4164,2950,751.9,69.5,1.201,0.859,9200.0,2000.0,3200.0,3600.0,65.79,110.79,33.29,89.49,1.219,0.789,141.9,76.99,53.99,45.49,7.21,4.79,4.09,1.31,1.35,1.03,10.3,2.83,4.15,5.29,113.19,94.01,13.51,1.01,0.819,0.281,399.97,91.99,152.99,163.99,2.3,2.23,2.19,2.09,1.54,1.31,2.0,1.24,0.52,0.31,between 20.0 and 63.0
2.0,76.49,45.99,56.49,26.75,0.731,0.619,121.9,11.49,44.99,38.49,683.99,803.99,645.99,768.99,1.051,0.592,451.9,380.9,201.9,191.9,147.9,134.9,136.9,128.2,1.191,1.011,191.9,22.69,43.49,41.99,5511,4451,1419.0,1049.0,1.001,0.744,9450.0,1713.0,2729.0,2613.0,60.19,65.19,43.49,50.69,1.051,0.573,103.9,49.49,47.99,45.99,6.25,5.19,3.85,1.25,1.22,0.971,12.1,2.15,3.89,4.15,111.19,106.21,12.29,0.921,0.509,399.97,46.49,129.99,148.99,2.5,2.39,2.33,2.29,1.42,1.24,1.0,1.04,0.38,0.29,less than 5.365,
3.0,90.65,56.11,66.59,31.89,1.051,0.971,183.19,18.19,59.69,49.89,736.89,945.19,693.19,892.89,1.231,0.829,755.9,612.9,243.9,230.9,164.9,139.9,149.9,134.9,1.339,1.253,193.9,27.49,50.99,48.99,5739,4629,1429.0,1079.0,1.141,0.879,9829.0,1919.0,2929.0,2819.0,69.59,81.99,46.19,54.99,1.141,0.671,120.9,56.99,49.49,46.99,6.49,5.49,3.99,1.39,1.29,0.981,12.5,2.79,4.09,4.39,85.99,85.61,14.19,0.941,0.741,399.97,64.99,143.99,155.99,2.4,2.33,2.29,2.23,1.47,1.28,2.0,1.16,0.48,0.37,between 5.365 and 20.0,
6.0,108.42,67.38,74.42,34.19,1.329,1.051,188.38,14.38,70.88,59.88,753.38,1009.38,725.38,942.88,1.509,0.831,794.3,660.3,313.3,346.3,170.3,111.3,159.3,89.93,1.509,1.364,205.3,30.19,67.79,70.89,5099,3175,819.1,69.51,1.231,0.881,9050.0,2050.0,3199.0,3759.0,66.19,111.69,34.49,93.19,1.219,0.801,141.9,75.29,53.99,44.99,7.19,4.79,4.09,1.39,1.31,1.04,10.3,2.89,4.19,5.29,128.19,96.51,14.39,1.01,0.789,0.291,399.97,92.99,155.99,165.99,2.3,2.25,2.21,2.11,1.58,1.32,1.0,1.11,0.44,0.31,between 20.0 and 63.0
2.0,82.75,49.15,61.55,28.35,0.951,0.599,130.55,15.55,56.55,50.15,694.15,808.65,649.15,751.65,1.141,0.699,450.95,370.95,221.95,201.95,150.95,135.95,134.95,123.95,1.141,0.971,191.95,24.95,48.95,45.95,5679,4639,1419.0,1049.0,1.059,0.751,9679.0,1739.0,2819.0,2619.0,64.35,70.35,43.35,49.35,1.059,0.601,104.95,50.45,48.45,46.45,6.15,5.39,3.89,1.29,1.21,0.959,10.1,2.55,4.05,4.29,109.55,107.41,12.89,0.939,0.551,399.97,48.45,130.95,150.95,2.5,2.39,2.31,2.27,1.42,1.29,2.0,1.14,0.43,0.31,less than 5.365,
5.0,92.33,57.49,67.89,33.49,1.181,0.971,184.49,19.49,61.29,51.89,748.89,962.89,714.89,911.89,1.271,0.831,776.89,633.89,264.89,251.89,163.89,129.89,149.89,123.89,1.381,1.282,196.89,27.89,62.89,60.89,5211,3335,814.9,69.99,1.201,0.859,9099.0,2089.0,3289.0,3689.0,68.49,108.49,33.49,88.99,1.191,0.789,140.9,75.99,53.49,44.99,7.09,4.79,4.09,1.31,1.31,1.01,12.3,2.89,4.15,5.29,127.19,97.39,14.21,1.03,0.819,0.291,399.97,93.99,155.99,165.99,2.3,2.27,2.23,2.15,1.54,1.31,2.0,1.24,0.47,0.33,between 20.0 and 63.0
