number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp
3.4,73.1,63.9,61.8,59.2,1.05,0.94,65.9,21.1,29.9,24.8,789.2,832.9,756.1,802.9,1.29,1.03,451.6,317.1,142.1,135.2,155.9,144.6,148.3,139.2,1.21,1.12,93.1,28.2,39.5,37.3,6128.4,5846.3,4459.1,5367.6,0.94,0.83,5845.1,2531.9,2811.9,2738.2,53.8,64.2,36.5,40.1,0.99,0.81,91.9,39.9,53.3,45.6,14.5,12.4,10.4,11.1,0.79,0.75,10.3,4.8,4.2,4.5,63.2,54.4,44.7,42.1,0.69,0.63,4.0,1.2,0.9,0.8,less than 5.365,,,,,,,,,,
4.8,97.8,85.6,76.4,72.2,1.23,1.06,108.3,43.8,35.1,32.4,829.5,866.3,799.4,844.7,1.41,1.11,631.1,394.2,265.8,259.4,168.2,162.4,160.3,157.3,1.33,1.24,126.4,33.7,46.1,43.7,6993.5,6613.9,5031.9,6243.8,1.01,0.89,7510.2,3731.4,3131.9,3173.1,71.3,68.9,49.2,52.6,1.04,0.94,114.7,49.9,65.4,59.3,9.5,7.4,5.4,6.3,1.03,0.93,13.1,5.4,3.5,3.7,85.6,70.6,61.3,59.2,0.77,0.71,3.0,1.4,1.1,1.0,between 5.365 and 20.0,,,,,,,,,,
4.2,90.4,78.2,70.5,65.9,1.17,1.02,83.5,30.6,38.5,34.4,755.9,802.1,725.5,783.4,1.26,1.01,522.8,360.3,259.4,247.1,151.1,144.4,146.4,140.6,1.16,1.08,104.6,40.8,43.3,40.6,6400.8,6103.3,4663.7,5813.1,0.97,0.86,6841.9,3045.9,3092.2,2979.1,61.1,57.4,41.3,48.1,0.95,0.84,96.2,44.8,59.6,54.1,12.2,10.8,8.6,9.6,0.87,0.81,11.9,5.3,4.7,4.8,69.8,59.9,51.8,50.1,0.74,0.68,3.0,1.3,1.1,0.9,between 20.0 and 63.0,,,,,,,,,,
2.2,140.8,129.4,137.2,126.4,0.69,0.64,75.5,81.2,37.4,33.7,645.1,623.3,635.4,614.2,0.69,0.59,145.1,368.3,72.5,68.5,190.8,195.3,189.5,193.4,0.69,0.65,37.4,82.2,17.3,16.2,12369.2,11821.1,12255.6,11640.8,0.68,0.66,5859.0,4647.4,2929.0,2805.8,52.1,49.5,48.3,46.9,0.69,0.63,13.4,23.5,6.3,5.7,20.5,20.2,19.5,20.1,0.68,0.64,4.7,14.5,2.3,2.1,36.4,31.5,33.9,29.4,0.68,0.64,51.5,26.3,25.9,25.6,4,1.5,0.8,0.7,less than 5.365,,,,,,
3.1,83.2,74.2,64.4,61.1,1.05,0.9,28.5,24.4,43.1,39.5,738.4,760.1,710.3,746.4,1.19,0.97,392.1,274.8,162.3,151.3,167.3,159.4,158.5,155.2,1.07,1.01,99.4,23.3,42.2,39.5,6835.4,6582.2,5594.4,6349.6,0.92,0.83,8958.6,4283.2,3734.9,3577.3,44.2,50.8,30.6,38.3,0.84,0.78,72.4,29.7,42.4,33.5,16.8,17.5,15.5,16.3,0.81,0.76,19.7,9.5,8.4,7.6,52.3,43.8,49.1,44.5,0.72,0.67,3.0,1.6,0.8,0.7,less than 5.365,,,,,,,,,,
6.3,93.4,83.1,71.2,67.4,1.45,1.21,123.9,16.2,45.8,43.3,767.2,783.8,733.5,767.1,1.49,1.19,810.6,214.1,262.2,249.6,152.2,153.8,146.6,149.4,1.51,1.23,205.0,37.6,51.3,47.4,6568.3,6104.8,1710.2,1466.1,1.35,1.06,11338.6,2933.8,4029.1,4017.2,70.3,73.4,47.2,42.6,1.42,1.12,141.0,28.4,48.5,45.4,7.5,5.3,4.3,4.8,1.29,1.07,12.9,2.7,4.6,4.4,82.8,77.6,56.7,51.4,1.09,0.96,399.97,67.4,143.7,144.2,3,2.9,2.79,2.69,1.58,1.25,3.0,1.4,1.2,1.0,between 20.0 and 63.0
3.6,77.3,69.4,61.2,58.2,1.15,1.01,41.9,25.3,50.7,45.3,729.4,750.9,698.5,736.3,1.21,0.98,364.1,251.9,272.7,246.3,163.9,154.2,157.5,149.8,1.13,1.04,101.4,42.9,64.5,59.2,6553.1,6235.5,5154.8,6017.4,0.92,0.84,9393.0,4283.2,3746.9,3605.4,48.4,53.9,35.5,41.4,0.84,0.77,76.3,32.6,53.4,44.1,17.1,18.4,14.5,16.3,0.78,0.73,19.7,10.5,6.2,5.7,49.9,43.1,45.5,39.5,0.71,0.65,3.0,1.6,0.9,0.8,less than 5.365,,,,,,,,,,
2.5,162.3,149.4,158.5,145.2,0.68,0.59,16.3,70.3,6.8,4.3,692.2,674.5,688.3,670.8,0.69,0.59,53.9,368.5,26.3,18.5,193.4,194.8,192.2,194.3,0.69,0.59,30.8,79.4,14.5,11.9,9449.9,7251.1,9032.5,7061.8,0.66,0.61,5859.0,4622.9,2929.5,1757.7,65.1,49.6,60.3,47.2,0.62,0.59,13.1,24.2,6.5,5.4,20.6,20.4,19.8,20.2,0.67,0.62,4.7,16.5,2.2,1.7,34.0,29.6,40.4,26.1,0.64,0.61,48.0,8.5,20.0,16.4,4,3.8,4.3,3.9,0.68,0.64,2.0,1.3,0.6,0.5,less than 5.365
3.8,117.6,107.3,91.6,84.1,1.31,1.15,110.3,44.6,51.8,45.6,806.6,843.9,764.2,816.8,1.39,1.07,631.1,396.8,294.1,286.2,155.3,151.1,149.4,148.9,1.21,1.12,98.3,44.6,53.2,47.5,6557.9,6181.9,5089.1,6021.4,0.96,0.87,7186.1,2945.4,3123.5,3063.4,55.9,54.6,40.9,45.8,0.94,0.85,109.5,50.8,61.4,52.5,15.1,13.8,11.2,12.5,0.88,0.82,13.2,6.3,4.6,4.7,62.1,53.1,51.3,47.6,0.76,0.71,3.0,1.5,1.1,0.9,between 5.365 and 20.0,,,,,,,,,,
4.9,69.4,61.7,55.3,49.3,1.38,1.25,117.1,18.5,47.9,41.4,756.9,800.8,720.4,785.1,1.46,1.13,765.6,540.9,278.8,276.3,161.1,152.2,155.4,150.2,1.28,1.17,204.0,35.3,65.3,59.1,4468.5,3321.9,844.6,609.3,1.15,0.96,8958.6,1925.9,3198.2,3454.8,75.2,71.9,54.4,54.2,1.18,1.05,134.8,76.7,49.3,48.9,7.7,6.3,5.1,6.1,1.15,1.01,12.9,3.2,4.5,4.6,108.3,61.6,44.6,43.3,0.99,0.9,399.97,84.2,150.4,151.7,2.1,2.1,2.4,2.3,1.63,1.32,3.0,1.4,1.1,1.0,between 20.0 and 63.0
