city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,total
Sao Paulo,67.0,2,1,1,3,accept,not furnished,400.0,between 2061.75 and 3581.5
Rio de Janeiro,250.0,4,2,2,10,not accept,furnished,3000.0,greater than 6768.0
Sao Paulo,30.0,1,1,0,1,accept,not furnished,0.0,less than 2061.75
Campinas,120.0,3,2,1,5,accept,not furnished,1000.0,between 2061.75 and 3581.5
Belo Horizonte,180.0,3,2,2,8,accept,not furnished,1500.0,greater than 6768.0
Sao Paulo,90.0,2,2,1,4,not accept,not furnished,800.0,between 2061.75 and 3581.5
Porto Alegre,40.0,2,1,1,2,accept,not furnished,300.0,less than 2061.75
Sao Paulo,110.0,3,2,2,9,accept,furnished,2200.0,greater than 6768.0
Rio de Janeiro,200.0,4,3,2,6,not accept,furnished,3200.0,greater than 6768.0
Sao Paulo,65.0,2,1,1,3,accept,not furnished,500.0,between 2061.75 and 3581.5
Campinas,50.0,1,1,0,1,accept,not furnished,200.0,less than 2061.75
Sao Paulo,140.0,3,2,2,7,accept,not furnished,1800.0,greater than 6768.0
Belo Horizonte,100.0,2,2,1,4,accept,not furnished,600.0,between 2061.75 and 3581.5
Sao Paulo,80.0,2,2,1,5,not accept,not furnished,900.0,between 2061.75 and 3581.5
Rio de Janeiro,260.0,4,3,2,11,accept,furnished,3500.0,greater than 6768.0
Sao Paulo,130.0,3,2,2,6,accept,not furnished,2000.0,greater than 6768.0
