city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,total
Sao Paulo,138.0,3,2,1,10,accept,not furnished,1200.0,between 3581.5 and 6768.0
Belo Horizonte,92.0,2,1,2,5,accept,not furnished,630.0,less than 2061.75
Rio de Janeiro,118.0,2,1,0,3,accept,furnished,471.0,between 2061.75 and 3581.5
Sao Paulo,68.0,1,1,1,2,not accept,not furnished,201.0,less than 2061.75
Sao Paulo,240.0,4,3,3,15,accept,not furnished,2600.0,greater than 6768.0
Campinas,75.0,2,1,1,4,accept,not furnished,413.0,between 2061.75 and 3581.5
Porto Alegre,198.0,4,3,2,10,accept,furnished,2400.0,between 3581.5 and 6768.0
Sao Paulo,130.0,3,2,2,8,accept,not furnished,1000.0,between 3581.5 and 6768.0
Belo Horizonte,50.0,1,1,0,1,not accept,furnished,150.0,less than 2061.75
Rio de Janeiro,110.0,2,1,0,6,accept,not furnished,700.0,between 2061.75 and 3581.5
Sao Paulo,85.0,2,1,1,5,accept,not furnished,450.0,between 2061.75 and 3581.5
Campinas,62.0,2,1,1,3,accept,not furnished,320.0,less than 2061.75
Belo Horizonte,95.0,3,2,2,6,accept,not furnished,900.0,between 2061.75 and 3581.5
Rio de Janeiro,45.0,1,1,0,2,accept,furnished,300.0,less than 2061.75
Sao Paulo,160.0,3,2,2,9,accept,not furnished,1400.0,between 3581.5 and 6768.0
Sao Paulo,210.0,4,3,3,12,accept,furnished,2800.0,greater than 6768.0
Belo Horizonte,80.0,2,1,2,4,accept,not furnished,500.0,between 2061.75 and 3581.5
Porto Alegre,120.0,3,2,1,7,accept,not furnished,1000.0,between 2061.75 and 3581.5
Sao Paulo,100.0,2,1,1,6,not accept,not furnished,600.0,between 2061.75 and 3581.5
Rio de Janeiro,55.0,1,1,0,3,accept,furnished,250.0,less than 2061.75
Sao Paulo,140.0,3,2,2,10,accept,not furnished,1600.0,between 3581.5 and 6768.0
Belo Horizonte,65.0,2,1,1,5,accept,not furnished,380.0,between 2061.75 and 3581.5
Campinas,90.0,3,2,2,6,accept,not furnished,800.0,between 2061.75 and 3581.5
Sao Paulo,110.0,2,1,1,4,accept,not furnished,500.0,between 2061.75 and 3581.5
Sao Paulo,190.0,4,3,3,14,accept,furnished,3000.0,greater than 6768.0
Belo Horizonte,70.0,2,1,1,3,not accept,furnished,220.0,less than 2061.75
Porto Alegre,150.0,3,2,2,8,accept,not furnished,1200.0,between 3581.5 and 6768.0
Sao Paulo,80.0,2,1,1,5,accept,not furnished,400.0,between 2061.75 and 3581.5
Rio de Janeiro,40.0,1,1,0,2,accept,furnished,200.0,less than 2061.75
Sao Paulo,230.0,4,3,3,16,accept,not furnished,3400.0,greater than 6768.0
Sao Paulo,120.0,3,2,2,7,accept,not furnished,1000.0,between 3581.5 and 6768.0
Belo Horizonte,85.0,2,1,1,4,accept,not furnished,450.0,between 2061.75 and 3581.5
