frequency,angle_of_attack,chord_length,free_stream_velocity,displacement_thickness,sound_pressure
8000.0,5.2,0.3048,71.3,0.00392107,less than 120.191
2000.0,8.1,0.1524,71.3,0.00566229,greater than 129.9955
630.0,4.8,0.0254,39.6,0.000740478,between 125.721 and 129.9955
1600.0,2.4,0.3048,39.6,0.00202822,between 120.191 and 125.721
1250.0,0.9,0.2286,71.3,0.0132672,greater than 129.9955
315.0,9.9,0.1524,71.3,0.016104,between 125.721 and 129.9955
1000.0,1.5,0.1016,55.5,0.00497773,greater than 129.9955
10000.0,7.3,0.3048,71.3,0.00131983,less than 120.191
4000.0,12.7,0.0508,39.6,0.0104404,greater than 129.9955
800.0,6.0,0.3048,55.5,0.0111706,between 125.721 and 129.9955
3150.0,0.0,0.1524,71.3,0.014072,greater than 129.9955
10000.0,4.8,0.3048,55.5,0.00266337,less than 120.191
500.0,9.0,0.1016,71.3,0.0124596,greater than 129.9955
2000.0,5.4,0.2286,55.5,0.007733001125,greater than 129.9955
800.0,3.3,0.1016,71.3,0.0042862,greater than 129.9955
4000.0,15.6,0.1524,71.3,0.00452492,greater than 129.9955
5000.0,11.2,0.3048,39.6,0.0233328,greater than 129.9955
8000.0,0.0,0.1016,71.3,0.00245138,less than 120.191
1600.0,7.3,0.3048,71.3,0.00529514,greater than 129.9955
630.0,8.4,0.1524,55.5,0.00172668,between 120.191 and 125.721
1250.0,1.5,0.1524,71.3,0.014072,greater than 129.9955
250.0,7.3,0.1524,39.6,0.00041229,between 125.721 and 129.9955
315.0,5.2,0.2286,39.6,0.0124596,between 120.191 and 125.721
3150.0,0.0,0.1524,71.3,0.016104,greater than 129.9955
2000.0,6.0,0.3048,55.5,0.0111706,greater than 129.9955
630.0,8.4,0.2286,71.3,0.00566229,between 120.191 and 125.721
10000.0,8.4,0.1016,39.6,0.014072,less than 120.191
8000.0,1.5,0.3048,71.3,0.007733001125,between 120.191 and 125.721
315.0,9.0,0.3048,71.3,0.00497773,between 120.191 and 125.721
8000.0,4.8,0.1016,71.3,0.00266337,greater than 129.9955
4000.0,7.3,0.1524,55.5,0.00172668,between 120.191 and 125.721
2000.0,2.4,0.1524,71.3,0.00202822,between 120.191 and 125.721
