frequency,angle_of_attack,chord_length,free_stream_velocity,displacement_thickness,sound_pressure
4000.0,8.9,0.1016,55.5,0.00909175,less than 120.191
630.0,3.0,0.2286,71.3,0.00614329,greater than 129.9955
200.0,0.0,0.3048,39.6,0.0229028,less than 120.191
1600.0,15.4,0.0254,39.6,0.0130253,between 125.721 and 129.9955
1000.0,12.6,0.2286,55.5,0.0111706,between 120.191 and 125.721
10000.0,3.3,0.1524,71.3,0.00146332,greater than 129.9955
3150.0,2.7,0.1524,71.3,0.00433288,between 120.191 and 125.721
630.0,9.5,0.0254,71.3,0.00461377,between 120.191 and 125.721
400.0,8.4,0.1524,55.5,0.00909175,between 125.721 and 129.9955
6300.0,12.7,0.1016,31.7,0.00578076,between 120.191 and 125.721
2500.0,4.0,0.1524,39.6,0.00392107,less than 120.191
2000.0,2.0,0.1016,55.5,0.00251435,between 120.191 and 125.721
315.0,12.3,0.1524,55.5,0.00495741,between 120.191 and 125.721
1600.0,7.2,0.2286,39.6,0.00544854,between 120.191 and 125.721
1250.0,7.2,0.1016,39.6,0.00579636,between 125.721 and 129.9955
630.0,14.4,0.1524,39.6,0.0163096,greater than 129.9955
6300.0,3.0,0.0508,71.3,0.00076193,between 120.191 and 125.721
4000.0,1.5,0.1524,71.3,0.00752039,between 120.191 and 125.721
315.0,7.2,0.1524,39.6,0.00544854,less than 120.191
6300.0,15.6,0.1016,39.6,0.0528487,between 120.191 and 125.721
800.0,2.0,0.0254,55.5,0.00131983,between 120.191 and 125.721
6300.0,9.9,0.1524,71.3,0.0193001,between 120.191 and 125.721
1250.0,14.4,0.2286,71.3,0.00752039,between 125.721 and 129.9955
3150.0,0.0,0.1524,39.6,0.00193287,greater than 129.9955
1250.0,1.5,0.2286,31.7,0.0027238,between 120.191 and 125.721
630.0,6.7,0.0254,55.5,0.00420654,greater than 129.9955
1600.0,8.4,0.1524,55.5,0.00529514,between 120.191 and 125.721
2500.0,0.0,0.1524,55.5,0.00346574,between 125.721 and 129.9955
1000.0,0.0,0.1524,71.3,0.00146332,greater than 129.9955
6300.0,0.0,0.1524,55.5,0.00202822,between 125.721 and 129.9955
1600.0,14.4,0.1524,71.3,0.0124596,less than 120.191
1250.0,15.4,0.1524,55.5,0.0111706,greater than 129.9955
630.0,0.0,0.1524,71.3,0.00193287,less than 120.191
4000.0,10.5,0.1524,71.3,0.00578076,greater than 129.9955
5000.0,5.4,0.1016,71.3,0.00752039,between 120.191 and 125.721
2000.0,8.9,0.0254,71.3,0.000873218,between 125.721 and 129.9955
