carat,cut,color,clarity,depth,table,x,y,z,price
0.3,Very Good,D,SI1,63.3,55.0,4.31,4.28,2.72,less than 950.0
1.02,Ideal,I,SI2,60.7,57.0,6.57,6.54,3.98,between 2401.0 and 5324.25
1.01,Premium,G,IF,61.3,58.0,6.48,6.4,3.95,greater than 5324.25
0.72,Ideal,J,SI2,61.7,55.0,5.77,5.81,3.57,between 950.0 and 2401.0
1.5,Good,F,SI2,64.1,55.0,7.15,7.11,4.57,greater than 5324.25
0.72,Ideal,F,SI1,61.7,55.0,5.74,5.77,3.55,between 2401.0 and 5324.25
0.31,Good,I,VS1,63.8,56.0,4.27,4.32,2.74,less than 950.0
1.74,Ideal,E,SI2,62.3,57.0,7.8,7.7,4.83,greater than 5324.25
0.3,Very Good,H,VS1,61.9,55.0,4.32,4.37,2.69,less than 950.0
0.4,Very Good,F,VS1,62.9,58.0,4.67,4.71,2.95,between 950.0 and 2401.0
0.53,Ideal,G,VVS2,61.7,54.5,5.2,5.26,3.23,between 950.0 and 2401.0
0.36,Ideal,F,VS1,62.5,57.0,4.53,4.56,2.84,less than 950.0
0.55,Very Good,F,VS2,62.1,55.4,5.25,5.27,3.26,between 950.0 and 2401.0
0.41,Very Good,G,SI1,62.4,56.0,4.75,4.77,2.97,less than 950.0
2.0,Premium,H,SI2,62.1,60.0,8.1,8.01,5.3,greater than 5324.25
0.41,Very Good,H,SI1,61.4,60.0,4.73,4.78,2.92,less than 950.0
