carat,cut,color,clarity,depth,table,x,y,z,price
1.16,Ideal,G,VS1,60.9,55.0,6.79,6.84,4.15,greater than 5324.25
0.92,Ideal,F,SI1,62.8,56.0,6.14,6.18,3.87,between 2401.0 and 5324.25
0.7,Ideal,E,VS1,62.3,54.0,5.67,5.71,3.54,between 2401.0 and 5324.25
1.13,Very Good,J,VS2,62.0,59.0,6.62,6.66,4.12,between 2401.0 and 5324.25
0.32,Very Good,E,SI1,63.5,56.0,4.38,4.34,2.77,less than 950.0
1.23,Ideal,I,SI2,62.1,56.0,6.84,6.88,4.26,between 2401.0 and 5324.25
0.82,Ideal,E,SI2,62.6,55.0,5.94,5.98,3.73,between 2401.0 and 5324.25
0.7,Ideal,F,SI1,61.4,57.0,5.67,5.69,3.49,between 2401.0 and 5324.25
0.34,Ideal,D,SI1,61.2,57.0,4.48,4.51,2.75,less than 950.0
0.7,Premium,E,SI1,62.4,60.0,5.72,5.63,3.54,between 950.0 and 2401.0
1.0,Good,E,VS2,63.7,56.0,6.37,6.34,4.05,greater than 5324.25
0.76,Premium,I,VS2,62.8,61.0,5.78,5.74,3.62,between 950.0 and 2401.0
0.7,Ideal,J,VS2,61.8,53.0,5.73,5.76,3.55,between 950.0 and 2401.0
1.55,Ideal,G,SI2,60.7,55.0,7.54,7.51,4.57,greater than 5324.25
0.3,Very Good,D,SI1,58.8,63.0,4.32,4.35,2.55,less than 950.0
0.32,Very Good,G,VS2,60.2,57.0,4.42,4.45,2.67,less than 950.0
1.7,Premium,G,VVS2,61.5,60.0,7.64,7.59,4.68,greater than 5324.25
0.26,Very Good,F,VVS2,62.6,56.0,4.09,4.11,2.56,less than 950.0
1.02,Ideal,I,SI1,62.9,57.0,6.41,6.37,4.02,between 2401.0 and 5324.25
0.71,Very Good,E,VS1,62.1,60.0,5.65,5.71,3.53,between 2401.0 and 5324.25
1.21,Very Good,D,VVS2,62.4,56.0,6.76,6.83,4.24,greater than 5324.25
0.72,Good,F,VS1,63.8,58.0,5.68,5.63,3.61,between 2401.0 and 5324.25
0.32,Ideal,F,VS1,61.6,57.0,4.39,4.42,2.71,less than 950.0
1.52,Very Good,J,VS2,63.3,56.0,7.33,7.27,4.62,greater than 5324.25
1.25,Ideal,I,SI1,61.0,56.0,6.97,7.02,4.27,greater than 5324.25
0.55,Ideal,G,VS1,60.9,55.0,5.29,5.32,3.23,between 950.0 and 2401.0
1.62,Premium,F,VS1,61.3,57.0,7.6,7.55,4.64,greater than 5324.25
0.31,Good,G,SI1,63.2,57.0,4.27,4.3,2.71,less than 950.0
1.03,Ideal,F,VVS2,62.0,56.0,6.48,6.45,4.01,greater than 5324.25
0.54,Premium,D,VS2,60.9,58.0,5.27,5.31,3.22,between 950.0 and 2401.0
0.53,Ideal,G,VVS2,61.8,58.0,5.18,5.2,3.21,between 950.0 and 2401.0
1.51,Good,I,SI1,63.7,58.0,7.26,7.22,4.61,greater than 5324.25
