carat,cut,color,clarity,depth,table,x,y,z,price
1.16,Ideal,G,VS1,60.9,55.0,6.79,6.84,4.15,greater than 5324.25
0.92,Ideal,F,SI1,62.8,56.0,6.14,6.18,3.87,between 2401.0 and 5324.25
0.7,Ideal,E,VS1,62.3,54.0,5.67,5.71,3.54,between 2401.0 and 5324.25
1.13,Very Good,J,VS2,62.0,59.0,6.62,6.66,4.12,between 2401.0 and 5324.25
0.32,Very Good,E,SI1,63.5,56.0,4.38,4.34,2.77,less than 950.0
1.23,Ideal,I,SI2,62.1,56.0,6.84,6.88,4.26,between 2401.0 and 5324.25
0.82,Ideal,E,SI2,62.6,55.0,5.94,5.98,3.73,between 2401.0 and 5324.25
0.7,Ideal,F,SI1,61.4,57.0,5.67,5.69,3.49,between 2401.0 and 5324.25
0.34,Ideal,D,SI1,61.2,57.0,4.48,4.51,2.75,less than 950.0
0.7,Premium,E,SI1,62.4,60.0,5.72,5.63,3.54,between 950.0 and 2401.0
1.0,Good,E,VS2,63.7,56.0,6.37,6.34,4.05,greater than 5324.25
0.76,Premium,I,VS2,62.8,61.0,5.78,5.74,3.62,between 950.0 and 2401.0
0.7,Ideal,J,VS2,61.8,53.0,5.73,5.76,3.55,between 950.0 and 2401.0
1.55,Ideal,G,SI2,60.7,55.0,7.54,7.51,4.57,greater than 5324.25
0.3,Very Good,D,SI1,58.8,63.0,4.32,4.35,2.55,less than 950.0
0.32,Very Good,G,VS2,60.2,57.0,4.42,4.45,2.67,less than 950.0
