age,height_cm,weight_kg,nationality_name,overall,potential,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,wage_eur
25,181,78,England,68,72,52,60,55,67,45,65,58,42,60,63,72,75,74,63,73,50,40,10,12,9,10,14,between 3000.0 and 8000.0
28,187,80,Germany,72,77,60,70,62,72,55,70,65,50,70,70,75,80,75,65,75,40,35,8,10,10,12,10,greater than 8000.0
20,179,75,France,63,70,50,55,50,60,40,60,55,45,55,60,70,75,70,60,70,45,40,9,11,9,11,9,between 3000.0 and 8000.0
29,186,82,Brazil,75,80,65,75,65,75,60,75,70,55,75,75,80,85,80,70,80,35,30,10,12,10,12,10,greater than 8000.0
24,184,79,Italy,70,75,60,65,60,70,55,70,65,50,70,70,75,80,75,65,75,40,35,9,11,9,11,9,between 3000.0 and 8000.0
26,185,80,Spain,71,76,61,66,61,71,56,71,66,51,71,71,76,81,76,66,76,45,40,10,12,10,12,10,greater than 8000.0
30,188,84,Argentina,76,81,66,71,66,76,61,76,71,56,76,76,81,86,81,71,81,40,35,8,10,10,12,10,greater than 8000.0
21,180,76,England,65,70,55,60,55,65,50,65,60,45,65,65,70,75,70,60,70,45,40,9,11,9,11,9,between 3000.0 and 8000.0
27,182,78,Germany,69,74,59,64,59,69,54,69,64,49,69,69,74,79,74,64,74,40,35,10,12,10,12,10,between 3000.0 and 8000.0
32,189,85,France,77,82,67,72,67,77,62,77,72,57,77,77,82,87,82,72,82,35,30,10,12,10,12,10,greater than 8000.0
23,183,79,Italy,68,73,60,65,60,68,55,68,65,50,68,68,75,80,75,65,75,45,40,9,11,9,11,9,between 3000.0 and 8000.0
19,178,74,England,62,67,55,58,55,62,50,62,60,45,62,62,70,75,70,60,70,50,45,10,12,10,12,10,between 1000.0 and 3000.0
31,187,83,Spain,75,80,65,70,65,75,60,75,70,55,75,75,80,85,80,70,80,40,35,8,10,10,12,10,greater than 8000.0
22,181,77,Argentina,66,71,58,62,58,66,53,66,63,48,66,66,74,79,74,63,74,45,40,9,11,9,11,9,between 3000.0 and 8000.0
25,184,80,Germany,70,75,61,66,61,70,56,70,66,51,70,70,76,81,76,66,76,40,35,10,12,10,12,10,between 3000.0 and 8000.0
28,186,82,France,73,78,63,68,63,73,59,73,68,54,73,73,79,84,79,69,79,35,30,10,12,10,12,10,greater than 8000.0
20,179,75,Italy,64,69,56,60,56,64,51,64,61,46,64,64,72,77,72,62,72,50,45,10,12,10,12,10,between 1000.0 and 3000.0
30,188,84,Spain,76,81,66,71,66,76,61,76,71,56,76,76,81,86,81,71,81,40,35,8,10,10,12,10,greater than 8000.0
24,183,79,England,69,74,60,65,60,69,55,69,65,50,69,69,75,80,75,65,75,45,40,9,11,9,11,9,between 3000.0 and 8000.0
26,185,81,Argentina,72,77,62,67,62,72,57,72,67,52,72,72,77,82,77,67,77,40,35,10,12,10,12,10,between 3000.0 and 8000.0
19,178,74,Germany,63,68,56,59,56,63,51,63,61,46,63,63,72,77,72,62,72,50,45,10,12,10,12,10,between 1000.0 and 3000.0
32,189,85,France,78,83,68,73,68,78,63,78,73,58,78,78,83,88,83,73,83,35,30,10,12,10,12,10,greater than 8000.0
27,182,78,Italy,70,75,61,66,61,70,56,70,66,51,70,70,76,81,76,66,76,40,35,9,11,9,11,9,between 3000.0 and 8000.0
23,181,77,Spain,67,72,59,63,59,67,54,67,63,49,67,67,74,79,74,64,74,45,40,10,12,10,12,10,between 3000.0 and 8000.0
25,184,80,England,71,76,63,68,63,71,59,71,68,54,71,71,77,82,77,69,77,40,35,8,10,10,12,10,greater than 8000.0
28,186,82,Germany,74,79,65,70,65,74,61,74,70,56,74,74,80,85,80,70,80,35,30,10,12,10,12,10,greater than 8000.0
20,179,75,France,65,70,57,61,57,65,52,65,62,47,65,65,73,78,73,63,73,50,45,10,12,10,12,10,between 1000.0 and 3000.0
31,187,83,Italy,76,81,67,72,67,76,63,76,72,58,76,76,82,87,82,72,82,40,35,8,10,10,12,10,greater than 8000.0
22,180,76,Argentina,68,73,61,65,61,68,57,68,65,52,68,68,75,80,75,65,75,45,40,9,11,9,11,9,between 3000.0 and 8000.0
30,188,84,Spain,77,82,68,73,68,77,64,77,73,59,77,77,83,88,83,73,83,35,30,10,12,10,12,10,greater than 8000.0
24,183,79,Germany,70,75,62,67,62,70,59,70,67,54,70,70,77,82,77,67,77,40,35,10,12,10,12,10,between 3000.0 and 8000.0
19,178,74,England,64,69,58,62,58,64,53,64,62,48,64,64,73,78,73,63,73,50,45,10,12,10,12,10,between 1000.0 and 3000.0
