age,height_cm,weight_kg,nationality_name,overall,potential,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,wage_eur
20,175,67,New Zealand,63,78,54,57,44,60,48,64,50,48,56,62,72,70,74,56,80,38,35,8,11,9,10,12,between 1000.0 and 3000.0
27,180,69,Germany,69,71,62,35,59,66,40,60,55,45,62,65,70,75,78,63,85,55,58,10,14,11,13,8,between 3000.0 and 8000.0
28,176,68,Portugal,68,70,58,42,51,63,38,59,42,40,57,64,65,60,68,60,75,50,52,7,12,10,12,14,between 3000.0 and 8000.0
22,184,76,France,64,74,49,32,56,62,29,52,36,30,53,60,65,65,70,58,70,60,62,6,9,7,8,7,between 1000.0 and 3000.0
29,173,66,Spain,66,69,60,53,46,61,51,63,50,49,60,65,75,80,80,59,82,48,49,15,16,12,14,6,between 3000.0 and 8000.0
32,181,73,Brazil,70,75,65,38,63,68,35,61,44,41,60,66,70,70,75,66,80,62,65,8,13,9,11,12,between 3000.0 and 8000.0
25,177,69,Mexico,67,72,56,36,54,64,33,58,40,39,56,63,65,60,65,60,70,55,58,7,10,8,9,10,less than 1000.0
26,186,78,Argentina,71,79,62,42,66,70,37,64,48,45,63,70,75,75,80,70,85,65,68,12,14,10,12,14,greater than 8000.0
30,179,72,England,65,68,55,39,59,65,34,59,45,43,59,65,70,65,70,65,75,60,62,7,11,9,10,12,between 1000.0 and 3000.0
23,183,77,Colombia,68,73,61,41,60,67,36,62,46,44,61,66,70,70,75,65,75,58,60,10,13,10,12,8,between 3000.0 and 8000.0
20,174,65,United States,62,76,53,35,50,60,30,55,40,35,55,62,65,65,70,55,70,50,52,8,12,8,9,11,less than 1000.0
24,180,70,China PR,63,69,54,38,55,63,32,57,45,42,58,64,65,60,65,60,70,55,58,7,10,8,9,10,less than 1000.0
28,189,80,Germany,70,77,66,43,65,70,38,65,48,46,62,68,75,75,80,70,80,62,65,12,14,10,12,14,between 3000.0 and 8000.0
31,178,72,Spain,69,74,63,41,60,67,37,62,46,44,60,66,70,65,70,65,75,60,62,7,11,9,10,12,between 1000.0 and 3000.0
22,185,78,Switzerland,68,75,64,44,62,68,36,63,47,45,61,67,70,70,75,65,80,60,62,10,13,10,12,14,between 3000.0 and 8000.0
26,182,75,India,66,72,59,40,59,65,34,59,43,41,58,64,65,60,65,60,70,55,58,8,11,8,9,11,less than 1000.0
30,188,81,France,72,80,68,45,66,71,39,66,49,47,63,69,75,75,80,70,85,65,68,12,14,10,12,14,greater than 8000.0
25,179,71,Portugal,68,73,61,42,61,67,37,62,46,44,60,66,70,65,70,65,75,60,62,7,11,9,10,12,between 1000.0 and 3000.0
29,184,79,Germany,70,78,66,44,65,70,38,65,48,46,62,68,75,75,80,70,80,62,65,10,14,10,12,14,between 3000.0 and 8000.0
24,183,77,Argentina,71,79,67,46,68,72,40,67,50,49,64,70,75,75,80,70,85,65,68,12,14,10,12,14,greater than 8000.0
27,186,80,Spain,72,80,70,48,70,73,42,69,52,50,65,71,75,75,80,70,85,65,68,8,13,9,11,14,between 3000.0 and 8000.0
20,175,68,United States,63,76,56,39,56,62,33,58,43,40,57,63,65,60,65,60,70,55,58,10,12,9,10,12,between 1000.0 and 3000.0
31,189,82,Germany,73,81,71,49,71,74,43,70,53,51,66,72,75,75,80,70,85,65,68,12,14,10,12,14,greater than 8000.0
28,187,81,Portugal,72,79,69,47,69,72,41,69,50,49,64,70,75,75,80,70,85,65,68,10,14,10,12,14,between 3000.0 and 8000.0
26,185,79,Brazil,71,78,67,45,67,70,39,67,48,46,62,68,75,75,80,70,80,62,65,12,14,10,12,14,between 3000.0 and 8000.0
22,184,78,Colombia,68,75,63,42,63,67,36,63,45,43,60,66,70,70,75,65,80,60,62,8,12,9,10,12,between 1000.0 and 3000.0
30,190,83,England,74,82,72,50,72,74,44,71,52,51,65,71,75,75,80,70,85,65,68,12,14,10,12,14,greater than 8000.0
25,188,82,France,72,80,70,48,70,72,42,69,50,49,64,70,75,75,80,70,85,65,68,10,14,10,12,14,between 3000.0 and 8000.0
29,191,84,Spain,73,81,71,49,71,73,43,70,53,51,66,72,75,75,80,70,85,65,68,12,14,10,12,14,greater than 8000.0
24,187,80,Portugal,71,79,68,46,68,71,40,68,49,47,63,69,75,75,80,70,85,65,68,10,14,10,12,14,between 3000.0 and 8000.0
27,189,83,Germany,72,80,69,47,69,72,41,69,50,49,64,70,75,75,80,70,85,65,68,12,14,10,12,14,greater than 8000.0
20,176,69,United States,64,77,60,43,61,66,35,61,45,42,59,65,65,60,65,60,70,55,58,8,12,9,10,12,between 1000.0 and 3000.0
