school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
GP,M,17.002254,U,GT3,T,1.9977032,2.0439544,at_home,other,course,other,1.9972439,1.0025687,1.0311375,no,no,no,no,no,yes,yes,no,3.0096762,2.0028205,2.995446,0.99026835,2.0414011,3.9964776,3.905206,between 10.0 and 12.0
MS,M,18.00396,U,GT3,T,2.0098217,3.0128741,at_home,other,home,mother,3.0152414,0.99814004,-0.00017357914,no,no,no,no,yes,yes,yes,no,3.9960666,1.9837313,2.02195,0.9898369,0.9813865,4.988908,4.0045304,between 12.0 and 14.0
MS,F,18.006145,R,GT3,T,2.0151818,3.0044065,at_home,teacher,course,father,2.9643135,1.0007442,-0.0005846008,no,yes,no,yes,yes,yes,yes,yes,3.0133934,1.9964279,2.0270977,1.0059664,0.990394,4.001876,2.0282958,greater than 14.0
MS,M,18.004175,R,GT3,T,0.9827273,0.98883146,services,other,course,mother,3.0126562,0.99753046,-0.00050278346,no,no,no,yes,yes,yes,no,no,3.997559,3.0055048,3.006275,0.99615955,1.0159178,1.9971395,2.0120978,greater than 14.0
GP,F,17.005978,U,GT3,T,3.9875598,2.013779,at_home,services,home,mother,0.9989831,1.0042988,-0.00022058527,no,yes,no,no,yes,yes,yes,no,4.9896894,2.0026283,4.998739,0.993026,2.037854,5.0209765,4.0951242,between 10.0 and 12.0
GP,M,18.021597,R,GT3,T,1.9842905,2.0070267,services,other,course,mother,1.020463,0.9976074,-0.00035571994,no,yes,no,no,yes,yes,yes,no,3.9890285,4.002571,3.9904313,0.99249727,1.0126839,3.9896681,0.002023424,between 10.0 and 12.0
MS,F,18.000067,U,GT3,T,3.990669,3.020685,at_home,services,course,father,1.9950268,1.0015795,1.0311476,no,yes,no,no,yes,yes,yes,no,5.0045915,2.0118902,2.9705608,1.0004056,1.9867337,1.9698589,4.0688124,between 10.0 and 12.0
GP,M,17.000668,U,GT3,T,3.0074842,3.0099852,services,at_home,reputation,mother,1.994279,1.0008975,-0.0019898019,no,yes,no,no,yes,yes,yes,no,3.9953651,4.017,0.976378,1.000645,3.9888349,4.003585,6.0107403,between 10.0 and 12.0
GP,M,17.000866,R,GT3,T,1.9971465,1.9789081,services,other,other,father,3.009562,1.9961218,0.0014500155,no,yes,no,no,yes,yes,yes,no,3.0041635,1.9918314,5.0317855,5.014996,1.9990302,5.006042,1.9902499,greater than 14.0
GP,M,17.001213,U,GT3,T,2.0056047,2.9764376,health,other,home,father,1.0041332,0.99909973,-4.5489287e-05,no,yes,no,no,yes,yes,yes,yes,4.9986763,2.0137172,3.9927993,1.0026232,1.9895386,1.9670295,5.957058,between 12.0 and 14.0
MS,F,14.922859,R,GT3,T,4.0053315,2.0021622,at_home,teacher,reputation,mother,1.9855417,0.9892271,-0.00014222844,no,yes,no,no,yes,yes,yes,no,2.9764154,2.0235555,2.9861393,4.127696,1.9924039,0.93019587,-0.012044887,between 10.0 and 12.0
GP,M,18.005463,R,GT3,T,0.99235266,0.98865044,other,other,course,mother,2.98263,1.0016527,-0.0010083851,no,yes,no,no,yes,yes,yes,no,5.0367913,3.0034742,0.9943498,3.017409,4.0046177,4.030274,3.9989676,between 10.0 and 12.0
GP,M,18.936888,U,GT3,T,4.0063787,4.010566,at_home,at_home,reputation,other,0.99585104,0.9919189,-0.00027027354,no,yes,no,no,yes,yes,yes,no,5.0050416,4.007782,2.9949744,2.0070117,3.0294309,4.005795,1.9820322,between 10.0 and 12.0
GP,M,18.931826,U,GT3,T,2.0066762,2.004827,at_home,other,other,mother,2.9593363,1.9898369,-0.0020942069,no,no,no,no,yes,yes,yes,no,4.0000443,2.9972537,5.0306764,1.0039183,3.0327091,4.0162315,3.9395568,greater than 14.0
MS,M,18.00707,U,LE3,T,3.0088181,1.9968066,services,other,home,mother,3.0418055,0.9996033,0.0016397168,no,yes,no,no,yes,yes,yes,no,3.9925885,4.014199,3.010231,3.02379,4.006635,5.003786,-0.0112030655,between 10.0 and 12.0
MS,F,18.011911,R,GT3,A,3.9823658,3.002699,at_home,other,course,mother,1.005834,0.9967967,4.456844e-05,no,yes,no,no,yes,yes,yes,no,4.0061517,1.967239,3.997343,4.1596527,3.9971068,1.0422188,7.0034513,greater than 14.0
