school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
GP,F,17.007906,U,LE3,T,3.9987338,2.0052352,teacher,other,reputation,mother,1.0003885,4.02387,1.0025631,no,yes,no,no,yes,yes,yes,no,5.0051003,4.0139403,2.990582,1.0053068,0.9878365,5.0088716,-0.023156947,greater than 14.0
GP,F,17.009775,U,GT3,T,3.044036,2.0066237,at_home,other,home,mother,0.99970996,2.9955404,0.0005926234,no,yes,no,no,yes,yes,no,no,3.0027773,5.0092936,3.9902492,1.0035301,2.986175,4.048109,7.158431,between 10.0 and 12.0
MS,F,16.985544,R,GT3,T,3.007196,3.04131,other,other,course,mother,0.9996237,1.9952112,3.492937e-05,no,no,no,no,yes,yes,yes,no,3.0004523,3.002101,4.011754,5.0456605,4.981986,5.010731,1.0409064,between 10.0 and 12.0
GP,F,17.990528,U,GT3,T,3.9813266,3.015663,at_home,other,course,mother,2.0063684,2.0015624,-2.9625604e-05,no,no,no,yes,no,yes,yes,yes,3.0081506,5.003875,4.0257797,3.1366408,2.9943485,5.02132,1.059794,between 12.0 and 14.0
GP,F,18.013695,U,GT3,T,2.999255,2.0077274,at_home,other,home,mother,2.0447578,2.9965892,1.0280044,no,yes,no,yes,yes,yes,no,no,4.0067663,4.0104895,2.9893258,3.9578547,3.0003266,5.007717,1.0160636,between 10.0 and 12.0
MS,M,17.01949,U,GT3,T,3.9942253,4.008037,teacher,other,home,mother,2.0753493,3.0195603,0.0010213231,no,yes,no,yes,yes,yes,no,no,1.9761659,5.0240793,4.42725,3.0050335,3.0291345,5.008419,7.9157977,between 12.0 and 14.0
GP,F,17.994198,U,LE3,T,2.030099,2.0091205,health,other,home,mother,2.2540162,3.0257242,1.0026475,yes,yes,no,yes,yes,yes,yes,no,1.9918953,4.008196,5.009546,3.0010576,5.0160003,5.00104,-0.010417347,between 10.0 and 12.0
GP,M,17.008644,U,LE3,T,1.0170531,1.9929333,services,other,home,mother,2.109404,3.9438128,1.1228236,no,yes,no,yes,yes,yes,yes,no,5.0063424,1.9954021,2.9852521,3.1383321,0.99851704,4.999395,-0.009708803,between 10.0 and 12.0
GP,F,16.994644,U,GT3,T,4.0089536,1.9987545,teacher,other,course,mother,1.4082521,4.000268,0.00076188415,no,yes,no,yes,yes,yes,yes,no,2.617958,1.9914329,4.9818425,1.0005862,2.029441,4.0043616,-0.021444272,greater than 14.0
GP,F,16.994282,U,GT3,T,4.0095725,3.0188396,teacher,other,reputation,mother,2.4271774,1.9864626,-0.00029224166,no,yes,no,yes,yes,yes,yes,no,3.992969,4.010214,1.9698188,0.9906693,0.982557,3.9963124,-0.053076044,greater than 14.0
GP,F,18.002083,R,GT3,T,3.0053425,2.0045233,other,other,home,mother,1.0007174,3.9975393,0.00036428473,no,yes,no,yes,no,yes,yes,no,2.9956462,3.9971275,3.00126,0.99402833,0.9929327,2.008272,4.1988797,between 12.0 and 14.0
GP,M,18.006998,U,GT3,T,3.9930813,2.9869525,at_home,other,course,mother,0.61816514,3.022862,0.003431116,no,yes,no,no,yes,yes,no,no,1.9623625,4.994635,3.996681,1.0162464,5.006903,0.954693,0.9688071,between 12.0 and 14.0
GP,F,14.994063,U,GT3,T,2.9973192,0.98701596,other,services,reputation,mother,1.0023282,1.999735,0.00093861844,yes,no,no,yes,yes,yes,yes,no,5.0166826,4.010208,3.987103,1.0017725,1.0064714,5.0005784,-0.08996479,between 12.0 and 14.0
GP,F,14.982645,U,GT3,T,1.0043508,0.9818076,at_home,other,course,mother,2.0135317,1.9965333,0.007633682,no,yes,no,no,yes,yes,yes,no,3.0028727,1.007131,5.023356,0.99966854,5.050368,0.9841019,1.8778203,between 10.0 and 12.0
GP,F,17.022207,U,LE3,T,3.9946518,3.0109174,health,services,course,mother,1.000158,3.0182648,1.2352937,no,no,no,yes,yes,yes,no,yes,3.012454,3.0219493,4.0147758,1.0057614,1.9927562,5.006959,0.96391416,between 12.0 and 14.0
GP,F,17.015778,R,GT3,T,0.9943003,3.0171392,health,other,reputation,mother,1.002214,2.0023117,-0.003261688,no,yes,no,no,yes,yes,yes,yes,4.0063148,4.008496,1.9507619,1.9553703,3.0248895,2.0049639,2.0198345,between 10.0 and 12.0
