school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
GP,M,18.012701,U,GT3,T,3.0097609,2.0009172,other,at_home,home,mother,1.0019855,1.9907618,-0.0037830668,no,yes,no,yes,yes,no,yes,no,5.0663824,2.9828424,4.000462,1.0007778,4.007256,3.9974623,0.018902749,between 12.0 and 14.0
GP,M,17.002407,U,GT3,T,3.9979258,2.0118637,teacher,teacher,reputation,mother,0.99897486,2.0122533,0.0012296119,no,yes,no,yes,yes,yes,yes,no,3.9954064,4.003081,3.976599,0.41479352,4.0377555,5.005478,16.419012,between 10.0 and 12.0
MS,M,17.01836,R,GT3,T,3.9972665,4.012353,teacher,services,reputation,mother,1.0049181,1.0023463,1.3973056,no,yes,no,yes,yes,yes,yes,no,4.9814734,4.011875,3.0123086,1.9831407,2.9943726,3.9812257,5.9491515,less than 10.0
MS,M,14.986251,R,GT3,T,1.0059024,1.003224,at_home,other,reputation,other,2.0006475,2.0075781,1.0428462,no,yes,no,yes,yes,no,yes,no,4.002847,4.0127444,0.98730814,2.0062299,0.9624965,4.029486,0.020539913,between 10.0 and 12.0
MS,M,15.976401,R,GT3,T,3.986616,4.0049863,teacher,services,course,father,2.0101876,2.0044298,0.0023040662,no,yes,no,no,yes,yes,yes,no,4.9685826,4.016379,3.993787,1.0037234,0.988652,0.9829343,6.0844684,between 10.0 and 12.0
GP,M,15.011554,R,GT3,T,4.002865,2.0194983,teacher,services,reputation,mother,2.9962206,1.0046698,-0.008984787,no,yes,no,no,yes,yes,yes,no,4.003069,1.9593087,4.9545984,2.0089803,3.9842253,1.073988,4.1685247,greater than 14.0
GP,F,14.998856,U,GT3,T,0.99242425,1.9877193,at_home,other,home,mother,1.0048157,2.00635,-0.00078960974,no,yes,no,yes,yes,yes,yes,yes,5.033984,3.003286,2.0349193,0.99104375,0.9877953,2.9905295,-0.00014708191,between 12.0 and 14.0
MS,F,19.017635,R,GT3,T,2.0019422,2.0028493,other,services,home,mother,2.002336,2.0106905,1.1068753,no,yes,no,yes,yes,yes,yes,no,4.000552,4.006624,3.9935741,2.0289671,3.9966576,4.995657,6.0878654,between 10.0 and 12.0
MS,M,17.992298,R,GT3,T,3.0107312,1.9953272,other,other,course,mother,2.001897,2.999535,1.0895509,no,yes,no,yes,yes,yes,yes,no,3.9971793,3.0161574,5.013713,1.0022689,2.9787467,3.0024984,8.517432,between 10.0 and 12.0
GP,F,14.984298,U,GT3,T,0.998613,0.9871428,other,other,course,other,1.9999247,1.0009506,-0.006301019,no,yes,no,yes,yes,yes,yes,yes,2.0605235,4.0164046,1.0188802,0.9993722,1.005662,3.9933856,3.9744444,between 12.0 and 14.0
MS,M,17.98176,R,GT3,T,1.01163,0.9990515,at_home,at_home,home,mother,2.0054352,0.99720114,-0.00029420137,no,no,no,yes,yes,no,yes,no,3.0074177,2.99168,1.0204622,0.99946237,1.0023357,3.002654,-0.02442182,between 12.0 and 14.0
GP,M,14.985142,U,GT3,T,4.010593,4.0177884,teacher,teacher,reputation,mother,0.9959994,3.9211495,-2.982351e-05,yes,yes,no,yes,yes,yes,yes,no,5.005083,2.0046365,2.009204,0.98862064,0.99726933,3.990717,4.021618,greater than 14.0
MS,F,17.996918,R,GT3,T,2.0106328,1.997109,other,at_home,home,mother,1.0015492,1.9966266,1.2828234,no,yes,no,yes,yes,no,yes,no,4.0178614,4.0264707,3.0060718,1.9790927,0.9794389,4.006129,0.02200848,between 10.0 and 12.0
GP,M,15.01572,U,GT3,T,3.00228,3.005282,health,other,reputation,mother,0.99843043,2.0110984,0.0012992297,no,yes,no,yes,yes,yes,yes,no,5.0028353,1.0560212,0.99894786,1.0004915,0.9905839,1.0062282,6.0504956,greater than 14.0
MS,M,17.995287,R,GT3,T,0.9701636,1.0024065,health,other,home,mother,0.9968819,1.0026846,1.0585928,no,yes,no,yes,yes,no,yes,no,2.0124128,3.9979534,3.9796083,0.9932777,2.9996707,2.984053,3.980197,between 12.0 and 14.0
