age,height_cm,weight_kg,nationality_name,overall,potential,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,wage_eur
28,188,77,Korea Republic,63,63,46,48,66,61,34,47,44,33,55,45,62,63,64,55,59,63,61,15,14,12,14,11,between 1000.0 and 3000.0
31,191,85,Australia,62,62,55,32,51,48,24,43,48,24,51,47,45,50,51,53,33,65,62,7,6,14,15,12,less than 1000.0
31,174,72,Belgium,66,66,64,54,53,62,54,66,62,59,59,66,72,68,71,62,76,64,64,12,16,6,14,6,between 3000.0 and 8000.0
18,180,68,Ecuador,54,74,49,43,39,49,47,60,49,37,37,55,70,75,70,38,70,22,26,7,12,11,10,13,less than 1000.0
20,175,76,China PR,51,68,38,42,32,44,40,55,43,39,45,57,71,70,70,51,73,30,34,7,13,12,8,10,between 1000.0 and 3000.0
31,169,61,Scotland,73,73,73,56,42,75,72,71,76,71,79,76,68,53,91,72,92,56,55,6,9,10,8,12,between 3000.0 and 8000.0
24,181,72,Argentina,72,76,60,32,74,70,29,52,29,35,50,58,60,62,55,69,47,72,73,13,14,10,5,9,greater than 8000.0
20,184,76,Cameroon,55,72,13,7,11,26,5,8,10,12,18,11,18,15,32,42,41,10,14,59,55,46,49,59,between 1000.0 and 3000.0
20,174,64,United States,67,81,60,61,40,69,53,72,64,60,65,70,78,72,84,57,77,51,46,15,14,11,11,5,between 3000.0 and 8000.0
28,174,68,Germany,67,67,57,32,54,68,48,60,58,53,64,66,41,35,68,68,72,64,64,7,14,10,12,12,between 3000.0 and 8000.0
35,182,74,Venezuela,66,66,66,64,71,63,63,65,65,59,61,65,53,66,71,68,66,25,26,12,8,13,9,10,between 1000.0 and 3000.0
31,189,80,Romania,61,61,12,10,13,26,8,13,16,12,28,18,56,55,26,73,34,15,14,59,54,58,53,67,between 1000.0 and 3000.0
27,182,68,Portugal,73,74,65,31,70,68,37,66,49,59,62,65,78,79,72,69,71,77,74,7,9,7,10,12,greater than 8000.0
22,200,85,France,67,72,43,41,65,67,38,56,42,41,59,65,49,44,45,63,35,68,64,6,10,10,15,14,between 1000.0 and 3000.0
18,173,69,Colombia,54,74,44,52,52,53,33,50,33,28,35,55,76,74,70,52,79,16,14,12,6,13,8,8,less than 1000.0
27,192,74,Hungary,66,67,52,21,63,62,27,29,22,31,53,54,53,72,39,63,50,66,67,13,11,10,13,8,between 3000.0 and 8000.0
22,185,76,Spain,69,77,65,36,68,63,37,59,42,40,38,63,65,53,45,74,54,75,72,10,12,11,12,8,greater than 8000.0
25,176,67,Mexico,65,70,63,31,53,62,33,55,36,40,63,65,65,54,67,61,67,64,64,5,7,14,13,12,greater than 8000.0
29,191,80,Romania,63,63,50,64,65,58,64,59,48,49,52,64,54,55,54,55,34,40,42,12,5,14,9,6,between 3000.0 and 8000.0
26,185,78,Portugal,72,77,13,9,10,16,9,18,14,12,29,25,45,43,55,71,59,14,14,72,71,67,71,73,greater than 8000.0
19,179,68,India,57,68,48,34,43,51,26,51,46,35,50,52,72,74,68,47,70,53,50,7,10,7,6,11,less than 1000.0
22,183,78,Switzerland,58,66,57,28,56,52,35,54,41,29,48,54,70,67,64,49,59,57,57,8,9,7,9,7,between 1000.0 and 3000.0
26,173,67,Spain,68,71,67,53,51,63,53,68,56,55,62,69,77,77,78,61,78,65,62,14,7,12,10,14,between 3000.0 and 8000.0
18,185,75,Spain,63,79,60,67,41,59,50,66,51,42,61,67,63,69,58,59,65,30,33,9,12,12,8,8,less than 1000.0
20,173,67,Spain,62,77,60,52,33,61,53,71,49,44,51,62,75,75,78,47,81,33,30,8,13,6,8,14,between 1000.0 and 3000.0
20,175,65,Ukraine,54,64,47,52,47,56,42,58,50,45,51,57,66,67,66,53,78,32,37,7,13,9,11,11,less than 1000.0
25,173,68,Germany,73,76,75,63,37,76,60,75,76,72,74,76,75,53,88,70,88,65,62,8,12,13,11,14,greater than 8000.0
32,169,70,Republic of Ireland,64,64,69,62,40,67,62,64,69,69,62,65,60,57,75,66,90,56,46,15,16,6,12,7,between 3000.0 and 8000.0
22,193,87,Germany,60,71,34,26,64,50,27,28,31,25,47,44,58,59,56,53,43,65,57,7,12,6,6,8,less than 1000.0
29,168,64,New Zealand,69,69,60,64,31,64,66,70,72,64,62,70,88,89,86,62,88,47,45,8,8,7,9,12,between 3000.0 and 8000.0
24,179,69,Brazil,67,76,49,37,56,68,38,65,44,46,59,73,69,68,74,72,75,66,61,6,12,12,9,8,between 1000.0 and 3000.0
36,185,79,England,62,62,47,23,61,58,17,46,59,26,56,52,39,37,46,60,53,60,59,7,14,8,11,15,between 1000.0 and 3000.0
