city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,total
Sao Paulo,20.0,1,1,0,0,accept,not furnished,0.0,between 2061.75 and 3581.5
Porto Alegre,75.0,3,1,1,1,accept,not furnished,360.0,less than 2061.75
Belo Horizonte,200.0,3,2,2,0,accept,not furnished,0.0,greater than 6768.0
Sao Paulo,80.0,3,2,1,6,accept,not furnished,850.0,between 2061.75 and 3581.5
Sao Paulo,277.0,2,3,4,19,accept,not furnished,5295.0,greater than 6768.0
Rio de Janeiro,170.0,4,2,2,6,accept,not furnished,2420.0,greater than 6768.0
Campinas,40.0,1,2,1,7,accept,not furnished,550.0,less than 2061.75
Rio de Janeiro,300.0,4,3,2,5,not accept,furnished,2500.0,greater than 6768.0
Campinas,100.0,2,1,0,16,accept,not furnished,550.0,less than 2061.75
Sao Paulo,162.0,3,3,2,4,accept,not furnished,1756.0,greater than 6768.0
Sao Paulo,108.0,3,2,2,7,accept,not furnished,1290.0,greater than 6768.0
Sao Paulo,60.0,2,2,1,14,not accept,not furnished,460.0,between 2061.75 and 3581.5
Sao Paulo,50.0,2,1,1,5,accept,not furnished,650.0,less than 2061.75
Rio de Janeiro,56.0,2,2,0,1,not accept,furnished,610.0,between 2061.75 and 3581.5
Sao Paulo,32.0,1,1,1,14,not accept,furnished,2000.0,between 3581.5 and 6768.0
Sao Paulo,150.0,3,2,1,7,accept,furnished,1843.0,greater than 6768.0
