Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,G,RS
MON,NL,1995.0997,851.79956,70.62909,0.34855604,0.42740315,0.26180738,-0.00021226404,162.00906,greater than 775.0
CHW,AL,1971.6625,702.9617,83.546104,0.343981,0.38574758,0.26303127,-6.412229e-05,161.9983,greater than 775.0
PIT,NL,1988.5603,780.2423,84.809845,0.3346721,0.4228503,0.2693848,0.0005300729,162.65404,greater than 775.0
NYM,NL,1984.3218,615.98016,81.32162,0.31818646,0.3886867,0.25344923,0.001936756,161.99728,between 711.0 and 775.0
TBD,AL,1990.976,662.65515,79.22294,0.31340936,0.37919956,0.2531283,-0.0012326501,162.0086,between 652.0 and 711.0
BAL,AL,2007.1456,832.26245,88.67488,0.33873513,0.46474606,0.2695135,1.0949143,162.00452,greater than 775.0
MON,NL,1994.5212,788.04724,76.73034,0.32636392,0.39374122,0.26133177,0.0018067135,161.99942,between 711.0 and 775.0
CLE,AL,1971.3942,761.31586,77.21462,0.33773813,0.4116001,0.2622943,0.0011255329,161.99814,greater than 775.0
MIN,AL,1981.8953,583.8586,91.33205,0.32992092,0.3921726,0.2671101,0.98994005,162.00403,between 711.0 and 775.0
TEX,AL,2009.1543,857.1086,58.838917,0.30509576,0.37554127,0.24516185,-0.00020063303,161.00221,between 652.0 and 711.0
SFG,NL,2001.6311,876.062,72.47434,0.3255284,0.40985337,0.2507378,-0.00026188183,161.01338,between 711.0 and 775.0
STL,NL,1970.909,735.4888,70.46928,0.30741587,0.3852416,0.24838306,0.0012759899,161.00824,less than 652.0
KCR,AL,1965.2262,662.72485,74.972374,0.30963418,0.36156666,0.25111803,0.00064025854,161.00652,less than 652.0
CAL,AL,1975.7649,749.9015,69.68372,0.32084972,0.37786806,0.25879753,-0.00032881132,162.00117,between 652.0 and 711.0
OAK,AL,1997.2802,820.55225,69.99185,0.31354278,0.40986678,0.26503092,-0.00014644944,160.98018,between 711.0 and 775.0
LAD,AL,1998.041,720.52875,94.640854,0.3566718,0.46839005,0.2812735,1.0036879,161.99973,greater than 775.0
TEX,AL,2009.2518,826.23474,55.443913,0.31314132,0.36142546,0.2431976,0.00053564727,162.00069,less than 652.0
WSN,NL,1972.771,779.12885,72.30736,0.32463846,0.38100874,0.25122237,-0.00017156637,161.99731,between 652.0 and 711.0
NYM,AL,2007.5088,642.5599,100.70001,0.34003934,0.44283822,0.27840933,1.0430765,162.0046,greater than 775.0
PHI,NL,1995.4915,635.3861,96.63263,0.33170545,0.40857568,0.2611974,0.9966296,162.00237,between 711.0 and 775.0
BOS,AL,1980.3928,579.1751,83.44606,0.3196741,0.39578164,0.24777034,0.00046473293,162.00168,between 652.0 and 711.0
HOU,NL,1977.3695,725.61316,73.21736,0.32770357,0.38477528,0.2685922,0.0007510481,161.99963,between 711.0 and 775.0
STL,NL,1979.1213,682.9871,88.24017,0.32326806,0.38491988,0.2578894,0.0021697697,162.00223,between 711.0 and 775.0
BOS,AL,1981.2817,584.74585,78.11682,0.3195586,0.38263705,0.27202824,0.0025168338,161.99545,between 652.0 and 711.0
SEA,NL,2000.3981,849.85144,55.04524,0.324876,0.36635673,0.24873371,0.00038191455,160.99707,between 652.0 and 711.0
TEX,AL,1991.4604,835.93805,74.03042,0.33626267,0.4121641,0.26389712,0.0007179185,161.99669,greater than 775.0
CLE,NL,1984.1768,576.2301,88.97079,0.31576726,0.37936708,0.2603776,1.0004866,161.00269,less than 652.0
SDP,NL,2011.6783,806.7609,71.63939,0.3215301,0.4119989,0.2579204,0.0004741872,161.99788,between 711.0 and 775.0
PHI,NL,2001.5134,875.70966,90.88198,0.35814512,0.4616279,0.27795994,1.0023539,162.00475,greater than 775.0
PHI,NL,1986.5895,751.1691,79.90349,0.33567983,0.4200236,0.27116,0.0024911254,160.99512,between 711.0 and 775.0
FLA,NL,2006.522,856.45905,63.28443,0.31741574,0.38771608,0.2594706,0.00020795502,162.00195,between 652.0 and 711.0
MIL,AL,2000.8491,655.07153,104.57682,0.3440185,0.46785122,0.26956147,0.9998951,162.89742,greater than 775.0
NYM,NL,1989.9592,595.8417,85.18183,0.3090542,0.35395294,0.254634,-0.00021820619,161.9965,less than 652.0
NYY,AL,1969.5299,643.6799,76.031906,0.31276342,0.3622475,0.26382643,0.0006843929,162.00519,less than 652.0
TBD,AL,2010.251,876.42163,56.89765,0.30549303,0.3633483,0.23413558,-1.0014919e-05,162.00528,less than 652.0
PIT,NL,1963.3932,769.04474,59.857853,0.30175507,0.33274737,0.2529941,0.0005232727,161.01372,less than 652.0
NYY,AL,1984.0521,659.78876,87.436,0.3398729,0.43114838,0.27277866,1.0944208,162.00494,greater than 775.0
TBD,NL,2007.7499,770.4696,94.072815,0.34734404,0.47656566,0.2786682,1.0037216,162.0023,greater than 775.0
CAL,AL,1965.0709,682.82336,68.513466,0.30784076,0.35170808,0.25134075,-0.0029026736,160.99567,less than 652.0
CAL,AL,2007.8776,765.9901,82.21834,0.33549917,0.42102784,0.26211947,-0.0009045502,162.00075,between 711.0 and 775.0
SFG,NL,1999.1151,676.90344,79.54273,0.31958756,0.3778616,0.25483704,0.00062069064,160.99959,between 652.0 and 711.0
OAK,AL,2009.5992,814.90674,72.34559,0.33193296,0.40335995,0.2597171,0.00035234168,162.00665,between 711.0 and 775.0
DET,AL,1986.7833,731.3418,74.4253,0.31737447,0.3599296,0.24316798,0.0014746832,162.00497,less than 652.0
TOR,AL,2011.835,822.1364,77.70294,0.33131206,0.4401868,0.25866398,0.0006413399,161.99803,between 711.0 and 775.0
NYY,NL,1974.7318,580.9091,84.112526,0.3196839,0.36484006,0.25035387,-0.000528921,161.00781,less than 652.0
NYM,AL,1981.6675,682.9962,83.20062,0.31626162,0.38209248,0.24149133,-0.0011218094,162.00082,between 652.0 and 711.0
LAD,NL,2001.4728,697.23663,89.444626,0.34334815,0.42061862,0.27744085,0.99615943,162.00389,between 711.0 and 775.0
BAL,AL,2001.245,689.67596,86.572136,0.33042097,0.40729788,0.27103752,-0.0011855029,162.00517,between 711.0 and 775.0
BAL,AL,1991.4805,830.9098,73.72534,0.33347267,0.42047653,0.27969965,0.00026961038,162.00433,between 711.0 and 775.0
NYY,AL,2001.8774,833.2105,70.458595,0.32734984,0.40424532,0.2633383,1.7725804e-05,161.00192,between 711.0 and 775.0
CAL,AL,2007.7225,816.8385,57.287865,0.31660482,0.37401173,0.24667066,0.0004969613,162.00047,between 652.0 and 711.0
LAA,AL,1975.8094,608.8497,96.11781,0.3389518,0.42070562,0.27999046,1.0008136,162.00069,greater than 775.0
COL,NL,2006.0848,885.0522,69.72149,0.33915922,0.4328478,0.26335692,-0.00012860188,161.99422,greater than 775.0
KCA,AL,1984.7535,731.3869,80.99449,0.33030674,0.41033104,0.25474867,0.00014164526,162.00592,between 711.0 and 775.0
BAL,AL,1995.6278,755.9311,81.49824,0.32825863,0.41635513,0.258422,-0.0008899853,162.00337,between 711.0 and 775.0
SFG,NL,2009.3739,846.25806,64.995964,0.31632203,0.39364597,0.25164738,0.0005960856,161.00838,between 652.0 and 711.0
CHC,NL,1973.7592,699.6703,86.776245,0.33715978,0.4351609,0.27058834,-0.0018362665,161.99928,between 711.0 and 775.0
PHI,NL,1984.5731,675.76807,87.83756,0.33068374,0.41381747,0.27257612,0.00223747,162.00284,between 711.0 and 775.0
HOU,NL,1990.8381,759.3602,79.43634,0.33352444,0.4147488,0.26524442,-0.0001577211,162.00273,between 711.0 and 775.0
DET,AL,2003.5288,885.4234,84.627884,0.3557987,0.46607643,0.290344,-0.00034540388,162.00163,greater than 775.0
CLE,AL,1997.3356,831.17267,79.3483,0.33358365,0.42564702,0.26443052,-0.0015452935,162.00838,between 711.0 and 775.0
ATL,NL,1968.5044,677.1776,85.53637,0.3363944,0.41457778,0.26301914,0.002741676,162.00362,between 711.0 and 775.0
LAD,NL,1974.3082,673.6149,79.32175,0.30965313,0.36887082,0.2472786,0.0013416526,162.00359,less than 652.0
