Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,G,RS
OAK,NL,1982.6566,578.2237,90.47925,0.33216077,0.41210797,0.25823662,0.9997648,161.99992,between 711.0 and 775.0
CHC,NL,2011.3662,737.3791,80.786804,0.3245038,0.42768747,0.2700644,-0.000536645,161.00853,between 711.0 and 775.0
ARI,NL,1975.7302,669.4744,78.04749,0.32332188,0.39668334,0.25311315,0.00024435145,161.99632,between 711.0 and 775.0
STL,NL,1970.0654,736.8081,73.09883,0.32583705,0.3927415,0.24641344,0.0003148783,161.99832,between 652.0 and 711.0
PHI,NL,1995.9915,695.9413,72.59802,0.30630735,0.3864797,0.26005536,-0.00016888004,162.00136,between 652.0 and 711.0
WSA,AL,1973.3707,776.45807,77.35097,0.33010054,0.39647406,0.2696771,-0.0003815167,161.99934,between 711.0 and 775.0
TOR,NL,1972.8949,758.77936,66.88478,0.31615204,0.38431275,0.25644177,-0.00088874483,162.0016,less than 652.0
ARI,NL,1981.5099,622.43427,87.9389,0.31123006,0.35054323,0.24864876,0.8058639,161.99715,between 652.0 and 711.0
CIN,AL,1970.5265,712.1711,84.46919,0.35001278,0.42272043,0.27056643,0.00018639443,162.00778,between 711.0 and 775.0
SEA,NL,1986.5143,767.8326,89.67256,0.35690454,0.4260327,0.2755451,0.0030472511,161.00299,greater than 775.0
CAL,AL,1996.3387,736.2326,87.78802,0.33389413,0.45001325,0.26860228,1.000414,161.9992,greater than 775.0
STL,AL,2004.416,839.55896,78.819084,0.34700352,0.43324217,0.2769937,0.0008544016,162.00166,between 711.0 and 775.0
SFG,NL,1979.1082,756.26227,77.01923,0.32919407,0.40351382,0.2685659,0.0004039032,161.99237,between 652.0 and 711.0
ARI,NL,1989.9092,653.9732,86.804634,0.32460868,0.38248125,0.2613095,0.002527974,162.00172,between 711.0 and 775.0
KCR,AL,1973.5765,687.78723,93.64854,0.34105602,0.4362027,0.27447766,1.178218,162.00174,greater than 775.0
CHC,AL,1965.3495,639.2396,65.20956,0.29329643,0.3321233,0.23625447,0.0012919205,162.00061,less than 652.0
SEA,AL,1999.2524,824.1173,75.64028,0.34100246,0.42772803,0.2649825,-0.0005993607,161.00137,between 711.0 and 775.0
MIL,NL,1972.0477,746.3463,64.864975,0.31173018,0.3765174,0.24670775,0.00026852108,161.00655,between 652.0 and 711.0
LAA,NL,1978.9323,703.8852,82.97974,0.34122783,0.3901997,0.25926402,-0.00051713386,160.96103,between 711.0 and 775.0
LAD,NL,1976.3807,708.97455,85.393036,0.34475315,0.42707115,0.27994373,1.0086154,161.99481,between 711.0 and 775.0
KCR,AL,1962.6357,588.5705,70.92081,0.30316353,0.32771415,0.23990107,0.00038653857,161.99841,less than 652.0
NYM,NL,2003.2786,667.18616,95.65,0.34374183,0.45634356,0.2774519,0.99982196,162.0046,greater than 775.0
PHI,NL,1996.6241,764.91376,63.98676,0.30960014,0.37598222,0.24709345,0.000109246525,161.99905,less than 652.0
CAL,AL,1976.581,757.5337,66.447136,0.32669804,0.37888083,0.24624144,-0.0005840099,162.0026,between 652.0 and 711.0
SFG,NL,2001.4865,707.3233,80.89928,0.33304113,0.40061882,0.26038766,0.00043065986,162.00433,between 711.0 and 775.0
NYY,AL,1969.8287,604.6086,90.336525,0.32307428,0.3797215,0.24379733,0.00057603494,162.00482,between 652.0 and 711.0
CHW,AL,2001.9868,717.08636,81.75136,0.33381194,0.42136174,0.26904237,0.00028794428,162.00014,greater than 775.0
DET,AL,1966.8982,635.0267,76.91023,0.30372733,0.33664784,0.23725465,-0.0016129357,162.01295,less than 652.0
NYM,AL,2010.1525,758.3951,62.188824,0.29174477,0.36103046,0.23533343,-0.00021403283,161.9996,less than 652.0
SDP,AL,1998.4698,691.5547,98.83165,0.33785698,0.40985993,0.2725639,1.0007565,161.99731,between 711.0 and 775.0
COL,NL,1994.1719,750.1411,87.43742,0.33538756,0.4429964,0.2693664,-0.00055108,161.9987,greater than 775.0
SFG,NL,2003.4006,731.20575,86.981285,0.33510572,0.40289345,0.26972595,-0.00027501804,161.9998,between 711.0 and 775.0
LAD,NL,1984.6378,781.0532,80.183754,0.3332354,0.4226062,0.26180533,-0.00024736775,162.011,between 652.0 and 711.0
TOR,NL,1985.8058,689.9734,51.418537,0.29442963,0.32554725,0.21455282,-0.0002542379,162.00633,less than 652.0
COL,NL,1963.0255,778.6463,58.523434,0.27980307,0.33165058,0.22503765,-0.00026981015,161.0014,less than 652.0
SEA,NL,1980.8657,771.5246,72.77113,0.32740405,0.420882,0.25350624,-0.00053402944,162.006,between 711.0 and 775.0
CHW,AL,2011.4603,710.94006,86.05102,0.34257242,0.43011618,0.2788868,0.0042973743,162.00594,greater than 775.0
OAK,NL,1978.7877,719.30994,61.35455,0.3046701,0.34352493,0.24069872,0.0004978131,161.9997,between 652.0 and 711.0
BAL,AL,1996.2859,700.9775,84.67029,0.33148673,0.3982461,0.2580001,2.7370872e-05,162.00063,between 652.0 and 711.0
TEX,AL,1982.2222,692.5213,75.08079,0.32712275,0.36160797,0.2580562,0.00018253067,162.00087,between 652.0 and 711.0
MIL,NL,1963.2336,667.63226,71.432816,0.28902438,0.32706982,0.22236897,0.0012623395,162.00302,less than 652.0
KCR,NL,1968.5532,609.9788,78.36364,0.31121638,0.35626468,0.24856699,0.00028929272,162.00076,less than 652.0
WSA,NL,1975.066,601.9044,92.49859,0.33489254,0.40612516,0.2712838,-0.00032923522,161.99991,between 711.0 and 775.0
SDP,NL,1990.7454,770.0618,86.17662,0.3418642,0.44996238,0.27318668,1.0066793,162.00246,between 711.0 and 775.0
