Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,G,RS
CAL,AL,1997.0463,800.0361,86.96395,0.35011932,0.4406822,0.2760705,1.1724337,162.0014,greater than 775.0
CHW,AL,1980.2281,681.1938,89.16756,0.34376612,0.41945824,0.27787653,0.0006144006,162.00569,greater than 775.0
SDP,NL,1978.343,743.2211,95.076515,0.33335182,0.40612715,0.26718837,1.0042499,161.99948,greater than 775.0
BAL,AL,1978.6819,601.3483,71.989914,0.29751834,0.3350487,0.24446018,-0.0005551678,162.01245,less than 652.0
DET,AL,1971.9503,538.9146,78.4393,0.3030502,0.35123533,0.2414266,0.00061775045,162.97388,less than 652.0
TOR,AL,2001.2194,734.179,81.10078,0.34021592,0.42229784,0.27471974,0.0013284903,162.0071,greater than 775.0
WSA,AL,2012.2231,532.16113,104.70012,0.31848842,0.4092301,0.25120515,1.1725863,161.99854,greater than 775.0
MIN,NL,1966.0966,484.70917,91.660965,0.28512087,0.31456468,0.22350027,0.00035688386,162.00117,less than 652.0
CIN,NL,2009.1809,829.4286,69.8934,0.3269037,0.40100002,0.26500502,0.00014516892,162.00052,between 652.0 and 711.0
SFG,AL,1990.4648,602.4427,84.932556,0.3154294,0.35256627,0.24543612,-0.00014042547,162.00345,less than 652.0
NYY,AL,2009.5416,920.4528,52.324135,0.30719355,0.37650493,0.24808249,0.0020755874,162.00714,less than 652.0
MIN,AL,1980.774,556.239,92.07204,0.32444206,0.38132662,0.2625848,1.0039884,161.99345,between 652.0 and 711.0
HOU,NL,1972.6995,640.61615,98.73895,0.34809622,0.42472574,0.28007394,1.0063705,161.99866,between 711.0 and 775.0
OAK,AL,2005.3369,750.1654,81.61489,0.33098447,0.4232599,0.26270673,0.0007082323,162.00253,between 711.0 and 775.0
MON,NL,2009.7186,815.1522,72.692696,0.32368577,0.43327227,0.26495078,0.00016521022,161.99973,greater than 775.0
KCR,AL,1976.9061,694.47504,79.95641,0.31988356,0.38469112,0.2711486,0.00282605,162.0021,between 652.0 and 711.0
COL,NL,1967.0255,612.9746,74.11338,0.3026535,0.36486712,0.24739687,-9.690653e-05,161.995,less than 652.0
MON,NL,1989.1492,756.8997,84.75733,0.33250418,0.4101511,0.26488787,0.00029722485,160.999,between 711.0 and 775.0
MIL,NL,1968.3547,609.92053,86.03243,0.31184313,0.390194,0.25411195,-0.0013623383,163.00612,between 652.0 and 711.0
NYY,AL,2008.4658,931.8982,59.69727,0.33322275,0.4120921,0.26455215,0.00053190993,161.99838,greater than 775.0
STL,NL,1974.0897,744.3938,87.400566,0.32879952,0.40859777,0.267606,0.00017039361,162.00124,between 652.0 and 711.0
TEX,AL,1964.2274,469.97415,90.59263,0.2985315,0.33877242,0.23869678,0.00023727317,162.00354,less than 652.0
BOS,AL,2006.3291,679.3886,104.877594,0.3449355,0.46544546,0.2760481,0.99034864,162.00526,greater than 775.0
WSA,NL,1975.4517,701.54004,89.72057,0.32855126,0.39642552,0.26392746,0.00021001196,163.01477,between 652.0 and 711.0
OAK,NL,1995.7142,826.1379,87.78775,0.3531261,0.4545545,0.27976796,1.0096226,162.00876,greater than 775.0
OAK,NL,1979.0881,743.9447,68.885216,0.32610175,0.40054312,0.2641265,0.0004149041,161.47295,between 652.0 and 711.0
CIN,NL,1990.4742,663.81476,76.27959,0.3063187,0.37441355,0.24689427,1.7479237e-05,161.00212,less than 652.0
NYM,NL,2003.9598,802.0614,63.916855,0.32298112,0.392557,0.25269297,0.0013367508,161.99637,between 652.0 and 711.0
PIT,NL,1984.1794,750.44324,71.18074,0.31540275,0.39017925,0.26398948,0.000777132,162.98677,between 652.0 and 711.0
CAL,AL,1971.7677,443.8128,86.60798,0.29511338,0.33377877,0.2363308,3.141511e-05,161.01857,less than 652.0
PIT,NL,2009.2885,740.97565,92.25024,0.33507976,0.41892767,0.2679582,0.9459153,161.99974,between 711.0 and 775.0
LAA,NL,1995.7047,791.2855,83.367676,0.3370834,0.43540463,0.25987858,0.00029623532,162.00584,greater than 775.0
NYY,AL,1994.0228,669.00696,96.55913,0.346616,0.44293824,0.27994454,1.3729775,161.99638,greater than 775.0
OAK,NL,1996.9468,702.2246,90.80048,0.34732223,0.4545238,0.27783415,1.0037044,162.00491,greater than 775.0
OAK,AL,1997.9532,669.23145,85.75872,0.32215464,0.41958454,0.2572403,-0.00082108245,162.00186,between 711.0 and 775.0
COL,NL,1998.2668,755.0859,82.70089,0.32293603,0.41396853,0.25721505,0.0004839857,161.00531,between 711.0 and 775.0
TEX,AL,1982.3507,887.8528,58.867435,0.32378063,0.36249432,0.25089782,0.00204499,163.01547,less than 652.0
CIN,NL,1964.6776,532.5672,97.461266,0.32079166,0.38131225,0.26199314,0.94558054,161.37637,between 652.0 and 711.0
CAL,AL,1981.797,640.80145,91.72432,0.32413658,0.3820952,0.26381543,0.000611721,162.00917,between 652.0 and 711.0
WSA,AL,1982.9762,600.65515,79.51427,0.31633896,0.3668021,0.24914692,-0.00042069738,162.9914,less than 652.0
LAD,NL,2001.8524,807.6203,72.67028,0.33917224,0.4372793,0.2729499,0.0016640896,161.99588,between 711.0 and 775.0
ATL,NL,1979.4186,824.3073,72.36193,0.33682638,0.39313293,0.26120064,0.0003925609,161.9979,between 711.0 and 775.0
MON,NL,1980.8645,604.4613,86.249016,0.3295995,0.3639071,0.26421806,0.00016870734,161.02373,less than 652.0
COL,NL,1963.6135,627.51825,90.99773,0.31125146,0.36922383,0.2518059,8.4972475e-05,161.9977,between 652.0 and 711.0
HOU,NL,1988.8323,758.05145,53.618454,0.30173972,0.3362436,0.2402606,-0.00020309165,160.97958,less than 652.0
LAA,NL,1968.5374,611.4901,76.820404,0.30224207,0.33242804,0.24185185,-4.2553118e-05,161.99564,less than 652.0
SDP,NL,1971.6517,625.4845,99.04714,0.34408054,0.42743412,0.2724969,0.8196857,161.99696,greater than 775.0
SEP,NL,1994.6014,831.47424,69.32555,0.33793038,0.41253778,0.27464792,1.3421522e-06,162.00232,between 711.0 and 775.0
ATL,NL,1991.7445,746.0674,80.82783,0.32162613,0.39587662,0.25124392,0.0017760408,161.99837,between 711.0 and 775.0
PHI,NL,1969.237,812.09265,62.44684,0.31225014,0.37848052,0.2478625,0.00075292436,161.02002,between 652.0 and 711.0
CAL,AL,1979.9827,710.9118,87.49468,0.33339196,0.3946493,0.2632995,0.0018146998,161.0039,between 652.0 and 711.0
COL,NL,1967.3676,779.0543,82.793594,0.3376776,0.4022123,0.26730433,0.00074092427,161.00394,between 711.0 and 775.0
OAK,NL,1969.538,727.0945,72.94687,0.3299528,0.39663246,0.25592983,0.00040730764,163.00314,between 652.0 and 711.0
TBR,AL,2003.7394,826.47626,69.873535,0.33099428,0.3979178,0.25136596,6.491839e-05,162.00081,between 711.0 and 775.0
CIN,NL,2002.5176,944.86285,69.37323,0.34986818,0.44252706,0.2827348,0.002062722,162.00269,greater than 775.0
CHC,NL,1980.3235,613.8426,94.85427,0.3228875,0.37580556,0.25837892,1.0024285,162.99565,between 652.0 and 711.0
COL,NL,2007.6697,743.2008,70.00895,0.3002342,0.37475008,0.23956646,0.0014172262,162.00804,less than 652.0
NYM,NL,1973.9187,614.6296,76.04398,0.30758458,0.3815735,0.25296625,-0.0006110859,162.00012,between 652.0 and 711.0
ANA,NL,1972.7051,690.2989,79.63477,0.3202112,0.3866326,0.2670467,0.00076430815,160.98758,between 652.0 and 711.0
CAL,AL,2011.298,900.2153,86.56467,0.3413356,0.46607864,0.27539137,-0.0005551358,162.00287,greater than 775.0
TOR,AL,1974.583,676.4546,85.43634,0.33549246,0.39714044,0.26955667,-0.0005519731,161.01599,between 711.0 and 775.0
HOU,AL,1984.6769,631.49664,88.78246,0.33670658,0.39710534,0.25324488,-0.00019405186,161.00452,between 711.0 and 775.0
STL,NL,2010.0758,811.88055,85.88333,0.32655445,0.4321651,0.27144116,-0.00011595331,161.99773,greater than 775.0
CHW,AL,2006.0394,690.4677,94.975945,0.34571648,0.43521574,0.26446977,1.1729386,162.00533,greater than 775.0
HOU,NL,1978.7167,766.1273,82.58064,0.34601164,0.40621516,0.27691078,0.00049186574,161.00485,greater than 775.0
FLA,NL,1963.9037,736.9786,75.577484,0.32179245,0.41048005,0.2583379,-0.0008576884,160.988,between 652.0 and 711.0
BOS,AL,1981.8054,703.4266,116.47482,0.36518127,0.44513094,0.28191918,1.3724319,161.99629,greater than 775.0
SFG,NL,1990.4689,803.78455,77.05242,0.34041864,0.40346834,0.2719498,0.00023519411,161.9986,between 711.0 and 775.0
MIL,AL,1992.8666,625.23773,92.00051,0.32928297,0.4006133,0.27233818,1.3733072,161.99884,greater than 775.0
