fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.1,0.29,0.41,5.6,0.038,48.0,162.0,0.9945,3.17,0.48,10.8,greater than 6.0
6.9,0.22,0.35,7.4,0.04,51.0,141.0,0.9929,3.24,0.46,11.1,greater than 6.0
7.4,0.31,0.58,10.3,0.036,55.0,168.0,0.9968,3.14,0.5,9.9,greater than 6.0
6.7,0.27,0.32,4.9,0.046,46.0,159.0,0.9933,3.21,0.52,10.6,greater than 6.0
7.6,0.25,0.48,12.1,0.033,62.0,189.0,0.9973,3.09,0.44,9.4,greater than 6.0
6.3,0.24,0.29,6.2,0.039,42.0,153.0,0.9919,3.26,0.49,11.3,greater than 6.0
7.8,0.2,0.56,9.5,0.042,60.0,183.0,0.9982,3.05,0.41,9.6,greater than 6.0
6.6,0.3,0.38,5.1,0.037,50.0,165.0,0.9941,3.18,0.47,10.9,greater than 6.0
7.3,0.28,0.42,8.5,0.041,58.0,179.0,0.9965,3.11,0.45,9.7,greater than 6.0
6.5,0.26,0.31,7.7,0.045,54.0,171.0,0.9936,3.22,0.5,10.4,greater than 6.0
7.9,0.23,0.55,11.9,0.034,61.0,191.0,0.9985,3.07,0.43,9.3,greater than 6.0
6.4,0.25,0.28,4.4,0.038,45.0,158.0,0.9925,3.25,0.48,11.2,greater than 6.0
7.7,0.29,0.52,10.9,0.036,59.0,185.0,0.9978,3.08,0.42,9.5,greater than 6.0
6.8,0.27,0.36,6.5,0.042,52.0,169.0,0.9943,3.19,0.49,10.7,greater than 6.0
7.5,0.22,0.51,9.1,0.039,57.0,181.0,0.9972,3.1,0.45,9.8,greater than 6.0
6.2,0.3,0.33,5.8,0.041,49.0,163.0,0.9928,3.23,0.47,10.9,greater than 6.0
7.1,0.25,0.43,8.1,0.038,53.0,173.0,0.9955,3.12,0.46,10.3,greater than 6.0
7.3,0.28,0.49,11.4,0.034,60.0,190.0,0.9979,3.06,0.42,9.4,greater than 6.0
6.9,0.24,0.39,7.2,0.045,55.0,175.0,0.9947,3.17,0.49,10.6,greater than 6.0
7.6,0.26,0.54,10.5,0.036,58.0,184.0,0.9981,3.08,0.44,9.6,greater than 6.0
6.7,0.29,0.32,5.5,0.039,48.0,161.0,0.9939,3.21,0.48,10.8,greater than 6.0
7.8,0.23,0.56,12.3,0.033,62.0,192.0,0.9986,3.05,0.41,9.3,greater than 6.0
6.4,0.27,0.29,4.7,0.038,43.0,155.0,0.9926,3.25,0.5,11.1,greater than 6.0
7.4,0.3,0.46,9.6,0.041,59.0,187.0,0.9975,3.09,0.45,9.7,greater than 6.0
6.6,0.25,0.38,6.3,0.042,51.0,168.0,0.9942,3.19,0.49,10.5,greater than 6.0
7.2,0.28,0.51,10.1,0.036,57.0,182.0,0.9973,3.07,0.43,9.6,greater than 6.0
6.3,0.26,0.31,5.2,0.039,46.0,160.0,0.9931,3.22,0.48,10.9,greater than 6.0
7.7,0.24,0.55,11.7,0.034,61.0,191.0,0.9984,3.06,0.42,9.4,greater than 6.0
6.8,0.27,0.36,6.6,0.041,53.0,172.0,0.9945,3.18,0.49,10.7,greater than 6.0
7.5,0.29,0.52,10.8,0.036,58.0,185.0,0.9978,3.08,0.45,9.5,greater than 6.0
6.5,0.25,0.33,5.9,0.038,49.0,164.0,0.9937,3.2,0.5,10.8,greater than 6.0
7.1,0.28,0.43,8.3,0.039,54.0,174.0,0.9957,3.12,0.46,10.4,greater than 6.0
