fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.42,0.31,0.33,4.8,0.039,23.0,149.0,0.9934,3.15,0.47,10.6,between 5.0 and 6.0
6.82,0.25,0.29,8.1,0.048,38.0,162.0,0.9951,3.23,0.51,9.4,greater than 6.0
6.51,0.22,0.28,6.9,0.041,45.0,186.0,0.9949,3.19,0.46,10.3,greater than 6.0
7.18,0.34,0.32,3.1,0.032,11.0,93.0,0.9915,3.14,0.42,11.5,between 5.0 and 6.0
6.39,0.27,0.31,14.4,0.052,55.0,197.0,0.9982,3.29,0.49,10.2,greater than 6.0
7.63,0.29,0.35,1.8,0.044,26.0,117.0,0.9928,3.22,0.45,9.8,between 5.0 and 6.0
6.94,0.24,0.27,11.6,0.047,40.0,169.0,0.9955,3.17,0.55,10.6,greater than 6.0
6.28,0.26,0.3,5.6,0.038,22.0,101.0,0.9904,3.3,0.48,11.2,between 5.0 and 6.0
7.81,0.2,0.39,7.8,0.05,48.0,192.0,0.9971,3.26,0.38,10.4,greater than 6.0
6.66,0.19,0.25,15.3,0.056,34.0,154.0,0.9991,3.21,0.52,9.3,between 5.0 and 6.0
7.39,0.35,0.23,2.4,0.043,21.0,91.0,0.9926,3.11,0.44,11.8,greater than 6.0
6.87,0.21,0.36,6.6,0.053,50.0,185.0,0.9964,3.09,0.59,10.1,greater than 6.0
7.24,0.23,0.31,8.4,0.039,35.0,151.0,0.9947,3.2,0.42,10.9,between 5.0 and 6.0
7.58,0.18,0.42,4.2,0.046,17.0,83.0,0.9919,3.07,0.51,9.9,greater than 6.0
6.65,0.3,0.29,12.8,0.049,39.0,165.0,0.9985,3.24,0.46,10.5,greater than 6.0
6.72,0.25,0.33,3.9,0.036,26.0,114.0,0.9921,3.16,0.4,11.6,between 5.0 and 6.0
6.45,0.22,0.26,10.7,0.043,44.0,177.0,0.9962,3.18,0.54,10.3,greater than 6.0
8.02,0.28,0.4,1.6,0.033,10.0,65.0,0.9935,3.04,0.43,10.7,between 5.0 and 6.0
6.54,0.38,0.24,6.3,0.051,23.0,105.0,0.9912,3.27,0.48,10.8,greater than 6.0
7.01,0.24,0.32,5.5,0.05,30.0,124.0,0.9939,3.1,0.52,11.1,greater than 6.0
6.89,0.32,0.3,9.9,0.04,42.0,171.0,0.9958,3.15,0.44,10.4,between 5.0 and 6.0
7.73,0.17,0.37,1.3,0.045,15.0,81.0,0.9925,3.13,0.49,10.6,greater than 6.0
6.19,0.29,0.22,12.9,0.042,38.0,159.0,0.9988,3.22,0.45,10.5,greater than 6.0
7.55,0.2,0.38,7.7,0.054,46.0,189.0,0.9973,3.28,0.51,10.2,greater than 6.0
6.97,0.31,0.29,11.2,0.041,29.0,128.0,0.9943,3.19,0.55,9.7,between 5.0 and 6.0
7.67,0.26,0.25,4.8,0.052,24.0,108.0,0.9929,3.12,0.4,10.8,greater than 6.0
7.38,0.22,0.39,6.4,0.036,22.0,95.0,0.9922,3.24,0.46,11.4,greater than 6.0
6.49,0.34,0.27,9.5,0.048,36.0,152.0,0.9956,3.16,0.48,10.9,between 5.0 and 6.0
8.15,0.27,0.41,1.9,0.04,11.0,69.0,0.9945,3.09,0.43,10.6,greater than 6.0
7.85,0.24,0.35,3.3,0.051,26.0,112.0,0.9931,3.14,0.48,10.2,between 5.0 and 6.0
6.29,0.21,0.3,12.1,0.038,43.0,173.0,0.9994,3.25,0.53,9.9,greater than 6.0
7.34,0.3,0.26,8.2,0.046,35.0,149.0,0.9953,3.21,0.43,10.8,greater than 6.0
6.93,0.25,0.34,5.9,0.044,24.0,106.0,0.9927,3.13,0.47,11.3,between 5.0 and 6.0
7.96,0.19,0.42,7.1,0.05,48.0,191.0,0.9975,3.27,0.51,9.9,greater than 6.0
7.13,0.29,0.28,11.8,0.047,38.0,163.0,0.9968,3.18,0.46,10.7,between 5.0 and 6.0
6.74,0.24,0.39,3.5,0.041,20.0,96.0,0.9917,3.1,0.42,10.9,between 5.0 and 6.0
6.46,0.31,0.25,9.2,0.053,41.0,168.0,0.9981,3.23,0.51,9.5,greater than 6.0
7.52,0.22,0.38,1.4,0.043,16.0,82.0,0.9929,3.08,0.48,10.3,greater than 6.0
7.79,0.26,0.29,7.3,0.05,45.0,184.0,0.9972,3.24,0.49,9.6,between 5.0 and 6.0
6.88,0.2,0.32,11.5,0.039,32.0,139.0,0.9952,3.17,0.52,10.1,greater than 6.0
7.41,0.28,0.36,5.6,0.049,23.0,103.0,0.9934,3.14,0.45,10.6,greater than 6.0
8.07,0.21,0.37,2.2,0.046,18.0,90.0,0.9924,3.11,0.44,10.8,between 5.0 and 6.0
7.22,0.18,0.41,7.9,0.047,42.0,172.0,0.9965,3.26,0.51,9.7,greater than 6.0
7.66,0.3,0.28,10.3,0.046,38.0,161.0,0.9959,3.2,0.43,10.3,greater than 6.0
6.95,0.25,0.24,6.8,0.043,28.0,123.0,0.9936,3.16,0.49,10.9,between 5.0 and 6.0
7.49,0.27,0.32,9.4,0.048,36.0,153.0,0.9961,3.22,0.45,10.4,greater than 6.0
7.11,0.33,0.27,4.3,0.052,21.0,99.0,0.9921,3.1,0.46,11.2,between 5.0 and 6.0
7.62,0.29,0.39,7.5,0.047,39.0,165.0,0.9967,3.25,0.52,9.6,greater than 6.0
7.35,0.24,0.3,11.9,0.04,43.0,176.0,0.9983,3.2,0.48,9.7,greater than 6.0
7.8,0.27,0.33,3.6,0.051,24.0,107.0,0.9933,3.14,0.46,10.9,between 5.0 and 6.0
6.69,0.21,0.36,9.1,0.041,35.0,149.0,0.9955,3.19,0.49,10.3,greater than 6.0
7.05,0.26,0.29,5.2,0.046,26.0,115.0,0.9938,3.12,0.44,10.7,between 5.0 and 6.0
7.44,0.23,0.38,10.8,0.048,40.0,168.0,0.9976,3.26,0.49,10.1,greater than 6.0
6.58,0.28,0.27,8.8,0.037,38.0,158.0,0.9957,3.21,0.48,9.9,between 5.0 and 6.0
7.27,0.3,0.34,4.9,0.049,20.0,97.0,0.9928,3.13,0.45,11.1,between 5.0 and 6.0
7.81,0.25,0.42,6.7,0.047,46.0,187.0,0.9978,3.29,0.54,9.5,greater than 6.0
7.14,0.2,0.31,11.4,0.055,33.0,145.0,0.9963,3.23,0.46,10.8,between 5.0 and 6.0
7.87,0.29,0.3,3.2,0.051,22.0,104.0,0.9935,3.1,0.44,10.4,greater than 6.0
6.79,0.32,0.35,10.5,0.043,43.0,174.0,0.9986,3.24,0.51,9.6,greater than 6.0
7.39,0.23,0.36,9.6,0.046,37.0,155.0,0.9966,3.2,0.45,10.5,between 5.0 and 6.0
6.56,0.18,0.42,5.8,0.051,25.0,111.0,0.9926,3.15,0.48,11.2,between 5.0 and 6.0
7.69,0.26,0.29,8.3,0.048,41.0,169.0,0.9973,3.25,0.49,10.1,greater than 6.0
7.29,0.27,0.38,4.4,0.047,24.0,108.0,0.9939,3.14,0.45,11.1,between 5.0 and 6.0
7.54,0.22,0.34,11.6,0.043,38.0,162.0,0.9969,3.22,0.46,10.6,between 5.0 and 6.0
7.15,0.33,0.25,9.8,0.049,36.0,154.0,0.9954,3.19,0.47,10.7,greater than 6.0
8.04,0.28,0.42,2.3,0.043,19.0,94.0,0.9932,3.09,0.44,10.9,between 5.0 and 6.0
7.46,0.24,0.36,6.2,0.041,30.0,132.0,0.9945,3.18,0.5,10.4,greater than 6.0
6.99,0.21,0.32,11.7,0.053,44.0,179.0,0.9984,3.29,0.49,9.8,greater than 6.0
7.63,0.26,0.37,5.4,0.046,27.0,118.0,0.9942,3.16,0.46,10.8,between 5.0 and 6.0
7.51,0.29,0.33,5.6,0.042,29.0,139.0,0.9945,3.24,0.51,10.9,greater than 6.0
6.8,0.24,0.28,3.4,0.038,21.0,103.0,0.9921,3.14,0.44,11.5,greater than 6.0
6.4,0.26,0.32,6.8,0.046,44.0,165.0,0.9963,3.29,0.49,10.2,greater than 6.0
7.3,0.22,0.35,2.1,0.033,18.0,92.0,0.9909,3.07,0.36,12.1,greater than 6.0
