fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
6.51,0.31,0.35,7.4,0.039,43.0,191.0,0.9942,3.19,0.59,10.4,greater than 6.0
7.29,0.26,0.28,3.9,0.051,35.0,204.0,0.9919,3.14,0.42,11.7,greater than 6.0
6.74,0.22,0.39,10.3,0.046,48.0,163.0,0.9961,3.27,0.51,9.9,between 5.0 and 6.0
5.96,0.65,0.25,5.6,0.035,22.0,130.0,0.9903,3.45,0.49,12.9,greater than 6.0
7.08,0.24,0.32,8.6,0.055,26.0,94.0,0.99564,3.29,0.47,9.8,greater than 6.0
6.57,0.4,0.29,2.7,0.138,16.0,96.0,0.99342,3.18,0.6,9.5,between 5.0 and 6.0
6.31,0.21,0.3,11.9,0.049,50.0,149.0,0.99489,3.22,0.39,10.8,between 5.0 and 6.0
6.63,0.33,0.27,10.8,0.042,38.0,147.0,0.99635,3.24,0.48,10.0,between 5.0 and 6.0
7.92,0.18,0.33,1.7,0.054,47.0,151.0,0.99485,3.29,0.76,9.6,greater than 6.0
6.59,0.39,0.15,4.7,0.045,25.0,79.0,0.99315,3.11,0.38,10.2,greater than 6.0
7.22,0.25,0.35,1.2,0.046,4.0,65.0,0.99131,3.23,0.51,11.4,between 5.0 and 6.0
7.42,0.34,0.26,15.7,0.05,67.0,211.0,0.9991,3.06,0.69,9.5,between 5.0 and 6.0
6.29,0.3,0.29,3.4,0.038,33.0,141.0,0.98952,3.17,0.36,12.8,greater than 6.0
6.21,0.36,0.05,1.3,0.061,24.0,109.0,0.99343,3.26,0.54,9.2,between 5.0 and 6.0
6.91,0.41,0.37,8.9,0.054,37.0,149.0,0.99602,3.16,0.51,9.3,between 5.0 and 6.0
6.52,0.37,0.32,4.2,0.062,21.0,135.0,0.99479,3.18,0.46,9.0,greater than 6.0
6.71,0.13,0.31,5.3,0.049,39.0,114.0,0.99357,3.33,0.45,10.1,greater than 6.0
6.55,0.44,0.31,3.7,0.047,20.0,144.0,0.99026,3.15,0.35,12.0,greater than 6.0
7.43,0.31,0.23,5.3,0.054,34.0,181.0,0.99264,3.13,0.45,11.6,greater than 6.0
7.53,0.3,0.68,8.3,0.038,54.0,167.0,0.99664,2.91,0.42,8.9,greater than 6.0
6.12,0.28,0.31,16.8,0.04,49.0,173.0,0.99987,3.41,0.46,9.4,between 5.0 and 6.0
6.91,0.59,0.59,8.3,0.033,30.0,170.0,0.99279,3.28,0.45,12.2,greater than 6.0
7.32,0.26,0.43,14.3,0.042,58.0,183.0,0.99962,3.29,0.75,9.1,greater than 6.0
6.01,0.33,0.33,4.9,0.042,41.0,187.0,0.99238,3.22,0.55,11.0,greater than 6.0
6.81,0.31,0.34,12.9,0.042,61.0,169.0,0.99661,3.1,0.57,9.8,between 5.0 and 6.0
6.22,0.22,0.29,5.8,0.029,46.0,122.0,0.99171,3.21,1.09,12.15,greater than 6.0
6.81,0.28,0.36,7.9,0.049,77.0,198.0,0.99593,3.24,0.44,9.5,greater than 6.0
6.82,0.29,0.37,7.1,0.044,61.0,208.0,0.99559,3.16,0.5,9.6,greater than 6.0
7.01,0.54,0.44,6.2,0.03,7.0,77.0,0.99121,3.08,0.51,12.5,greater than 6.0
7.23,0.26,0.33,1.6,0.055,25.0,106.0,0.99157,3.17,0.49,11.1,greater than 6.0
6.62,0.33,0.34,2.6,0.053,41.0,220.0,0.99319,3.15,0.61,10.0,between 5.0 and 6.0
5.82,0.29,0.67,9.2,0.04,27.0,160.0,0.99653,3.67,0.56,10.8,between 5.0 and 6.0
