process_b1_capacity,process_b2_capacity,process_b3_capacity,process_b4_capacity,property_price,property_product,property_winner,verification_time
2,2,2,1,77,6,0,between 1316.98333333333 and 10876.6388888889
2,3,2,1,64,2,0,greater than 10876.6388888889
2,2,2,0,68,6,0,between 546.8189102564105 and 1316.98333333333
1,3,2,1,69,5,0,between 1316.98333333333 and 10876.6388888889
2,2,2,1,80,6,1,between 546.8189102564105 and 1316.98333333333
0,2,2,1,80,5,0,less than 546.8189102564105
0,2,2,0,77,2,0,between 546.8189102564105 and 1316.98333333333
0,3,1,1,70,3,4,less than 546.8189102564105
1,3,2,1,61,2,0,greater than 10876.6388888889
2,3,2,1,61,1,0,greater than 10876.6388888889
0,2,2,0,63,2,0,between 546.8189102564105 and 1316.98333333333
2,1,2,0,74,3,0,less than 546.8189102564105
0,1,1,1,62,4,0,between 546.8189102564105 and 1316.98333333333
0,3,1,0,69,4,0,less than 546.8189102564105
1,3,2,0,66,1,0,greater than 10876.6388888889
0,2,2,1,68,2,0,between 546.8189102564105 and 1316.98333333333
0,3,2,0,65,2,0,between 546.8189102564105 and 1316.98333333333
1,3,2,0,64,4,0,between 546.8189102564105 and 1316.98333333333
1,3,2,1,88,1,0,greater than 10876.6388888889
1,3,2,1,68,4,0,between 546.8189102564105 and 1316.98333333333
1,1,2,1,82,5,0,between 1316.98333333333 and 10876.6388888889
1,2,2,1,69,1,0,greater than 10876.6388888889
2,2,2,1,76,5,0,between 1316.98333333333 and 10876.6388888889
2,3,2,1,85,1,0,greater than 10876.6388888889
1,1,2,0,64,6,0,between 546.8189102564105 and 1316.98333333333
0,2,2,0,68,1,0,less than 546.8189102564105
2,1,2,1,80,6,2,between 1316.98333333333 and 10876.6388888889
1,2,2,0,71,1,0,greater than 10876.6388888889
1,2,2,1,72,6,0,between 1316.98333333333 and 10876.6388888889
1,2,2,0,90,1,0,less than 546.8189102564105
2,2,2,1,59,1,0,greater than 10876.6388888889
2,3,2,1,67,2,0,greater than 10876.6388888889
