process_b1_capacity,process_b2_capacity,process_b3_capacity,process_b4_capacity,property_price,property_product,property_winner,verification_time
0,2,2,1,69,4,0,less than 546.8189102564105
2,1,2,1,68,2,0,greater than 10876.6388888889
1,3,2,0,70,3,0,less than 546.8189102564105
2,2,2,1,70,4,4,between 546.8189102564105 and 1316.98333333333
1,2,2,1,68,1,0,greater than 10876.6388888889
1,2,2,1,77,2,0,greater than 10876.6388888889
1,3,2,0,68,6,0,between 546.8189102564105 and 1316.98333333333
2,3,2,1,71,6,0,between 1316.98333333333 and 10876.6388888889
1,2,2,0,66,1,0,between 1316.98333333333 and 10876.6388888889
0,1,2,0,62,1,0,less than 546.8189102564105
0,2,1,0,64,4,0,less than 546.8189102564105
2,2,2,0,79,6,0,between 546.8189102564105 and 1316.98333333333
0,2,1,0,63,4,0,less than 546.8189102564105
0,1,1,1,70,4,0,less than 546.8189102564105
0,2,2,1,63,1,0,between 546.8189102564105 and 1316.98333333333
0,3,2,1,75,5,0,between 546.8189102564105 and 1316.98333333333
1,3,2,0,71,1,0,greater than 10876.6388888889
1,2,2,1,59,2,0,greater than 10876.6388888889
2,3,2,1,84,5,0,between 1316.98333333333 and 10876.6388888889
0,2,1,1,70,3,4,less than 546.8189102564105
2,3,2,0,70,4,3,between 546.8189102564105 and 1316.98333333333
2,2,2,0,75,3,0,less than 546.8189102564105
2,3,2,1,80,3,3,between 1316.98333333333 and 10876.6388888889
0,3,1,1,69,1,0,between 546.8189102564105 and 1316.98333333333
0,3,1,1,80,5,4,less than 546.8189102564105
2,1,2,1,79,2,0,greater than 10876.6388888889
2,3,2,1,75,5,0,between 1316.98333333333 and 10876.6388888889
1,2,2,0,63,4,0,between 546.8189102564105 and 1316.98333333333
0,2,1,0,59,1,0,less than 546.8189102564105
2,1,2,1,77,6,0,between 1316.98333333333 and 10876.6388888889
1,3,2,1,67,4,0,between 546.8189102564105 and 1316.98333333333
1,2,2,0,67,1,0,greater than 10876.6388888889
