CIC0,SM1_Dz,GATS1i,NdsCH,NdssC,MLOGP,LC50
4.171,0.693,1.678,0,2,2.849,greater than 4.9075
3.386,0.251,1.225,0,0,1.586,less than 3.15175
3.316,0.223,1.571,1,0,1.795,between 3.15175 and 3.9875
3.559,0.223,1.36,0,0,2.446,between 3.15175 and 3.9875
3.669,0.223,1.778,0,0,2.274,between 3.15175 and 3.9875
3.734,0.223,1.374,0,0,3.661,greater than 4.9075
2.086,0.64,0.838,0,0,2.127,between 3.9875 and 4.9075
3.898,0.887,1.45,0,0,4.066,greater than 4.9075
2.685,0.405,1.145,0,0,1.246,between 3.15175 and 3.9875
4.535,0.56,1.137,1,2,4.332,greater than 4.9075
3.024,0.452,2.698,0,0,1.107,less than 3.15175
3.591,0.58,1.685,0,1,1.851,between 3.9875 and 4.9075
3.554,0.629,0.945,0,0,3.315,between 3.15175 and 3.9875
3.641,0.331,1.933,1,0,1.971,between 3.15175 and 3.9875
3.756,0.0,0.964,0,0,4.23,between 3.9875 and 4.9075
2.219,0.604,1.537,0,0,2.026,between 3.15175 and 3.9875
3.098,0.93,1.075,0,0,2.702,greater than 4.9075
3.462,0.405,1.717,0,1,2.06,between 3.9875 and 4.9075
2.507,0.405,1.652,0,2,0.888,less than 3.15175
3.52,0.223,1.59,0,0,1.882,less than 3.15175
0.667,1.03,0.906,0,0,1.064,greater than 4.9075
3.316,0.223,1.571,0,1,1.795,less than 3.15175
2.462,0.223,1.625,1,0,0.655,between 3.15175 and 3.9875
2.978,1.246,1.103,0,1,3.988,greater than 4.9075
3.143,0.134,1.641,0,0,1.209,less than 3.15175
4.258,0.223,1.538,0,1,4.506,greater than 4.9075
2.95,1.772,1.351,0,4,3.11,greater than 4.9075
3.323,0.405,1.17,0,2,2.592,between 3.9875 and 4.9075
3.315,0.916,1.753,0,2,-0.439,less than 3.15175
3.332,0.134,1.294,0,0,2.242,between 3.15175 and 3.9875
5.158,0.134,1.791,0,0,3.118,greater than 4.9075
2.57,1.028,2.137,0,0,1.466,less than 3.15175
2.971,0.972,1.255,0,2,2.052,between 3.9875 and 4.9075
2.755,0.405,1.844,0,1,0.996,between 3.15175 and 3.9875
2.982,0.496,1.151,0,1,1.783,between 3.15175 and 3.9875
3.462,0.405,1.717,0,1,2.06,between 3.9875 and 4.9075
4.36,0.405,1.228,1,2,4.235,greater than 4.9075
2.034,0.64,1.727,0,0,0.8,less than 3.15175
2.377,1.278,0.974,0,0,4.658,greater than 4.9075
3.74,0.134,1.581,0,0,2.274,between 3.15175 and 3.9875
3.08,0.223,1.583,0,1,1.442,less than 3.15175
3.739,0.0,1.25,1,2,3.267,less than 3.15175
3.514,0.0,1.375,2,2,3.038,between 3.9875 and 4.9075
3.74,0.134,1.581,0,0,3.186,between 3.9875 and 4.9075
3.128,0.713,0.797,0,1,4.017,greater than 4.9075
3.181,0.604,1.52,0,0,3.126,between 3.9875 and 4.9075
2.092,1.359,2.273,1,1,1.246,between 3.9875 and 4.9075
2.251,0.638,0.871,1,0,1.61,between 3.9875 and 4.9075
2.728,0.223,0.953,0,0,1.859,between 3.15175 and 3.9875
3.452,0.331,1.476,1,0,2.402,between 3.15175 and 3.9875
2.233,0.46,0.789,1,0,2.206,greater than 4.9075
3.462,0.405,1.717,0,1,2.06,between 3.9875 and 4.9075
1.5,0.405,1.669,0,1,-0.386,less than 3.15175
2.405,0.134,0.843,0,0,1.769,between 3.15175 and 3.9875
2.565,0.452,1.529,0,0,0.242,less than 3.15175
2.283,1.07,1.223,0,0,1.112,between 3.9875 and 4.9075
3.134,0.223,1.319,0,0,1.795,between 3.9875 and 4.9075
3.065,1.079,0.825,0,0,5.472,greater than 4.9075
3.378,0.134,0.988,0,0,3.395,between 3.9875 and 4.9075
1.636,0.331,1.265,1,1,-0.38,less than 3.15175
3.057,1.636,0.995,0,2,4.452,greater than 4.9075
2.824,0.223,1.0,1,0,2.102,between 3.15175 and 3.9875
3.252,0.499,0.832,0,0,4.416,between 3.9875 and 4.9075
2.189,0.58,0.863,0,0,1.348,less than 3.15175
