theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,y
-0.31740647,0.911111111,1.19444444,0.67544444,-0.11888889,-0.44444444,-0.34722222,-0.08888889,between 0.523583695 and 0.708821715
1.34722222,-1.24444444,-0.16388889,-0.47222222,0.66111111,0.66111111,-0.25,-0.98333333,between 0.523583695 and 0.708821715
0.13888889,-1.43888889,-0.82777778,-0.575,-0.09722222,1.39444444,0.85277778,0.10277778,less than 0.523583695
0.85277778,-0.31944444,0.73611111,1.29444444,-0.21944444,-0.25,-0.34722222,1.08333333,between 0.523583695 and 0.708821715
-0.73611111,-1.00555556,0.67544444,-0.89111111,-1.40888889,-0.09722222,-1.34722222,-0.54166667,between 0.523583695 and 0.708821715
1.14722222,0.03888889,-0.54166667,-0.10555556,-0.26388889,0.59722222,1.31944444,0.89444444,between 0.523583695 and 0.708821715
1.00555556,0.375,-0.7,1.23611111,0.26388889,1.15277778,-0.89111111,0.50277778,between 0.708821715 and 0.9013542725
-0.55555556,-1.26388889,0.59722222,0.26111111,1.45833333,0.86944444,0.375,-1.01388889,between 0.523583695 and 0.708821715
0.09166667,0.91944444,0.82777778,-0.32777778,0.23611111,0.84722222,-1.23611111,0.23611111,between 0.523583695 and 0.708821715
-0.86388889,-0.55555556,-0.10833333,-0.93611111,1.23611111,0.23611111,0.18888889,-0.70277778,less than 0.523583695
-0.32777778,-0.23611111,0.84722222,-0.16388889,0.34722222,0.10833333,1.11111111,-0.41388889,greater than 0.9013542725
-0.6,-0.28888889,-0.23611111,1.26388889,-0.82777778,0.54166667,1.26388889,-0.625,-between 0.523583695 and 0.708821715
0.23611111,1.29444444,-0.625,-0.82777778,-0.41388889,0.90555556,-0.6,-0.6,between 0.523583695 and 0.708821715
0.18888889,-0.54166667,0.375,0.15277778,1.18888889,-0.16666667,-0.44444444,1.00555556,greater than 0.9013542725
-0.23611111,-0.28888889,-1.11111111,1.00555556,-0.93611111,-0.75,0.84722222,1.00555556,between 0.708821715 and 0.9013542725
-0.375,-0.82777778,1.31944444,-0.85,-1.50277778,-0.625,0.54166667,-1.23611111,between 0.523583695 and 0.708821715
-0.28888889,-0.66666667,-0.75,0.54166667,-1.45833333,0.25,1.00555556,-0.26388889,less than 0.523583695
0.06944444,-0.99166667,-0.19444444,-0.48888889,-1.23611111,-0.23888889,-0.55555556,-0.71388889,between 0.523583695 and 0.708821715
0.00555556,1.11111111,0.66666667,0.43333333,-0.82777778,0.84722222,0.74444444,0.00555556,between 0.523583695 and 0.708821715
-0.73611111,-1.23611111,-0.75,0.23611111,-1.45833333,-0.46666667,1.11111111,-0.06944444,between 0.523583695 and 0.708821715
1.23611111,0.84722222,0.88888889,-0.75,0.18888889,1.34722222,0.80277778,-0.54166667,less than 0.523583695
0.23611111,-1.50277778,-0.46944444,-0.375,-0.05277778,1.31944444,0.19444444,-1.11111111,greater than 0.9013542725
-0.41388889,0.625,0.09722222,-0.06944444,-0.54166667,-0.5,0.23611111,1.11111111,between 0.523583695 and 0.708821715
-0.15,-1.31944444,-0.625,-1.11111111,-1.23611111,-1.11111111,0.84722222,-0.375,between 0.523583695 and 0.708821715
-1.11111111,0.375,-0.06944444,1.23611111,-0.48888889,1.00555556,-1.23611111,-0.23611111,between 0.523583695 and 0.708821715
-1.00555556,-0.84722222,0.06944444,-0.44444444,-0.75,0.48611111,1.23611111,-0.82777778,between 0.523583695 and 0.708821715
0.84722222,0.23611111,-0.06944444,-0.23611111,1.00555556,-1.23611111,-0.06944444,0.06944444,greater than 0.9013542725
-0.75,-0.06944444,-0.23611111,0.06944444,-0.84722222,0.59722222,-0.84722222,-1.06944444,between 0.523583695 and 0.708821715
0.84722222,1.23611111,-0.84722222,-0.59722222,-0.375,-0.59722222,1.11111111,0.80277778,between 0.523583695 and 0.708821715
-0.23611111,0.06944444,-0.06944444,-0.23611111,-0.84722222,-0.84722222,0.375,0.06944444,less than 0.523583695
-0.06944444,0.84722222,0.06944444,-0.375,1.23611111,0.23611111,-0.06944444,0.23611111,less than 0.523583695
-0.23611111,-0.06944444,0.06944444,-1.11111111,0.23611111,-0.84722222,0.84722222,0.23611111,between 0.523583695 and 0.708821715
