theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,y
-0.23681418,-0.46891118,-0.62315455,0.46798264,-0.18738235,0.96073764,-0.28176567,0.64189946,between 0.523583695 and 0.708821715
0.46014773,-0.70510064,0.46014773,-0.70510064,-0.46014773,0.70510064,-0.46014773,0.70510064,between 0.708821715 and 0.9013542725
-0.70510064,0.46014773,-0.46014773,0.70510064,0.70510064,-0.46014773,0.70510064,-0.46014773,less than 0.523583695
0.62488831,0.62488831,0.62488831,-0.62488831,-0.62488831,-0.62488831,0.62488831,-0.62488831,between 0.708821715 and 0.9013542725
0.62488831,-0.62488831,0.62488831,0.62488831,0.62488831,-0.62488831,-0.62488831,-0.62488831,greater than 0.9013542725
0.62488831,-0.62488831,0.62488831,-0.62488831,0.62488831,0.62488831,0.62488831,-0.62488831,between 0.523583695 and 0.708821715
0.62488831,0.62488831,-0.62488831,-0.62488831,0.62488831,0.62488831,0.62488831,0.62488831,less than 0.523583695
-0.62488831,-0.62488831,-0.62488831,-0.62488831,0.62488831,-0.62488831,0.62488831,0.62488831,between 0.708821715 and 0.9013542725
0.62488831,-0.62488831,-0.62488831,-0.62488831,-0.62488831,-0.62488831,-0.62488831,0.62488831,greater than 0.9013542725
-0.62488831,-0.62488831,0.62488831,-0.62488831,-0.62488831,0.62488831,-0.62488831,0.62488831,between 0.523583695 and 0.708821715
0.62488831,-0.62488831,0.62488831,-0.62488831,-0.62488831,0.62488831,-0.62488831,-0.62488831,less than 0.523583695
-0.62488831,0.62488831,-0.62488831,-0.62488831,0.62488831,-0.62488831,-0.62488831,0.62488831,between 0.708821715 and 0.9013542725
-0.62488831,0.62488831,0.62488831,-0.62488831,0.62488831,-0.62488831,-0.62488831,-0.62488831,greater than 0.9013542725
0.62488831,0.62488831,-0.62488831,0.62488831,-0.62488831,-0.62488831,-0.62488831,0.62488831,between 0.523583695 and 0.708821715
-0.62488831,0.62488831,0.62488831,-0.62488831,-0.62488831,-0.62488831,0.62488831,0.62488831,less than 0.523583695
0.62488831,-0.62488831,-0.62488831,-0.62488831,-0.62488831,-0.62488831,0.62488831,0.62488831,between 0.708821715 and 0.9013542725
