bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date_year,date_month,date_day,price
4,2.0,2050.0,7600.0,1.0,0,0,3,7,1430.0,620.0,1962.0,0.0,98049,47.4492,-122.239,1950.0,6871.0,2014,9,14,between 321950.0 and 450000.0
2,1.75,1080.0,2400.0,1.0,0,0,4,8,940.0,140.0,1923.0,0.0,98091,47.5859,-122.298,1570.0,3240.0,2015,6,28,between 450000.0 and 645000.0
5,2.5,2910.0,9200.0,2.0,0,0,3,8,2450.0,1460.0,2002.0,0.0,98105,47.5134,-122.143,2440.0,8072.0,2014,11,5,between 450000.0 and 645000.0
3,2.25,1890.0,4800.0,1.0,0,0,3,7,1360.0,530.0,1973.0,0.0,98025,47.4721,-122.355,2010.0,5938.0,2015,4,1,less than 321950.0
2,1.0,1100.0,2000.0,1.0,0,1,4,7,1000.0,100.0,1914.0,0.0,98123,47.5543,-122.392,1550.0,2700.0,2014,8,12,less than 321950.0
6,3.0,3610.0,10000.0,2.0,0,0,5,9,2660.0,950.0,1981.0,0.0,98067,47.6216,-122.179,2830.0,9241.0,2014,10,22,greater than 645000.0
4,2.25,1920.0,6300.0,1.0,0,0,3,8,1610.0,310.0,1969.0,0.0,98039,47.4032,-122.278,1830.0,6992.0,2015,5,16,between 321950.0 and 450000.0
3,2.0,1690.0,4900.0,1.0,0,0,3,7,1340.0,350.0,1992.0,0.0,98055,47.4965,-122.203,1940.0,6011.0,2014,7,25,between 450000.0 and 645000.0
3,2.25,1870.0,6300.0,2.0,0,0,3,8,1790.0,80.0,2008.0,0.0,98014,47.4562,-122.135,2160.0,6921.0,2014,9,9,between 321950.0 and 450000.0
2,1.5,1340.0,3200.0,1.0,0,1,3,7,1180.0,160.0,1917.0,0.0,98107,47.5291,-122.373,1510.0,3420.0,2015,3,4,less than 321950.0
6,3.5,3420.0,9600.0,2.0,0,0,3,8,2600.0,820.0,1986.0,0.0,98052,47.4733,-122.195,2690.0,8991.0,2014,12,15,greater than 645000.0
4,2.0,2080.0,8400.0,1.0,0,0,3,7,1480.0,600.0,1961.0,0.0,98046,47.4388,-122.267,1960.0,7532.0,2015,7,2,between 321950.0 and 450000.0
3,2.25,1830.0,5400.0,2.0,0,0,3,8,1770.0,60.0,2009.0,0.0,98011,47.4856,-122.141,2070.0,6259.0,2014,10,11,between 450000.0 and 645000.0
2,1.25,1160.0,2800.0,1.0,0,0,4,7,1040.0,120.0,1912.0,0.0,98117,47.5472,-122.381,1530.0,3100.0,2015,2,20,less than 321950.0
5,2.75,2940.0,9400.0,2.0,0,0,3,8,2510.0,430.0,2003.0,0.0,98059,47.5119,-122.106,2630.0,8632.0,2014,8,26,between 450000.0 and 645000.0
3,2.5,1990.0,6600.0,1.0,0,0,5,9,1750.0,240.0,1987.0,0.0,98023,47.4658,-122.275,2140.0,7133.0,2015,4,27,less than 321950.0
