bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date_year,date_month,date_day,price
3,2.5,1820.0,914.0,3.0,0,0,3,8,1380.0,430.0,2008.0,0.0,98116,47.5732,-122.387,1810.0,914.0,2014,7,11,between 450000.0 and 645000.0
4,3.25,2750.0,5589.0,1.5,0,0,5,9,1840.0,910.0,1910.0,0.0,98112,47.6364,-122.3,1460.0,4250.0,2014,8,28,greater than 645000.0
2,1.75,1560.0,43748.0,2.0,0,0,3,8,1560.0,0.0,1967.0,2000.0,98065,47.5729,-121.676,1000.0,24602.0,2014,9,13,less than 321950.0
3,3.0,2350.0,1620.0,2.0,0,0,3,9,1560.0,790.0,2001.0,0.0,98112,47.6308,-122.279,2000.0,4380.0,2015,1,22,greater than 645000.0
2,1.0,1020.0,4200.0,1.0,0,0,0,5,1020.0,0.0,1923.0,0.0,98136,47.5319,-122.391,1660.0,4200.0,2014,12,16,between 321950.0 and 450000.0
4,2.25,2180.0,11056.0,1.0,0,0,3,8,1370.0,810.0,1963.0,0.0,98004,47.6042,-122.193,2090.0,8747.0,2014,11,10,greater than 645000.0
4,1.75,2460.0,7560.0,2.0,0,0,4,8,2460.0,0.0,1952.0,0.0,98177,47.7256,-122.367,2760.0,8918.0,2014,8,1,between 450000.0 and 645000.0
4,3.0,3100.0,15480.0,2.0,0,0,3,8,2400.0,700.0,1996.0,0.0,98028,47.7466,-122.241,2000.0,42500.0,2014,5,6,between 450000.0 and 645000.0
4,2.5,4600.0,67369.0,2.0,0,0,3,10,4600.0,0.0,1990.0,0.0,98053,47.6417,-121.992,4600.0,67369.0,2014,12,2,greater than 645000.0
3,1.0,1250.0,8000.0,1.0,0,0,3,7,1250.0,0.0,1956.0,0.0,98146,47.5065,-122.337,1040.0,6973.0,2015,3,17,less than 321950.0
3,2.25,1580.0,8659.0,1.0,0,0,4,7,1220.0,360.0,1961.0,0.0,98011,47.7599,-122.215,1970.0,9650.0,2015,4,21,between 450000.0 and 645000.0
