theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,y
0.48005214,1.1277174,-0.31363583,0.6696288,-0.509648,0.2936717,0.22562908,-0.36890587,less than 0.523583695
1.2047997,-1.194633,-1.6366984,1.0971959,1.1874102,1.2531811,-1.6517957,-0.06323377,less than 0.523583695
-0.32186303,-0.7138986,1.2339852,1.3667072,0.96900064,-0.212906,-0.07322232,0.006083493,between 0.708821715 and 0.9013542725
0.55458605,0.30560172,-0.5520391,0.2086316,0.063432075,0.017092684,-0.7087796,-0.7939961,between 0.523583695 and 0.708821715
-0.02334435,0.14079502,1.164405,-0.076657936,0.11736198,0.021774087,1.126659,-0.8858866,less than 0.523583695
1.5366836,0.35621148,-0.41030732,-0.9211771,0.64492744,0.6877205,1.4566355,-0.9763101,less than 0.523583695
-0.7512269,0.94010234,1.7035996,0.085930414,-1.030278,-0.11138649,-0.78102505,0.15108585,less than 0.523583695
-0.5158438,1.3784238,-1.1042687,-1.0972769,0.13064496,0.8762935,-0.4747457,-0.27208075,between 0.708821715 and 0.9013542725
-0.1667368,1.380337,-0.48751488,0.745443,-0.2646216,-0.52962184,-0.9284251,0.25889075,less than 0.523583695
0.38084432,-0.8937681,-0.93715537,1.3765572,0.095273,1.2823751,-0.36363733,0.59750223,between 0.523583695 and 0.708821715
-0.24159649,-0.31745407,-0.27019617,-0.4101759,-0.97240674,-0.11579841,-1.4442364,-1.1040307,greater than 0.9013542725
0.032332327,-0.7841677,-0.1563507,0.20877594,0.17941743,-0.4524585,-0.25771582,-0.9680958,greater than 0.9013542725
-0.07007707,0.52086085,0.006790612,-1.563287,-1.3101504,1.094986,-0.617883,0.8199677,greater than 0.9013542725
-0.36336938,-1.2577603,0.75390583,-0.5228943,-0.99969923,-0.6222908,-0.89066696,0.63200563,between 0.708821715 and 0.9013542725
0.057200693,1.587467,1.5665425,-0.48111525,-0.6496703,0.34600237,-1.4349335,0.4075609,less than 0.523583695
0.38151896,1.5995847,0.6952491,1.5222613,0.6849884,-0.28237844,0.60028726,-2.0585442,less than 0.523583695
-0.10945865,1.5098681,0.8364428,-0.3434511,0.5961616,-1.193518,-0.19347048,-0.72964793,less than 0.523583695
-0.23534472,1.67012,1.7145169,-0.09564643,-0.73591197,-0.36207974,0.8542532,-1.4034408,less than 0.523583695
-1.2723637,1.0580007,-0.14470293,-0.47356376,-1.3870368,-0.28136677,-0.47021064,0.5154476,less than 0.523583695
0.7762068,-1.4181684,-0.69674987,-0.8258507,0.41490048,-1.02965,-0.017761253,-0.41269553,greater than 0.9013542725
0.20787251,1.5975708,-0.07699063,-1.0732042,0.6612285,0.8584793,0.6302396,-0.386395,less than 0.523583695
0.8545882,0.22436963,0.5836865,0.18359536,-0.8982609,-0.68413275,-0.3515895,-0.873053,between 0.523583695 and 0.708821715
0.29234037,0.4310573,1.0079116,-1.2659782,-0.41303435,-0.5031132,-0.42504907,-0.699441,less than 0.523583695
0.6437917,-1.4093986,1.3365391,0.3144139,-0.5158533,0.7582076,-0.124283545,-0.70041776,between 0.523583695 and 0.708821715
1.928085,0.29134598,-0.85434765,0.127342,-1.1029481,-0.71336263,-0.3053928,-0.47393075,less than 0.523583695
-0.052186105,0.8454708,1.1779491,1.1229875,-0.13577579,-0.48670885,-1.0764852,-1.3752519,less than 0.523583695
1.3424121,-1.1765684,0.12333192,-2.5827596,1.1393604,-1.3181013,-1.1069362,0.5050255,greater than 0.9013542725
0.21439496,1.2657117,1.5683815,-0.806856,-0.2459238,1.0601406,-0.02125184,-0.16206601,less than 0.523583695
0.27931386,1.1430258,1.0936085,0.27256325,-0.42525017,-1.1075166,-0.5412405,0.45953962,less than 0.523583695
0.6704887,-1.0426462,0.61803,0.11978726,-0.72782606,-0.335866,-0.3389087,-0.6280374,less than 0.523583695
0.13511682,-1.6831597,-0.722734,-0.5605322,0.11874228,-1.5528015,0.53815895,-0.36093372,between 0.708821715 and 0.9013542725
0.861552,0.20855103,0.4068839,1.1510581,-0.12558348,1.2273664,0.7099068,0.054606438,less than 0.523583695
